Iteration	Replicate_ID	Posterior	Likelihood	Prior	is_irreverisible	rates[1]	rates[2]
92	0	-15.09233	-10.97253	-4.119799	0	1.70322	1.28942
93	0	-13.38561	-10.94355	-2.442061	0	1.08351	0.65824
94	0	-15.02048	-10.97744	-4.043044	0	1.0202	1.91521
95	0	-14.26977	-12.13024	-2.13953	0	1.29388	0.222311
96	0	-12.91459	-11.7344	-1.180192	0	0.578615	0.222311
97	0	-12.74372	-11.12659	-1.617132	0	0.570978	0.555722
98	0	-12.74372	-11.12659	-1.617132	0	0.570978	0.555722
99	0	-14.3325	-12.05376	-2.278739	0	0.33102	1.28896
100	0	-13.24389	-11.13006	-2.11383	0	1.02015	0.476879
101	0	-14.67786	-10.90296	-3.774891	0	1.02015	1.71533
102	0	-13.60971	-10.88897	-2.720748	0	1.16702	0.78251
103	0	-13.25679	-10.83117	-2.425623	0	0.946983	0.78251
104	0	-14.34601	-11.07978	-3.266229	0	1.51088	0.845345
105	0	-13.376	-12.08255	-1.293452	0	0.245324	0.640047
106	0	-13.96246	-12.2474	-1.715066	0	0.243435	0.956282
107	0	-13.96246	-12.2474	-1.715066	0	0.243435	0.956282
108	0	-13.28005	-12.54429	-0.7357667	0	0.243435	0.226138
109	0	-13.40667	-10.81325	-2.593417	0	0.86253	0.992067
110	0	-13.40667	-10.81325	-2.593417	0	0.86253	0.992067
111	0	-13.38467	-10.82566	-2.559008	0	0.836875	0.992067
112	0	-15.6567	-10.80818	-4.848522	0	1.59804	1.93791
113	0	-16.12107	-12.60137	-3.519705	0	2.1176	0.427617
114	0	-15.57337	-12.30209	-3.271275	0	1.93238	0.427617
115	0	-15.55949	-12.45854	-3.100949	0	1.87963	0.353368
116	0	-15.23225	-11.7466	-3.485646	0	1.87963	0.640189
117	0	-15.26978	-11.88041	-3.389374	0	1.87963	0.568412
118	0	-15.26978	-11.88041	-3.389374	0	1.87963	0.568412
119	0	-15.83802	-12.86581	-2.972207	0	1.87963	0.257381
120	0	-12.81305	-11.67084	-1.142205	0	0.515224	0.257381
121	0	-13.09531	-11.06424	-2.031069	0	0.576569	0.858753
122	0	-13.10667	-10.92545	-2.181224	0	0.688521	0.858753
123	0	-13.10667	-10.92545	-2.181224	0	0.688521	0.858753
124	0	-13.33111	-11.19648	-2.134626	0	0.525494	0.987038
125	0	-13.54502	-10.77997	-2.765045	0	0.99552	0.987038
126	0	-13.45711	-10.80444	-2.652672	0	1.02668	0.8721
127	0	-13.90718	-10.77772	-3.129455	0	1.02668	1.22758
128	0	-13.90718	-10.77772	-3.129455	0	1.02668	1.22758
129	0	-12.70732	-11.43334	-1.273979	0	0.518745	0.352108
130	0	-12.70732	-11.43334	-1.273979	0	0.518745	0.352108
131	0	-12.78492	-11.68951	-1.095411	0	0.385608	0.352108
132	0	-13.50819	-10.89252	-2.615674	0	1.12394	0.747246
133	0	-14.70448	-12.17926	-2.525216	0	0.341432	1.46232
134	0	-14.23041	-10.84413	-3.386276	0	0.983419	1.46232
135	0	-18.47669	-12.59758	-5.879118	0	0.691284	3.61306
136	0	-13.49438	-11.26534	-2.229045	0	0.512652	1.07028
137	0	-14.19747	-10.84361	-3.35386	0	1.35129	1.07028
138	0	-14.29266	-10.81733	-3.475328	0	1.35129	1.16084
139	0	-14.63543	-10.79255	-3.842874	0	1.39111	1.39505
140	0	-14.01696	-11.11319	-2.903779	0	0.690947	1.39505
141	0	-13.07367	-11.36619	-1.707485	0	0.424636	0.769429
142	0	-13.07367	-11.36619	-1.707485	0	0.424636	0.769429
143	0	-13.14162	-10.84694	-2.294681	0	0.806483	0.825382
144	0	-12.90011	-11.09497	-1.80514	0	0.806483	0.460391
145	0	-12.76169	-11.48897	-1.272719	0	0.409522	0.460391
146	0	-14.57331	-10.95365	-3.619658	0	0.940247	1.67949
147	0	-14.21213	-11.03576	-3.176373	0	0.787078	1.50216
148	0	-12.88788	-11.17978	-1.708102	0	0.787078	0.407447
149	0	-16.11308	-10.81107	-5.302004	0	1.67647	2.19758
150	0	-15.60758	-10.92344	-4.684139	0	1.21581	2.19758
151	0	-15.53924	-11.01595	-4.523287	0	1.09588	2.19758
152	0	-15.49823	-10.90103	-4.597198	0	1.74823	1.60034
153	0	-15.30461	-12.45173	-2.852881	0	1.74823	0.299821
154	0	-15.1231	-12.68178	-2.441322	0	1.55024	0.19096
155	0	-14.17325	-12.13631	-2.036934	0	1.23347	0.206222
156	0	-14.17325	-12.13631	-2.036934	0	1.23347	0.206222
157	0	-13.02268	-10.96534	-2.057339	0	0.882341	0.572567
158	0	-13.52932	-12.04504	-1.484278	0	0.866412	0.161234
159	0	-14.42951	-10.8161	-3.613413	0	1.08041	1.53467
160	0	-12.78244	-11.32932	-1.453126	0	0.659562	0.344859
161	0	-13.8823	-11.1211	-2.761208	0	0.659562	1.32014
162	0	-12.80471	-11.38299	-1.421715	0	0.659562	0.321439
163	0	-14.74506	-11.40481	-3.340249	0	0.659562	1.75186
164	0	-14.98031	-10.79915	-4.181162	0	1.28653	1.75186
165	0	-14.98031	-10.79915	-4.181162	0	1.28653	1.75186
166	0	-14.71777	-11.1665	-3.551277	0	0.798511	1.77024
167	0	-18.03719	-10.80199	-7.235201	0	1.83931	3.4761
168	0	-13.13401	-11.0085	-2.125504	0	0.618336	0.887394
169	0	-13.19112	-10.86056	-2.330557	0	0.77122	0.887394
170	0	-13.1394	-10.95313	-2.186273	0	0.663645	0.887394
171	0	-12.83983	-11.38502	-1.454813	0	0.420858	0.58482
172	0	-15.03987	-12.10273	-2.937136	0	1.72357	0.387294
173	0	-16.11001	-10.90598	-5.204031	0	1.34866	2.45235
174	0	-15.74326	-10.85923	-4.884026	0	1.34866	2.21376
175	0	-14.34188	-12.10021	-2.241674	0	1.34866	0.243684
176	0	-14.82345	-12.96805	-1.855405	0	1.2097	0.0946554
177	0	-13.61195	-11.09528	-2.516671	0	1.2097	0.587681
178	0	-13.61195	-11.09528	-2.516671	0	1.2097	0.587681
179	0	-16.22256	-11.14309	-5.079468	0	2.11272	1.59542
180	0	-13.0831	-10.97983	-2.103274	0	0.637338	0.851818
181	0	-13.25547	-12.21134	-1.044131	0	0.230731	0.468751
182	0	-13.27604	-12.50736	-0.7686747	0	0.230731	0.263377
183	0	-13.27604	-12.50736	-0.7686747	0	0.230731	0.263377
184	0	-13.39905	-12.17281	-1.226243	0	0.230731	0.60453
185	0	-13.07482	-11.7382	-1.336618	0	0.313024	0.60453
186	0	-12.83156	-11.71172	-1.119841	0	0.508769	0.247161
187	0	-13.01924	-11.59073	-1.42851	0	0.738906	0.247161
188	0	-22.78387	-15.94869	-6.835181	0	0.294692	4.72247
189	0	-22.23134	-15.31191	-6.919422	0	0.3575	4.72247
190	0	-19.8511	-12.02408	-7.827026	0	1.03419	4.72247
191	0	-20.06576	-10.6851	-9.380658	0	2.19254	4.72247
192	0	-20.36479	-10.60988	-9.754912	0	2.47158	4.72247
193	0	-17.52503	-11.1231	-6.401926	0	2.47158	2.22256
194	0	-15.56533	-11.07259	-4.492743	0	1.04813	2.22256
195	0	-13.28991	-11.08139	-2.208518	0	1.04813	0.519489
196	0	-13.07741	-11.03191	-2.045504	0	0.926595	0.519489
197	0	-13.97546	-12.1129	-1.862564	0	0.275525	1.03416
198	0	-13.87136	-11.97452	-1.896847	0	0.301086	1.03416
199	0	-13.87136	-11.97452	-1.896847	0	0.301086	1.03416
200	0	-13.50683	-11.05475	-2.45208	0	0.635619	1.1136
201	0	-12.71863	-11.46548	-1.253151	0	0.520552	0.334771
202	0	-13.54029	-10.78831	-2.751978	0	1.03703	0.935788
203	0	-14.35268	-10.82935	-3.523325	0	1.03703	1.51089
204	0	-14.2264	-10.76587	-3.460534	0	1.18895	1.31215
205	0	-14.2264	-10.76587	-3.460534	0	1.18895	1.31215
206	0	-13.02227	-11.19723	-1.825043	0	0.496379	0.785335
207	0	-13.6733	-10.90389	-2.769415	0	1.20048	0.785335
208	0	-14.01053	-11.98913	-2.021399	0	1.20048	0.22763
209	0	-13.42331	-11.85759	-1.565724	0	0.891374	0.196997
210	0	-12.96297	-11.88494	-1.078036	0	0.527764	0.196997
211	0	-13.17674	-11.15904	-2.017699	0	0.527764	0.897589
212	0	-16.18646	-10.82724	-5.359218	0	1.53331	2.38341
213	0	-13.39141	-11.04491	-2.346505	0	1.10063	0.569874
214	0	-13.96849	-11.10934	-2.859153	0	1.36834	0.68438
215	0	-13.04317	-11.4468	-1.596368	0	0.394086	0.717132
216	0	-13.04317	-11.4468	-1.596368	0	0.394086	0.717132
217	0	-12.78707	-11.71414	-1.07293	0	0.394086	0.326868
218	0	-12.74071	-11.59491	-1.145804	0	0.44842	0.326868
219	0	-13.04956	-11.36407	-1.685497	0	0.850803	0.326868
220	0	-12.73361	-11.56793	-1.165684	0	0.463242	0.326868
221	0	-12.7056	-11.42104	-1.284558	0	0.463242	0.415498
222	0	-12.7056	-11.42104	-1.284558	0	0.463242	0.415498
223	0	-15.12245	-10.81202	-4.310426	0	1.53053	1.60423
224	0	-13.70999	-11.32782	-2.382167	0	0.514589	1.1825
225	0	-13.98101	-10.76505	-3.215961	0	1.13625	1.1825
226	0	-13.48206	-10.97191	-2.510147	0	1.13625	0.656265
227	0	-12.76578	-11.10313	-1.662652	0	0.576119	0.584519
228	0	-14.69429	-11.5681	-3.126193	0	1.6673	0.584519
229	0	-15.19342	-10.95386	-4.239561	0	1.71801	1.36392
230	0	-14.52419	-10.78404	-3.74015	0	1.34566	1.36392
231	0	-14.05046	-11.3898	-2.660662	0	0.540814	1.36392
232	0	-14.82358	-10.84537	-3.97822	0	1.52316	1.36392
233	0	-14.82358	-10.84537	-3.97822	0	1.52316	1.36392
234	0	-14.82358	-10.84537	-3.97822	0	1.52316	1.36392
235	0	-15.58084	-10.80158	-4.779253	0	1.52316	1.96115
236	0	-14.47844	-11.80179	-2.676646	0	1.52316	0.393494
237	0	-12.99542	-12.07313	-0.9222843	0	0.416681	0.191955
238	0	-13.21338	-11.82994	-1.383439	0	0.760507	0.191955
239	0	-12.79216	-11.32217	-1.469989	0	0.67105	0.345943
240	0	-14.7085	-12.02191	-2.6866	0	1.57813	0.345943
241	0	-12.7109	-11.45784	-1.253058	0	0.509312	0.345943
242	0	-12.96818	-11.30796	-1.660225	0	0.812886	0.345943
243	0	-13.12222	-11.58965	-1.532563	0	0.812886	0.25076
244	0	-12.98726	-10.91802	-2.069234	0	0.705783	0.757994
245	0	-13.10264	-10.8523	-2.250338	0	0.842644	0.75616
246	0	-12.95015	-11.03366	-1.916495	0	0.842644	0.507254
247	0	-12.74676	-11.35628	-1.390486	0	0.450463	0.507254
248	0	-12.94838	-11.72909	-1.219293	0	0.322825	0.507254
249	0	-14.70526	-11.68295	-3.022303	0	0.519636	1.65473
250	0	-15.68277	-10.92264	-4.760135	0	1.81533	1.65473
251	0	-14.37311	-10.77081	-3.602299	0	1.26312	1.34367
252	0	-13.62688	-11.20905	-2.417831	0	0.562154	1.16153
253	0	-15.08486	-10.89133	-4.193529	0	1.13558	1.91203
254	0	-15.59563	-10.80626	-4.789373	0	1.57982	1.91203
255	0	-15.59563	-10.80626	-4.789373	0	1.57982	1.91203
256	0	-21.09708	-13.58189	-7.51519	0	0.622508	4.90165
257	0	-13.26361	-11.02171	-2.241903	0	0.622508	0.970007
258	0	-14.07838	-10.95277	-3.125609	0	1.37632	0.875067
259	0	-14.75781	-10.9054	-3.852414	0	1.5643	1.22898
260	0	-14.58068	-10.8537	-3.726985	0	1.47078	1.22898
261	0	-12.8202	-11.14485	-1.675342	0	0.738229	0.431871
262	0	-15.98685	-13.07934	-2.907513	0	0.262428	1.82635
263	0	-13.35592	-12.43013	-0.9257869	0	0.206043	0.405205
264	0	-18.26492	-13.95799	-4.306932	0	0.30956	2.82259
265	0	-16.43473	-11.42148	-5.013257	0	0.951358	2.70742
266	0	-14.88727	-11.01032	-3.876955	0	1.66524	1.14634
267	0	-13.32244	-11.38206	-1.94038	0	0.438428	0.929279
268	0	-13.07	-11.81774	-1.252265	0	0.296952	0.557711
269	0	-13.37451	-11.10536	-2.269144	0	0.582773	1.03005
270	0	-13.36341	-10.96609	-2.39732	0	0.678337	1.03005
271	0	-13.87767	-10.79371	-3.083965	0	1.19029	1.03005
272	0	-12.90622	-11.96033	-0.9458947	0	0.338825	0.287414
273	0	-13.01911	-10.88093	-2.138179	0	0.808197	0.706984
274	0	-12.87132	-11.43604	-1.435281	0	0.401139	0.589976
275	0	-14.34349	-10.97069	-3.372797	0	0.870928	1.56476
276	0	-14.36441	-10.92324	-3.441173	0	0.921908	1.56476
277	0	-13.26736	-10.81686	-2.450501	0	0.921908	0.826133
278	0	-13.45875	-10.82681	-2.631949	0	1.05719	0.826133
279	0	-15.90604	-10.8437	-5.062336	0	1.42104	2.27433
280	0	-15.08945	-10.78896	-4.300488	0	1.42104	1.70631
281	0	-14.8954	-10.79529	-4.10011	0	1.27164	1.70631
282	0	-13.64819	-10.77392	-2.874267	0	1.00781	1.05619
283	0	-13.64819	-10.77392	-2.874267	0	1.00781	1.05619
284	0	-13.64819	-10.77392	-2.874267	0	1.00781	1.05619
285	0	-13.43309	-10.88403	-2.549063	0	0.765341	1.05619
286	0	-13.55366	-10.7927	-2.760962	0	0.923328	1.05619
287	0	-13.47445	-11.27336	-2.201091	0	0.505901	1.05619
288	0	-13.58748	-11.49632	-2.091159	0	0.423938	1.05619
289	0	-13.43655	-10.90701	-2.529546	0	1.09665	0.710328
290	0	-13.46507	-11.64422	-1.820846	0	0.357834	0.92075
291	0	-13.31259	-11.38863	-1.923959	0	0.434714	0.92075
292	0	-13.25722	-11.27506	-1.982161	0	0.478107	0.92075
293	0	-13.13671	-10.84896	-2.287759	0	0.879313	0.747391
294	0	-13.33925	-10.85833	-2.480917	0	1.02333	0.747391
295	0	-13.25799	-10.96831	-2.289676	0	1.02333	0.604807
296	0	-13.34836	-10.85185	-2.496517	0	1.02333	0.759023
297	0	-13.34836	-10.85185	-2.496517	0	1.02333	0.759023
298	0	-13.34836	-10.85185	-2.496517	0	1.02333	0.759023
299	0	-13.08525	-10.85657	-2.228684	0	0.823637	0.759023
300	0	-12.92476	-11.10906	-1.815704	0	0.823637	0.451113
301	0	-15.02002	-11.96221	-3.057807	0	1.74972	0.451113
302	0	-15.985	-10.83414	-5.150855	0	1.74972	2.01164
303	0	-15.38576	-12.56527	-2.820488	0	1.74972	0.274173
304	0	-14.88815	-11.56967	-3.318482	0	1.74972	0.645467
305	0	-12.89568	-10.93987	-1.955814	0	0.733747	0.645467
306	0	-12.76362	-11.06488	-1.698735	0	0.659083	0.528458
307	0	-13.25442	-10.88213	-2.372291	0	0.745108	0.944622
308	0	-12.9361	-11.45013	-1.485973	0	0.392986	0.635924
309	0	-13.11914	-10.91518	-2.203953	0	0.928296	0.635924
310	0	-12.87425	-11.32623	-1.548022	0	0.439249	0.635924
