Iteration	Posterior	Likelihood	Prior	is_irreverisible	rates[1]	rates[2]
0	-15.68348	-11.28192	-4.401556	0	0.911061	2.29164
1	-13.44223	-11.84292	-1.599306	0	0.911061	0.202347
2	-12.94024	-11.8965	-1.043743	0	0.496846	0.202347
3	-13.57462	-11.3221	-2.252522	0	0.496846	1.10359
4	-13.59194	-11.35879	-2.233146	0	0.482399	1.10359
5	-13.59194	-11.35879	-2.233146	0	0.482399	1.10359
6	-13.31805	-10.92386	-2.39419	0	0.708781	0.997276
7	-12.83191	-11.3124	-1.519513	0	0.708781	0.345135
8	-14.20637	-11.14354	-3.062828	0	0.708781	1.4958
9	-12.89904	-10.94173	-1.957311	0	0.708781	0.671549
10	-12.96645	-10.90437	-2.062078	0	0.786893	0.671549
11	-13.13536	-11.69544	-1.439925	0	0.323029	0.671549
12	-14.66289	-11.02153	-3.641359	0	1.6009	1.03502
13	-15.77443	-11.60686	-4.167566	0	0.739232	2.28902
14	-12.98031	-10.90222	-2.078089	0	0.739232	0.731147
15	-13.25163	-11.92057	-1.331061	0	0.739232	0.17418
16	-12.8506	-11.17515	-1.675452	0	0.759113	0.411069
17	-13.01455	-11.18448	-1.830068	0	0.874392	0.411069
18	-13.01455	-11.18448	-1.830068	0	0.874392	0.411069
19	-13.8182	-10.82443	-2.993768	0	1.20634	0.946745
20	-15.07242	-10.84399	-4.228434	0	1.20634	1.86728
21	-14.99954	-11.52526	-3.474281	0	0.644064	1.86728
22	-14.43596	-11.06175	-3.374206	0	0.815204	1.62153
23	-13.14755	-10.90195	-2.245598	0	0.715447	0.879823
24	-15.18617	-11.40158	-3.784597	0	1.86289	0.879823
25	-16.01344	-10.89495	-5.11849	0	1.86289	1.87434
26	-15.46932	-10.8005	-4.668819	0	1.52763	1.87434
27	-14.12898	-11.0689	-3.060085	0	1.42723	0.775302
28	-15.68398	-11.77446	-3.909523	0	2.06055	0.775302
29	-12.99071	-11.14094	-1.84977	0	0.524847	0.775302
30	-13.77304	-12.34113	-1.431915	0	0.213304	0.775302
31	-13.21391	-10.86958	-2.34433	0	0.758356	0.910526
32	-13.26682	-11.32991	-1.936906	0	0.45459	0.910526
33	-12.79916	-11.30291	-1.496254	0	0.68383	0.352746
34	-12.72454	-11.5417	-1.182834	0	0.450151	0.352746
35	-13.48481	-10.96226	-2.522555	0	0.700669	1.10109
36	-13.48677	-10.95009	-2.536682	0	0.711202	1.10109
37	-13.03034	-11.60689	-1.423458	0	0.345559	0.636742
38	-12.85048	-10.97531	-1.875171	0	0.682346	0.636742
39	-13.15984	-10.91902	-2.240819	0	0.954965	0.636742
40	-13.46399	-11.18339	-2.280604	0	0.550849	1.07052
41	-13.45247	-10.89342	-2.55905	0	0.758453	1.07052
42	-13.95737	-10.77301	-3.184357	0	1.05457	1.24062
43	-13.78359	-10.8557	-2.927885	0	0.863352	1.24062
44	-13.78359	-10.8557	-2.927885	0	0.863352	1.24062
45	-13.78359	-10.8557	-2.927885	0	0.863352	1.24062
46	-13.8783	-11.47009	-2.408207	0	0.475892	1.24062
47	-14.15397	-11.57178	-2.582189	0	0.475892	1.37033
48	-13.12439	-11.49082	-1.633567	0	0.855336	0.283617
49	-14.68122	-11.07849	-3.602733	0	0.855336	1.75178
50	-14.68122	-11.07849	-3.602733	0	0.855336	1.75178
51	-14.68122	-11.07849	-3.602733	0	0.855336	1.75178
52	-15.23569	-11.44918	-3.786516	0	1.88496	0.859182
53	-15.81972	-10.96088	-4.858843	0	1.88496	1.65868
54	-15.79087	-10.95211	-4.838764	0	1.86999	1.65868
55	-13.71971	-11.15721	-2.562503	0	1.26034	0.57121
56	-13.05252	-12.08068	-0.9718448	0	0.475713	0.169875
57	-14.92845	-12.65517	-2.273286	0	1.44604	0.169875
58	-14.13857	-11.25581	-2.882759	0	1.44604	0.624284
59	-14.8551	-11.58512	-3.269981	0	1.73474	0.624284
60	-12.89703	-11.40422	-1.49281	0	0.409724	0.624284
61	-12.89703	-11.40422	-1.49281	0	0.409724	0.624284
62	-14.14354	-11.25794	-2.885594	0	1.44815	0.624284
63	-12.98264	-11.55645	-1.426197	0	0.360059	0.624284
64	-13.38167	-11.6137	-1.767967	0	0.360059	0.8791
65	-13.98878	-12.42052	-1.568252	0	0.211156	0.8791
66	-14.26303	-12.74481	-1.518223	0	0.173855	0.8791
67	-13.90415	-12.63771	-1.266443	0	0.173855	0.691379
68	-13.71061	-10.77666	-2.933952	0	1.08838	1.02011
69	-13.40004	-10.84876	-2.55128	0	0.803073	1.02011
70	-13.39481	-11.22316	-2.171654	0	0.520031	1.02011
71	-13.44015	-11.32812	-2.112023	0	0.475573	1.02011
72	-15.04674	-10.82346	-4.223282	0	1.54012	1.52967
73	-15.04674	-10.82346	-4.223282	0	1.54012	1.52967
74	-13.92538	-11.73307	-2.19231	0	1.2499	0.305635
75	-14.7889	-10.79125	-3.997656	0	1.2499	1.65166
76	-14.7889	-10.79125	-3.997656	0	1.2499	1.65166
77	-14.49203	-11.08877	-3.403262	0	0.806738	1.65166
78	-12.9651	-11.32095	-1.644155	0	0.806738	0.340109
79	-13.93722	-12.63075	-1.306475	0	0.806738	0.0883424
80	-13.43622	-12.03644	-1.399783	0	0.806738	0.157911
81	-13.10289	-10.85358	-2.249313	0	0.806738	0.791301
82	-13.19188	-10.83136	-2.360516	0	0.889649	0.791301
83	-14.85336	-11.13654	-3.716817	0	0.848112	1.84407
84	-17.65181	-11.4826	-6.169206	0	2.67656	1.84407
85	-17.65181	-11.4826	-6.169206	0	2.67656	1.84407
86	-15.10963	-10.81525	-4.294388	0	1.27874	1.84407
87	-14.48823	-10.77185	-3.716377	0	1.27874	1.41311
88	-14.81598	-10.82093	-3.995055	0	1.48651	1.41311
89	-14.81598	-10.82093	-3.995055	0	1.48651	1.41311
90	-14.81598	-10.82093	-3.995055	0	1.48651	1.41311
91	-14.81598	-10.82093	-3.995055	0	1.48651	1.41311
92	-12.80753	-11.01652	-1.791009	0	0.648483	0.607856
93	-12.80753	-11.01652	-1.791009	0	0.648483	0.607856
94	-12.80162	-11.02744	-1.774178	0	0.635934	0.607856
95	-13.55682	-11.05077	-2.506053	0	1.1816	0.607856
96	-13.60817	-10.92726	-2.680909	0	1.1816	0.738225
97	-13.16914	-10.85067	-2.318467	0	0.911374	0.738225
98	-12.92996	-11.00108	-1.928874	0	0.620902	0.738225
99	-14.19478	-11.13631	-3.058466	0	1.4631	0.738225
100	-13.22436	-11.68928	-1.535079	0	0.327298	0.738225
101	-13.43929	-10.88393	-2.555361	0	1.088	0.738225
102	-12.99238	-10.89675	-2.095632	0	0.745233	0.738225
103	-12.99238	-10.89675	-2.095632	0	0.745233	0.738225
104	-13.3924	-10.87421	-2.518193	0	1.06029	0.738225
105	-15.2325	-11.60444	-3.628058	0	1.88778	0.738225
106	-12.90772	-11.25008	-1.65764	0	0.469704	0.687197
107	-12.70977	-11.33461	-1.375164	0	0.574656	0.371638
108	-12.70977	-11.33461	-1.375164	0	0.574656	0.371638
109	-12.7145	-11.32452	-1.389984	0	0.585706	0.371638
110	-12.7145	-11.32452	-1.389984	0	0.585706	0.371638
111	-12.84239	-11.25134	-1.591048	0	0.735614	0.371638
112	-15.62854	-11.56509	-4.06345	0	0.735614	2.21501
113	-12.85176	-11.27803	-1.573731	0	0.735614	0.358726
114	-12.9004	-10.93693	-1.96347	0	0.735614	0.649307
115	-12.9004	-10.93693	-1.96347	0	0.735614	0.649307
116	-13.62023	-11.88736	-1.732876	0	0.301038	0.911958
117	-14.30301	-12.0626	-2.240412	0	0.324783	1.26662
118	-13.41623	-10.87188	-2.544348	0	0.776392	1.04162
119	-13.41623	-10.87188	-2.544348	0	0.776392	1.04162
120	-12.97816	-11.43369	-1.544469	0	0.776392	0.296131
121	-16.11701	-11.00321	-5.113805	0	1.99603	1.73771
122	-15.11475	-10.78945	-4.325301	0	1.40814	1.73771
123	-14.74972	-11.47671	-3.273007	0	0.623027	1.73826
124	-13.28649	-11.02511	-2.261388	0	0.623027	0.984016
125	-13.79245	-10.79969	-2.992757	0	1.16832	0.984016
126	-13.68385	-11.82231	-1.86154	0	0.324909	0.984016
