Species,Accession#,Individual,AOI # (Sample per Replicate),Tissue,Measurement Date,Time,Fo,Fm,Ft,F'm,Fo',Fv/Fm,φPSII,ΦNPQ,"Φf,D",NPQ,1-qP,Comments,exclude,
C_purpurata,1432,B,2,haustorium,2018-05-03,3:22:43 PM,0.0074,0.0059,0.0064,0.0049,0.005891876,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,B,3,haustorium,2018-05-03,3:22:43 PM,0.0044,0.0039,0.0044,0.0034,0.003773868,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,B,4,haustorium,2018-05-03,3:22:43 PM,0.0025,0.002,0.002,0.0015,0.001764706,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,A,1,flower,2018-05-25,3:24:25 PM,0.0657,0.0632,0.0544,0.0544,0.056242121,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,A,2,flower,2018-05-25,3:24:25 PM,0.0314,0.0299,0.0309,0.0299,0.0314,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,A,3,flower,2018-05-25,3:24:25 PM,0.0564,0.0544,0.049,0.0495,0.051150467,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,A,4,flower,2018-05-25,3:24:25 PM,0.0176,0.0147,0.0152,0.0137,0.016185506,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,A,5,flower,2018-05-25,3:24:25 PM,0.0338,0.0319,0.0397,0.0397,0.042686239,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,A,6,flower,2018-05-25,3:24:25 PM,0.0373,0.0348,0.0382,0.0368,0.039607204,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,B,1,flower,2018-05-25,3:38:31 PM,0.0123,0.0108,0.0113,0.0093,0.010391219,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,B,2,flower,2018-05-25,3:38:31 PM,0.0113,0.0093,0.0098,0.0083,0.009857012,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,B,3,flower,2018-05-25,3:38:31 PM,0.0157,0.0147,0.0152,0.0137,0.014564572,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,B,4,flower,2018-05-25,3:38:31 PM,0.0108,0.0098,0.0098,0.0078,0.008420563,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,B,5,flower,2018-05-25,3:38:31 PM,0.0137,0.0118,0.0127,0.0113,0.013030587,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,1,haustorium,2018-05-29,2:49:47 PM,0.0108,0.0088,0.0098,0.0078,0.009331722,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,2,haustorium,2018-05-29,2:49:47 PM,0.0162,0.0132,0.0152,0.0132,0.0162,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,3,haustorium,2018-05-29,2:49:47 PM,0.0137,0.0113,0.0123,0.0103,0.01225723,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,4,haustorium,2018-05-29,2:49:47 PM,0.0113,0.0088,0.0108,0.0093,0.012137971,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,1,old,2018-05-29,2:39:52 PM,0.0088,0.0064,0.0083,0.0064,0.0088,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,2,old,2018-05-29,2:39:52 PM,0.0103,0.0088,0.0098,0.0078,0.008956068,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,3,old,2018-05-29,2:39:52 PM,0.0093,0.0078,0.0088,0.0069,0.008048336,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,4,old,2018-05-29,2:39:52 PM,0.0137,0.0118,0.0132,0.0108,0.012370186,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,1,young,2018-05-29,2:29:07 PM,0.0108,0.0088,0.0098,0.0083,0.010056502,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,2,young,2018-05-29,2:29:07 PM,0.0123,0.0108,0.0108,0.0088,0.009770913,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,3,young,2018-05-29,2:29:07 PM,0.0127,0.0113,0.0113,0.0093,0.010227933,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,4,young,2018-05-29,2:29:07 PM,0.0113,0.0098,0.0103,0.0088,0.009990896,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,5,young,2018-05-29,2:29:07 PM,0.0162,0.0142,0.0142,0.0123,0.013772839,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,6,young,2018-05-29,2:29:07 PM,0.0137,0.0113,0.0074,0.0059,0.006493985,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,7,young,2018-05-29,2:29:07 PM,0.0157,0.0137,0.0137,0.0118,0.01325428,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,1,flower,2018-06-20,12:44:25 PM,0.0549,0.0534,0.0495,0.0471,0.048263091,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,2,flower,2018-06-20,12:44:25 PM,0.0676,0.0667,0.0598,0.0583,0.058986421,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,3,flower,2018-06-20,12:44:25 PM,0.0387,0.0373,0.0343,0.0324,0.033451149,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,4,flower,2018-06-20,12:44:25 PM,0.0515,0.05,0.0471,0.0456,0.046844331,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,5,flower,2018-06-20,12:44:25 PM,0.0436,0.0422,0.0417,0.0397,0.040936606,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,6,flower,2018-06-20,12:44:25 PM,0.0466,0.0451,0.0456,0.0436,0.045000332,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,C,7,flower,2018-06-20,12:44:25 PM,0.0353,0.0338,0.0338,0.0324,0.033775784,0,0,0,1,0,*,truly 0 signal,,
C_sandwichiana,155,-,1,seedling,8/24/18,12:33:37,0.0044,0.0069,0.0044,0.0044,0.003229787,0.362318841,0,0.362318841,0.637681159,0.568181818,1,,,
C_sandwichiana,155,C,11,Corolla,2018-01-15,9:59:00 AM,0.0211,0.0211,0.0142,0.0142,0.0142,0,0,0.327014218,0.672985782,0.485915493,#DIV/0!,,exclude,
C_sandwichiana,155,A,9,flower,2018-01-15,11:13:48 AM,0.0784,0.1265,0.1157,0.1132,0.073078656,0.380237154,0,0.1074603,0.914624506,0.117491166,1.062310974,0 YPSII,,
C_sandwichiana,155,D,2,young,2018-01-25,1:05:39 PM,0.0235,0,0.0221,0,0,0,0,0,1,0,*,0 signal for this AOI; one AOI/sample did have a signal though,,
C_sandwichiana,155,D,3,young,2018-01-25,1:05:39 PM,0.0221,0,0.0196,0.157,0,0,0,0,1,0,*,0 signal for this AOI; one AOI/sample did have a signal though,,
C_polygonorum,1705,A,4,old,2018-01-25,9:58:34 AM,0.0059,0.0083,0.0064,0.0059,0.004576636,0,0,0,1,0,*,truly 0 signal,,
C_compacta,1566,-,1,seedling,2017-11-08,9:46:35 AM,0.1034,0.1593,0.0912,0.0745,0.059465283,0.350910232,0,0.651656366,0.572504708,1.138255034,2.110762514,0 YPSII,,
C_compacta,1566,-,2,seedling,2017-11-08,9:46:35 AM,0.1902,0.2975,0.1966,0.1877,0.138428815,0.360672269,0,0.386575753,0.660840336,0.584976026,1.180632958,0 YPSII,,
C_compacta,1566,E,1,young,2017-11-15,9:59:32 AM,0.0338,0.0809,0.0426,0.0422,0.024437007,0.582200247,0,0.482902653,0.52657602,0.917061611,1.022518727,0 PSII; others have some level of PSII though… just not this one,,
C_compacta,1566,B,1,haustorium,2017-12-21,11:32:37 AM,0.0221,0.0275,0.0216,0.0211,0.017768744,0,0,0,1,0,*,truly 0 signal,,
C_compacta,1566,B,2,haustorium,2017-12-21,11:32:37 AM,0.0275,0.0294,0.025,0.0235,0.022270117,0,0,0,1,0,*,truly 0 signal,,
C_compacta,1566,B,4,old,2017-12-21,11:24:24 AM,0.0181,0.0201,0.0162,0.0157,0.014452613,0,0,0,1,0,*,truly 0 signal,,
C_compacta,1566,B,2,flower,2018-03-15,3:45:50 PM,0.0157,0.0216,0.0147,0.0142,0.011386862,0,0,0,1,0,*,truly 0 signal,,
C_compacta,1566,B,3,flower,2018-03-15,3:45:50 PM,0.0108,0.0132,0.0113,0.0103,0.008777905,0,0,0,1,0,*,truly 0 signal,,
C_compacta,1566,B,4,flower,2018-03-15,3:45:50 PM,0.0147,0.0172,0.0132,0.0118,0.010567089,0,0,0,1,0,*,truly 0 signal,,
C_compacta,1566,B,5,flower,2018-03-15,3:45:50 PM,0.0284,0.0402,0.0328,0.0319,0.023990246,0,0,0,1,0,*,truly 0 signal,,
C_denticulata,ss.13.46,-,4,seedling,2018-04-17,1:38:52 PM,0.0309,0.0613,0.0328,0.0328,0.021488255,0.495921697,0,0.464926591,0.535073409,0.868902439,1,,,
C_denticulata,ss.13.46,A,2,old,2018-05-29,3:19:24 PM,0.0025,0.0039,0.0029,0.0029,0.002047429,0.358974359,0,0.256410256,0.743589744,0.344827586,1,,,
C_epithymum,CUEP,D,1,old,2018-06-20,3:33:30 PM,0.0039,0.0034,0.0039,0.0029,0.003256054,0,0,0,1,0,*,,,
C_epithymum,CUEP,D,2,old,2018-06-20,3:33:30 PM,0.0034,0.0034,0.0039,0.0029,0.0029,0,0,0,1,0,*,,,
C_epithymum,CUEP,D,4,old,2018-06-20,3:33:30 PM,0.0044,0.0039,0.0044,0.0039,0.0044,0,0,0,1,0,*,,,
C_epithymum,CUEP,D,1,young,2018-06-20,2:48:08 PM,0.0152,0.0157,0.0157,0.0162,0.015668185,0,0,0,1,0,*,,,
C_epithymum,CUEP,D,3,young,2018-06-20,2:48:08 PM,0.0118,0.0201,0.0103,0.0162,0.010338812,0,0,0,1,0,*,,,
C_epithymum,CUEP,D,4,young,2018-06-20,2:48:08 PM,0.0098,0.0113,0.0103,0.0118,0.010173871,0,0,0,1,0,*,,,
C_epithymum,CUEP,D,5,young,2018-06-20,2:48:08 PM,0.0152,0.0289,0.0137,0.024,0.01372607,0,0,0,1,0,*,,,
C_epithymum,CUEP ,A,6,old,2018-05-25,4:27:35 PM,0.0078,0.0088,0.0074,0.0074,0.006679853,0.113636364,0,0.159090909,0.840909091,0.189189189,1,,,
C_epithymum,CUEP,D,5,flower,8/20/18,17:36:48,0.0103,0.0172,0.0142,0.0142,0.009143243,0.401162791,0,0.174418605,0.825581395,0.211267606,1,,,
C_epithymum,CUEP,A,2,flower,8/20/18,16:09:41,0.0137,0.0123,0.0098,0.0098,0.010668635,-0.113821138,0,0.203252033,0.796747967,0.255102041,1,0 Fv/Fm,,
C_epithymum,CUEP,A,3,flower,8/20/18,16:09:41,0.0211,0.0275,0.0206,0.0206,0.01678601,0.232727273,0,0.250909091,0.749090909,0.334951456,1,,,
C_tasmanica,ss.17.15,A,3,young,2017-12-21,11:50:46 AM,0.0113,0.0368,0.0049,0.0083,0.005500441,0,0,0,1,0,*,truly 0 signal,,
C_tasmanica,ss.17.15,A,2,old,2018-04-17,3:00:16 PM,0.0034,0.0034,0.0034,0.0029,0.0029,0,0,0,1,0,*,truly 0 signal,,
C_tasmanica,ss.17.15,A,3,old,2018-04-17,3:00:16 PM,0.0049,0.0059,0.0049,0.0049,0.004189855,0.169491525,0,0.169491525,0.830508475,0.204081633,1,,,
C_tasmanica,ss.17.15,A,4,old,2018-04-17,3:00:16 PM,0.0034,0.0034,0.0034,0.0034,0.0034,0,0,0,1,0,*,truly 0 signal,,
C_tasmanica,ss.17.15,A,5,old,2018-04-17,3:00:16 PM,0.0034,0.0034,0.0039,0.0025,0.0025,0,0,0,1,0,*,truly 0 signal,,
C_tasmanica,ss.17.15,B,3,old,2017-12-21,12:02:39 PM,0.002,0.0015,0.002,0.0015,0.002,0,0,0,1,0,*,truly 0 signal,,
C_tasmanica,ss.17.15,B,4,old,2017-12-21,12:02:39 PM,0.002,0.0025,0.0025,0.0025,0.002,0.2,0,0,1,0,1,,,
C_tasmanica,ss.17.15 ,B,4,flower,2018-05-25,12:21:17 PM,0.0338,0.0485,0.0377,0.0377,0.028175013,0.303092784,0,0.222680412,0.777319588,0.286472149,1,,,
C_tasmanica,ss.17.15,D,5,flower,2018-05-29,10:52:34 AM,0.0078,0.0118,0.0103,0.0103,0.007115071,0.338983051,0,0.127118644,0.872881356,0.145631068,1,,,
C_tasmanica,ss.17.15,D,2,old,2018-05-03,1:42:52 PM,0.0093,0.0127,0.0118,0.0118,0.008808052,0.267716535,0,0.070866142,0.929133858,0.076271186,1,,,
C_tasmanica,ss.17.15,D,3,old,2018-05-03,1:42:52 PM,0.0064,0.0074,0.0069,0.0069,0.006022558,0.135135135,0,0.067567568,0.932432432,0.072463768,1,,,
C_tasmanica,ss.17.15,D,4,old,2018-05-03,1:42:52 PM,0.0044,0.0059,0.0049,0.0049,0.003818793,0.254237288,0,0.169491525,0.830508475,0.204081633,1,,,
C_australis,1382,B,1,haustorium,2017-12-13,3:30:14 PM,0.0441,0.0868,0.0225,0.0225,0.017985791,0.491935484,0,0.74078341,0.25921659,2.857777778,1,,,
C_australis,1382,C,1,haustorium,2017-12-13,2:42:33 PM,0.0167,0.0211,0.0025,0.0025,0.00242432,0.208530806,0,0.881516588,0.118483412,7.44,1,,,
C_australis,1382,C,2,haustorium,2017-12-13,2:42:33 PM,0.0088,0.0108,0.0083,0.0074,0.006402913,0,0,0,1,0,*,truly 0 signal,,
C_australis,1382,C,3,haustorium,2017-12-13,2:42:33 PM,0.0118,0.0147,0.0078,0.0074,0.006585286,0,0,0,1,0,*,truly 0 signal,,
C_australis,1382,C,5,fruit,2018-01-25,10:33:13 AM,0.0863,0.1779,0.1265,0.1265,0.072090317,0.514896009,0,0.288926363,0.711073637,0.406324111,1,,,
C_costaricensis,CUCO,C,3,young,2018-05-25,2:39:54 PM,0.0172,0.0309,0.0025,0.0025,0.002348647,0.443365696,0,0.919093851,0.080906149,11.36,1,,,
C_gronovii,1707,-,1,seedling,2017-11-02,3:35:31 PM,0.1083,0.4088,0.0034,0.0034,0.003323307,0.735078278,0,0.991682975,0.008317025,119.2352941,1,,,
C_gracillima,CUGR,A,1,old,2018-06-20,1:42:37 PM,0.0025,0.0029,0.0029,0.0025,0.00219697,0,0,0,1,0,*,truly 0 signal,,
C_gracillima,CUGR,A,2,old,2018-06-20,1:42:37 PM,0.0025,0.0029,0.0025,0.002,0.001801242,0,0,0,1,0,*,truly 0 signal,,
C_gracillima,CUGR,A,4,old,2018-06-20,1:42:37 PM,0.0029,0.0039,0.0025,0.002,0.001699474,0,0,0,1,0,*,truly 0 signal,,
C_sandwichiana,155,C,7,fruit,2018-01-15,9:59:00 AM,0.1539,0.2995,0.2603,0.2608,0.142996392,0.486143573,0.001917178,0.12896763,0.869115192,0.148389571,0.995755648,,,
C_sandwichiana,155,C,3,seed,2018-01-15,9:59:00 AM,0.1206,0.3103,0.252,0.2534,0.110919883,0.611343861,0.005524862,0.182357832,0.812117306,0.224546172,0.990174068,,,
C_sandwichiana,155,A,8,flower,2018-01-15,11:13:48 AM,0.0672,0.1245,0.0809,0.0814,0.052263435,0.460240964,0.006142506,0.344058297,0.649799197,0.529484029,0.982839432,,,
C_sandwichiana,155,A,6,fruit,2018-01-15,11:13:48 AM,0.1608,0.326,0.2662,0.2681,0.145319851,0.506748466,0.007086908,0.176348675,0.816564417,0.215964192,0.984525186,,,
C_sandwichiana,155,A,3,seed,2018-01-15,11:13:48 AM,0.0721,0.1559,0.1304,0.1314,0.066376348,0.537524054,0.00761035,0.155956039,0.836433611,0.186453577,0.984620981,,,
C_cephalanthii,1567,B,12,flower,2017-12-21,10:08:02 AM,0.0466,0.0922,0.0618,0.0623,0.0375029,0.494577007,0.008025682,0.321692322,0.670281996,0.479935795,0.979836352,,,
C_sandwichiana,155,A,10,flower,2018-01-15,11:13:48 AM,0.0775,0.1353,0.1064,0.1074,0.067461681,0.427198817,0.009310987,0.204288422,0.786400591,0.259776536,0.97496139,,,
C_sandwichiana,155,C,8,flower,2018-01-15,9:59:00 AM,0.1559,0.2784,0.2196,0.2221,0.136520812,0.440014368,0.011256191,0.199950706,0.788793103,0.253489419,0.97078729,,,
C_sandwichiana,155,A,4,seed,2018-01-15,11:13:48 AM,0.1142,0.3368,0.2529,0.2564,0.103224716,0.660926366,0.013650546,0.235458718,0.750890736,0.313572543,0.977150361,,,
C_compacta,1566,D,6,flower,2018-03-08,11:00:04 AM,0.023,0.0412,0.0289,0.0294,0.018789921,0.441747573,0.017006803,0.281536887,0.701456311,0.401360544,0.952874998,,,
C_compacta,1566,D,4,flower,2018-03-08,11:00:04 AM,0.0201,0.0387,0.0284,0.0289,0.017090065,0.480620155,0.017301038,0.248848833,0.733850129,0.339100346,0.957662763,,,
C_compacta,1566,D,3,flower,2018-03-08,11:00:04 AM,0.0206,0.0363,0.0279,0.0284,0.017791458,0.432506887,0.017605634,0.213799325,0.768595041,0.278169014,0.952868169,,,
C_indecora,ss.16.77,B,7,flower,2018-01-25,12:25:31 PM,0.0534,0.1054,0.0745,0.076,0.044649195,0.493358634,0.019736842,0.273432038,0.70683112,0.386842105,0.952154339,,,
C_gracillima,CUGR,B,2,old,2018-07-06,10:42:14 AM,0.0299,0.0608,0.0225,0.023,0.016535565,0.508223684,0.02173913,0.60819508,0.370065789,1.643478261,0.922653722,,,
C_cephalanthii,1567,B,3,seed,2017-12-21,10:08:02 AM,0.2039,0.5319,0.3676,0.376,0.175935949,0.616657266,0.022340426,0.286552223,0.691107351,0.41462766,0.958013446,,,
C_indecora,ss.16.77,C,3,flower,2018-03-23,4:45:38 PM,0.0358,0.048,0.0392,0.0402,0.031274189,0.254166667,0.024875622,0.158457711,0.816666667,0.194029851,0.88796536,,,
C_sandwichiana,155,A,7,fruit,2018-01-15,11:13:48 AM,0.1186,0.274,0.2147,0.2206,0.10735189,0.567153285,0.02674524,0.189678117,0.783576642,0.24206709,0.947902,,,
C_sandwichiana,155,C,10,Corolla,2018-01-15,9:59:00 AM,0.024,0.025,0.0181,0.0186,0.018040737,0.04,0.02688172,0.24911828,0.724,0.344086022,0.105966008,,exclude,
C_polygonorum,1705,C,2,haustorium,2017-12-13,11:51:43 AM,0.0417,0.052,0.0324,0.0333,0.028752093,0.198076923,0.027027027,0.34989605,0.623076923,0.561561562,0.802106751,,,
C_polygonorum,1705,C,7,flower,2017-12-13,1:00:53 PM,0.1034,0.1735,0.0951,0.098,0.070863823,0.404034582,0.029591837,0.422281362,0.548126801,0.770408163,0.893131592,,,
C_indecora,ss.16.77,D,3,flower,2018-02-16,3:35:35 PM,0.0824,0.3039,0.1882,0.1941,0.071442096,0.728858177,0.030396703,0.350320639,0.619282659,0.56568779,0.951898738,,,
C_compacta,1566,-,2,seedling,2017-11-09,5:36:41 PM,0.077,0.1426,0.074,0.0765,0.052503675,0.46002805,0.032679739,0.44838618,0.518934081,0.864052288,0.895817379,,,
C_gracillima,CUGR,B,2,haustorium,2018-07-06,10:49:28 AM,0.0716,0.1495,0.0853,0.0882,0.053719005,0.521070234,0.032879819,0.39655162,0.570568562,0.695011338,0.915895698,,,
C_compacta,1566,-,1,seedling,2017-11-09,5:44:53 PM,0.1172,0.2328,0.1279,0.1324,0.084819364,0.496563574,0.033987915,0.416613459,0.549398625,0.758308157,0.905423711,,,
C_epithymum,CUEP,A,1,flower,8/20/18,16:09:41,0.0225,0.387,0.0284,0.0294,0.013179733,0.941860465,0.034013605,0.892601382,0.073385013,12.16326531,0.938348733,,,
C_sandwichiana,155,C,9,flower,2018-01-15,9:59:00 AM,0.0833,0.1765,0.127,0.1319,0.071836084,0.528045326,0.037149356,0.243303902,0.719546742,0.338134951,0.918420238,,,
C_epithymum,CUEP,D,1,flower,8/20/18,17:36:48,0.0113,0.0328,0.0255,0.0265,0.01044456,0.655487805,0.037735849,0.184825127,0.777439024,0.237735849,0.937715814,,,
C_cephalanthii,1567,B,7,old,2017-12-13,12:12:56 PM,0.0123,0.0167,0.0118,0.0123,0.009735071,0.263473054,0.040650407,0.252762767,0.706586826,0.357723577,0.805062823,,,
C_cephalanthii,1567,A,4,old,2017-12-21,10:20:01 AM,0.0108,0.0157,0.0118,0.0123,0.009074481,0.312101911,0.040650407,0.207757237,0.751592357,0.276422764,0.84498618,,,
C_polygonorum,1705,C,3,haustorium,2017-12-13,11:51:43 AM,0.0363,0.049,0.0235,0.0245,0.020852286,0.259183673,0.040816327,0.479591837,0.479591837,1,0.725855697,,,
C_sandwichiana,155,C,2,seed,2018-01-15,9:59:00 AM,0.1113,0.3142,0.2387,0.249,0.101852659,0.645767027,0.041365462,0.198927345,0.759707193,0.26184739,0.930002133,,,
C_polygonorum,1705,C,9,fruit,2017-12-13,1:00:53 PM,0.1338,0.3289,0.2034,0.2123,0.109364687,0.593189419,0.041921809,0.339653138,0.618425053,0.549222798,0.913537932,,,
C_polygonorum,1705,A,2,old,2018-01-25,9:58:34 AM,0.0093,0.0147,0.0113,0.0118,0.008048586,0.367346939,0.042372881,0.188919636,0.768707483,0.245762712,0.86671694,,,
C_gracillima,CUGR,B,1,haustorium,2018-07-06,10:49:28 AM,0.0564,0.125,0.052,0.0544,0.035570923,0.5488,0.044117647,0.539882353,0.416,1.297794118,0.872537565,,,
C_sandwichiana,155,-,3,seedling,8/24/18,12:18:16,0.0083,0.0118,0.0108,0.0113,0.008049473,0.296610169,0.044247788,0.040497975,0.915254237,0.044247788,0.846178804,,,
C_sandwichiana,155,A,7,old,2018-01-15,11:31:08 AM,0.0108,0.0142,0.0108,0.0113,0.009036229,0.23943662,0.044247788,0.195188832,0.76056338,0.256637168,0.779129602,,,
C_polygonorum,1705,C,6,flower,2017-12-13,1:00:53 PM,0.0946,0.2206,0.1235,0.1294,0.072644283,0.571169538,0.045595054,0.394568137,0.559836809,0.704791345,0.896045715,,,
C_monogyna,CUMO,C,4,seed,2018-01-25,10:50:10 AM,0.0877,0.2529,0.1407,0.1475,0.070283762,0.653222618,0.046101695,0.397551923,0.556346382,0.714576271,0.911935622,,,
C_cephalanthii,1567,F,8,seed (old),2018-05-29,12:23:38 PM,0.2132,0.5887,0.3608,0.3784,0.17747868,0.637846102,0.046511628,0.340612544,0.612875828,0.555761099,0.912403522,,,
C_indecora,ss.16.77,D,9,haustorium,2018-03-23,3:04:55 PM,0.0142,0.0284,0.0196,0.0206,0.011939592,0.5,0.048543689,0.261315466,0.690140845,0.378640777,0.884532001,,,
C_compacta,1566,-,2,seedling,2017-11-09,5:44:53 PM,0.0843,0.1647,0.0588,0.0618,0.045512511,0.488160291,0.048543689,0.59444356,0.35701275,1.665048544,0.815809549,,,
C_compacta,1566,-,1,seedling,2017-11-09,5:36:41 PM,0.073,0.1422,0.0559,0.0588,0.042242067,0.486638537,0.049319728,0.557571974,0.393108298,1.418367347,0.824857367,,,
C_tasmanica,ss.17.15,C,3,young,2018-05-29,1:12:22 PM,0.0417,0.0676,0.0475,0.05,0.034260754,0.383136095,0.05,0.247337278,0.702662722,0.352,0.84116139,,,
C_monogyna,CUMO,D,2,haustorium,2018-02-16,4:27:24 PM,0.0745,0.1157,0.0637,0.0672,0.050862814,0.356093345,0.052083333,0.397354869,0.550561798,0.72172619,0.785764814,,,
C_polygonorum,1705,A,3,old,2018-01-25,9:58:34 AM,0.0132,0.0255,0.0181,0.0191,0.011248858,0.482352941,0.052356021,0.237840057,0.709803922,0.335078534,0.872629989,,,
C_polygonorum,1705,C,8,fruit,2017-12-13,1:00:53 PM,0.1225,0.2147,0.1397,0.1475,0.097226474,0.429436423,0.052881356,0.296443283,0.650675361,0.45559322,0.844848758,,,
C_californica,ss.17.105 ,D,8,flower,2018-07-06,2:13:32 PM,0.0368,0.0789,0.0515,0.0544,0.03041178,0.533586819,0.053308824,0.293966208,0.652724968,0.450367647,0.879107327,,,
C_sandwichiana,155,A,6,old,2018-01-15,11:31:08 AM,0.0093,0.0127,0.0088,0.0093,0.007336025,0.267716535,0.053763441,0.253323173,0.692913386,0.365591398,0.745414295,,,
C_sandwichiana,155,D,4,old,2018-01-25,1:13:25 PM,0.0152,0.0235,0.0176,0.0186,0.01298706,0.353191489,0.053763441,0.197300389,0.74893617,0.26344086,0.821840257,,,
C_indecora,ss.16.77,B,3,seed,2018-01-25,12:25:31 PM,0.1206,0.3059,0.224,0.2368,0.108157162,0.605753514,0.054054054,0.2136805,0.732265446,0.291807432,0.900499708,,,
C_cephalanthii,1567,B,7,seed,2017-12-21,10:08:02 AM,0.1539,0.4186,0.2304,0.2436,0.121744837,0.632345915,0.054187192,0.395406692,0.550406116,0.718390805,0.891674676,,,
C_indecora,ss.16.77,E,2,seed,2018-03-23,3:52:37 PM,0.0431,0.0814,0.0495,0.0525,0.033372866,0.470515971,0.057142857,0.334749035,0.608108108,0.55047619,0.843154757,,,
C_californica,ss.17.105 ,E,9,flower,2018-07-06,2:26:42 PM,0.0804,0.2113,0.199,0.2113,0.0804,0.619498344,0.058211074,0,0.941788926,0,0.906035141,,,
C_compacta,1566,D,5,flower,2018-03-08,11:00:04 AM,0.0181,0.0309,0.024,0.0255,0.016102581,0.414239482,0.058823529,0.164477441,0.776699029,0.211764706,0.840381704,,,
C_polygonorum,1705,A,2,seed,2018-01-25,10:20:42 AM,0.1529,0.3348,0.2583,0.2745,0.138959299,0.543309438,0.059016393,0.16947823,0.771505376,0.219672131,0.880478706,,,
C_monogyna,CUMO,C,6,seed,2018-01-25,10:50:10 AM,0.0422,0.1221,0.0843,0.0897,0.037516489,0.654381654,0.060200669,0.249381641,0.69041769,0.361204013,0.896519036,,,
C_epithymum,CUEP,D,4,flower,8/20/18,17:36:48,0.0127,0.0348,0.023,0.0245,0.011010687,0.635057471,0.06122449,0.27785597,0.66091954,0.420408163,0.888800858,,,
C_tasmanica,ss.17.15,A,3,flower,2018-04-17,3:16:54 PM,0.0652,0.2054,0.1446,0.1544,0.059012515,0.682570594,0.063471503,0.232536287,0.70399221,0.330310881,0.897261155,,,
C_gracillima,CUGR,A,1,haustorium,2018-07-06,1:31:44 PM,0.1529,0.3784,0.0775,0.0828,0.06259855,0.595930233,0.064009662,0.731180613,0.204809725,3.570048309,0.737642595,,,
C_cephalanthii,1567,G,3,seed (old),2018-05-29,12:53:01 PM,0.2544,0.5059,0.3559,0.3809,0.21836429,0.497133821,0.065634025,0.23086726,0.703498715,0.328170123,0.846187647,,,
C_tasmanica,ss.17.15,A,1,old,2018-04-17,3:00:16 PM,0.0098,0.0172,0.0142,0.0152,0.009116539,0.430232558,0.065789474,0.108629131,0.825581395,0.131578947,0.8356199,,,
C_cephalanthii,1567,G,4,haustorium,2018-03-04,5:38:33 PM,0.0554,0.0907,0.0407,0.0436,0.033376764,0.389195149,0.066513761,0.484754155,0.448732084,1.080275229,0.716332472,,,
C_tasmanica,ss.17.15,C,5,flower,2018-06-22,1:42:52 PM,0.0422,0.1314,0.0897,0.0961,0.037747017,0.678843227,0.066597294,0.250754304,0.682648402,0.367325702,0.890322659,,,
C_australis,1382,-,1,seedling,2017-11-02,2:55:01 PM,0.0956,0.3652,0.0814,0.0873,0.0521464,0.73822563,0.067583047,0.709525387,0.222891566,3.18327606,0.832165126,,,
C_cephalanthii,1567,G,4,seed (old),2018-05-29,12:53:01 PM,0.1407,0.2691,0.202,0.2167,0.12490781,0.477146042,0.067835718,0.181513967,0.750650316,0.241808952,0.839855657,,,
C_cephalanthii,1567,B,11,flower,2017-12-21,10:08:02 AM,0.077,0.1691,0.0946,0.1015,0.059082208,0.544648137,0.067980296,0.372587416,0.559432289,0.666009852,0.83733241,,,
