Species,Accession#,Individual,AOI # (Sample per Replicate),Tissue,Measurement Date,Time,Fo,Fm,Ft,F'm,Fo',Fv/Fm,φPSII,ΦNPQ,"Φf,D",NPQ,1-qP,Comments,exclude,
C_californica,ss.17.105 ,D,2,haustorium,2018-05-25,1:08:20 PM,0.0353,0.1333,0.0402,0.0848,0.030656801,0.735183796,0.525943396,0.17248121,0.301575394,0.571933962,0.176258496,,,
C_monogyna,CUMO,D,2,old,2018-02-16,4:37:42 PM,0.0377,0.1804,0.0426,0.0902,0.03118331,0.791019956,0.527716186,0.236141907,0.236141907,1,0.193448492,,,
C_monogyna,CUMO,C,3,young,2018-01-15,10:30:17 AM,0.0721,0.3074,0.0931,0.1985,0.063880136,0.76545218,0.530982368,0.166154913,0.30286272,0.54861461,0.217054621,,,
C_californica,ss.17.105 ,E,2,young,2018-05-25,5:35:48 PM,0.0186,0.0637,0.0216,0.0461,0.016734489,0.708006279,0.531453362,0.129457156,0.339089482,0.381778742,0.165687928,,,
C_denticulata,ss.13.46,C,3,old,2018-05-29,11:52:58 AM,0.0142,0.0647,0.0211,0.0451,0.012963521,0.780525502,0.532150776,0.141728668,0.326120556,0.4345898,0.253185131,,,
C_epithymum,CUEP,C,4,old,2018-05-29,2:05:22 PM,0.0181,0.0598,0.0201,0.0431,0.016200086,0.697324415,0.533642691,0.130236907,0.336120401,0.387470998,0.144978675,,,
C_californica,ss.17.105 ,E,4,haustorium,2018-05-25,6:16:41 PM,0.0456,0.1946,0.0578,0.1245,0.040284884,0.765673176,0.535742972,0.167237501,0.297019527,0.563052209,0.207980671,,,
C_denticulata,ss.13.46,1,4,seedling,2018-05-01,3:53:06 PM,0.027,0.1088,0.0338,0.073,0.02407058,0.751838235,0.536986301,0.152351934,0.310661765,0.490410959,0.198846006,,,
C_monogyna,CUMO,C,1,old,2018-01-15,10:40:32 AM,0.0485,0.2475,0.0554,0.1201,0.04015331,0.804040404,0.538717735,0.237443881,0.223838384,1.060782681,0.190710714,,,
C_indecora,ss.16.77,B,2,young,2018-01-25,12:01:11 PM,0.0103,0.0294,0.0113,0.0245,0.009625556,0.649659864,0.53877551,0.076870748,0.384353741,0.2,0.112571856,,,
C_monogyna,CUMO,D,3,young,2018-03-08,11:17:00 AM,0.0779,0.3632,0.0936,0.2039,0.066719903,0.785517621,0.540951447,0.201339302,0.257709251,0.781265326,0.1959475,,,
C_monogyna,CUMO,A,1,young,2017-11-15,12:49:21 PM,0.0681,0.3078,0.0912,0.2015,0.060982288,0.778752437,0.547394541,0.156309163,0.296296296,0.527543424,0.215045575,,,
C_monogyna,CUMO,A,2,old,2017-11-15,1:08:04 PM,0.052,0.2397,0.0696,0.1544,0.046434802,0.783062161,0.549222798,0.160414248,0.290362954,0.55246114,0.214561716,,,
C_monogyna,CUMO,D,2,young,2018-03-08,11:17:00 AM,0.0623,0.2676,0.0716,0.1593,0.053786842,0.767189836,0.550533584,0.181902888,0.267563528,0.679849341,0.16882404,,,
C_monogyna,CUMO,D,1,young,2018-03-08,11:17:00 AM,0.0735,0.3397,0.0922,0.2054,0.064390599,0.783632617,0.551119766,0.177464278,0.271415955,0.653846154,0.197216646,,,
C_denticulata,ss.13.46,-,2,seedling,2018-04-17,1:38:52 PM,0.0279,0.1147,0.0363,0.0809,0.025326177,0.756756757,0.551297899,0.132224333,0.316477768,0.417799753,0.197463879,,,
C_californica,ss.17.105 ,E,3,haustorium,2018-05-25,6:16:41 PM,0.0525,0.2093,0.0637,0.1426,0.046987158,0.74916388,0.553295933,0.142356241,0.304347826,0.467741935,0.174797044,,,
C_denticulata,ss.13.46,1,6,seedling,2018-05-01,3:53:06 PM,0.0328,0.1574,0.0422,0.0951,0.028860186,0.791613723,0.556256572,0.175636694,0.268106734,0.655099895,0.201386651,,,
C_denticulata,ss.13.46,1,7,seedling,2018-05-01,3:53:06 PM,0.0186,0.0814,0.0225,0.051,0.01637029,0.771498771,0.558823529,0.164763694,0.276412776,0.596078431,0.177007251,,,
C_monogyna,CUMO,B,1,young,2017-12-13,10:48:48 AM,0.0564,0.2662,0.0794,0.1804,0.051236964,0.788129226,0.559866962,0.141861062,0.298271976,0.475609756,0.218042539,,,
C_denticulata,ss.13.46,B,3,young,2018-06-20,12:55:09 PM,0.0157,0.0495,0.0176,0.0402,0.014626754,0.682828283,0.562189055,0.08225539,0.355555556,0.231343284,0.116263929,,,
C_denticulata,ss.13.46,1,5,seedling,2018-05-01,3:53:06 PM,0.027,0.1211,0.0348,0.0799,0.024215981,0.777043765,0.564455569,0.148178617,0.287365813,0.515644556,0.190072823,,,
C_indecora,ss.16.77,C,1,young,2018-01-25,11:41:52 AM,0.0147,0.0441,0.0162,0.0373,0.013857877,0.666666667,0.565683646,0.066969415,0.367346939,0.18230563,0.099910874,,,
C_monogyna,CUMO,A,1,young,2017-11-15,12:58:46 PM,0.0299,0.123,0.0358,0.0828,0.026743667,0.756910569,0.56763285,0.141310239,0.291056911,0.485507246,0.161557707,,,
C_indecora,ss.16.77,C,2,young,2018-01-25,11:41:52 AM,0.0132,0.0431,0.0137,0.0324,0.011987545,0.693735499,0.577160494,0.104974077,0.317865429,0.330246914,0.083892659,,,
C_denticulata,ss.13.46,-,3,seedling,2018-04-17,1:38:52 PM,0.0279,0.1206,0.0377,0.0892,0.025799007,0.768656716,0.57735426,0.110042091,0.312603648,0.352017937,0.187709888,,,
C_californica,ss.17.105 ,D,3,young,2018-05-25,12:42:05 PM,0.027,0.0922,0.0284,0.0672,0.024347486,0.707158351,0.577380952,0.114593017,0.30802603,0.37202381,0.094568876,,,
C_monogyna,CUMO,D,3,young,2018-02-16,4:07:19 PM,0.0632,0.3348,0.0833,0.1985,0.055948092,0.811230585,0.580352645,0.170842098,0.248805257,0.686649874,0.191873318,,,
C_monogyna,CUMO,D,2,young,2018-02-16,4:07:19 PM,0.0711,0.3637,0.0917,0.224,0.063373507,0.804509211,0.590625,0.157244123,0.252130877,0.623660714,0.176350069,,,
C_indecora,ss.16.77,B,1,young,2018-01-25,12:01:11 PM,0.0176,0.0701,0.023,0.0569,0.016631314,0.7489301,0.595782074,0.076115216,0.32810271,0.23198594,0.158154794,,,
C_denticulata,ss.13.46,B,4,young,2018-06-20,12:55:09 PM,0.0216,0.0412,0.0118,0.0294,0.017845016,0.475728155,0.598639456,0.114952777,0.286407767,0.401360544,-0.523152201,qp is too high,exclude,
C_monogyna,CUMO,D,1,young,2018-02-16,4:07:19 PM,0.0578,0.2824,0.0735,0.1833,0.052041324,0.795325779,0.599018003,0.140712875,0.260269122,0.540643753,0.16348387,,,
C_monogyna,CUMO,B,3,young,2017-12-13,10:48:48 AM,0.0775,0.3877,0.1039,0.2603,0.070593386,0.800103173,0.600845179,0.131164107,0.267990714,0.489435267,0.17556907,,,
C_monogyna,CUMO,C,1,young,2018-01-15,10:30:17 AM,0.0549,0.2549,0.0779,0.2069,0.052287358,0.78462142,0.623489609,0.070900348,0.305610043,0.231996133,0.165656843,,,
C_californica,ss.17.105 ,D,1,young,2018-05-25,12:42:05 PM,0.0392,0.2118,0.0471,0.1255,0.034774267,0.814919736,0.624701195,0.152919201,0.222379603,0.687649402,0.135857074,,,
C_denticulata,ss.13.46,1,1,seedling,2018-05-01,3:53:06 PM,0.0172,0.0819,0.0211,0.0564,0.015708446,0.78998779,0.625886525,0.116482218,0.257631258,0.45212766,0.132498101,,,
