"Subgenus","Pigment",".y.","n","statistic","df","p","method","p.adj","p.adj.signif"
"Cuscuta","NVZ.Car","FW.norm",16,10.6739495798319,2,0.00481,"Kruskal-Wallis",0.00761583333333333,"**"
"Grammica","NVZ.Car","FW.norm",213,66.0786579609988,5,6.69e-13,"Kruskal-Wallis",7.26342857142857e-12,"***"
"Ipomoea_nil","NVZ.Car","FW.norm",24,17.9465,2,0.000127,"Kruskal-Wallis",0.000357481481481481,"***"
"Monogynella","NVZ.Car","FW.norm",32,28.5137265512265,4,9.81e-06,"Kruskal-Wallis",4.65975e-05,"***"
"C_purpurata","Lut.Car","FW.norm",19,11.6157894736842,3,0.00882,"Kruskal-Wallis",0.0126475471698113,"*"
"Cuscuta","Lut.Car","FW.norm",16,11.3193277310924,2,0.00348,"Kruskal-Wallis",0.0061506976744186,"**"
"Grammica","Lut.Car","FW.norm",213,118.841470807951,5,5.52e-24,"Kruskal-Wallis",4.1952e-22,"***"
"Ipomoea_nil","Lut.Car","FW.norm",24,15.8623636363636,2,0.000359,"Kruskal-Wallis",0.000772666666666667,"***"
"Monogynella","Lut.Car","FW.norm",32,20.6811688311688,4,0.000366,"Kruskal-Wallis",0.000772666666666667,"***"
"C_purpurata","Lut.epo.Car","FW.norm",19,2.26407079646018,3,0.519,"Kruskal-Wallis",0.540328767123288," "
"Cuscuta","Lut.epo.Car","FW.norm",16,7.2240291262136,2,0.027,"Kruskal-Wallis",0.0336393442622951,"*"
"Grammica","Lut.epo.Car","FW.norm",213,53.2175274144225,5,3.03e-10,"Kruskal-Wallis",2.09345454545455e-09,"***"
"Ipomoea_nil","Lut.epo.Car","FW.norm",24,5.38031865042174,2,0.0679,"Kruskal-Wallis",0.08063125,"."
"Monogynella","Lut.epo.Car","FW.norm",32,8.32647907647907,4,0.0803,"Kruskal-Wallis",0.0938892307692308,"."
"C_purpurata","a.Car.Car","FW.norm",19,11.0105263157895,3,0.0117,"Kruskal-Wallis",0.0164666666666667,"*"
"Cuscuta","a.Car.Car","FW.norm",16,7.51898734177216,2,0.0233,"Kruskal-Wallis",0.02964,"*"
"Grammica","a.Car.Car","FW.norm",213,14.5780926590293,5,0.0123,"Kruskal-Wallis",0.0169642857142857,"*"
"Ipomoea_nil","a.Car.Car","FW.norm",24,19.435,2,6.02e-05,"Kruskal-Wallis",0.000254177777777778,"***"
"Monogynella","a.Car.Car","FW.norm",32,12.019978985596,4,0.0172,"Kruskal-Wallis",0.0225379310344828,"*"
"C_purpurata","b.Car.Car","FW.norm",19,12.9463157894737,3,0.00475,"Kruskal-Wallis",0.00761583333333333,"**"
"Cuscuta","b.Car.Car","FW.norm",16,10.5526260504202,2,0.00511,"Kruskal-Wallis",0.00792571428571429,"**"
"Grammica","b.Car.Car","FW.norm",213,106.456970811765,5,2.3e-21,"Kruskal-Wallis",5.82666666666667e-20,"***"
"Ipomoea_nil","b.Car.Car","FW.norm",24,17.394,2,0.000167,"Kruskal-Wallis",0.00040941935483871,"***"
"Monogynella","b.Car.Car","FW.norm",32,26.6422258297258,4,2.35e-05,"Kruskal-Wallis",0.000105058823529412,"***"
"Grammica","Neo.Car","FW.norm",213,55.9006830766698,5,8.52e-11,"Kruskal-Wallis",7.19466666666667e-10,"***"
"Ipomoea_nil","Neo.Car","FW.norm",24,8.58649999999999,2,0.0137,"Kruskal-Wallis",0.0182666666666667,"*"
"Monogynella","Neo.Car","FW.norm",32,29.5122975404919,4,6.15e-06,"Kruskal-Wallis",3.116e-05,"***"
"C_purpurata","DEPS","FW.norm",19,1.80105263157895,3,0.615,"Kruskal-Wallis",0.631621621621622," "
"Cuscuta","DEPS","FW.norm",16,2.88403361344538,2,0.236,"Kruskal-Wallis",0.259942028985507," "
"Grammica","DEPS","FW.norm",213,33.8475120490459,5,2.55e-06,"Kruskal-Wallis",1.38428571428571e-05,"***"
"Ipomoea_nil","DEPS","FW.norm",24,7.51036363636364,2,0.0234,"Kruskal-Wallis",0.02964,"*"
"Monogynella","DEPS","FW.norm",32,3.45006441308314,4,0.486,"Kruskal-Wallis",0.517222222222222," "
