Date.Extracted,Date.Run,Sample..,Subgenus,Species,Sample.Name,Accession.No,Tissue.code,Replicate,Weight..g.,FW.mg.,Dil..ul.,Inj.vol..ul.,Conversion,Pigment,FW.norm,Tissue.code_names,Subgenus.Tissue,Subgenus.Pigment,logFW.norm
6/14/18,6/14/18,AS-182,Grammica,C_polygonorum,1705Ao,1705,o,1,0.048,48,1250,100,0.260416667,a.Tocopherol,1.64447656460493,Old,Grammica__Old,Grammica__a.Tocopherol,0.49742219658273884
7/2/18,6/3/18,AS-201,Grammica,C_polygonorum,1705Bo,1705,o,1,0.0499,49.9,1250,100,0.250501002,a.Tocopherol,0.9488727454757999,Old,Grammica__Old,Grammica__a.Tocopherol,0
7/2/18,6/3/18,AS-202,Grammica,C_polygonorum,1705Co,1705,o,1,0.0421,42.1,1250,100,0.296912114,a.Tocopherol,1.16687648450456,Old,Grammica__Old,Grammica__a.Tocopherol,0.15433059321721096
7/10/18,7/11/18,AS-300,Grammica,C_polygonorum,1705Do,1705,o,1,0.0494,49.4,1250,100,0.253036437,a.Tocopherol,0,Old,Grammica__Old,Grammica__a.Tocopherol,0
7/10/18,7/11/18,AS-302,Grammica,C_polygonorum,1705Do,1705,o,1,0.042,42,1250,100,0.297619048,a.Tocopherol,0,Old,Grammica__Old,Grammica__a.Tocopherol,0
7/10/18,7/11/18,AS-282,Grammica,C_polygonorum,1705Ch,1705,h,1,0.0389,38.9,1250,100,0.321336761,a.Tocopherol,0,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,0
7/10/18,7/11/18,AS-287,Grammica,C_polygonorum,1705Ah,1705,h,1,0.029,29,950,100,0.327586207,a.Tocopherol,0,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,0
7/10/18,7/11/18,AS-296,Grammica,C_polygonorum,1705Dh,1705,h,1,0.0482,48.2,1250,100,0.2593361,a.Tocopherol,0,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,0
7/2/18,6/3/18,AS-235,Grammica,C_polygonorum,1705Af,1705,f,1,0.0488,48.8,1250,100,0.256147541,a.Tocopherol,6.898580943064459,Flower,Grammica__Flower,Grammica__a.Tocopherol,1.9313157445225024
7/10/18,7/11/18,AS-286,Grammica,C_polygonorum,1705Cf,1705,f,1,0.045,45,1250,100,0.277777778,a.Tocopherol,0,Flower,Grammica__Flower,Grammica__a.Tocopherol,0
7/4/18,7/4/18,AS-248,Grammica,C_polygonorum,1705As,1705,s,1,0.0428,42.8,1250,100,0.292056075,a.Tocopherol,5.136413555511001,Seed,Grammica__Seed,Grammica__a.Tocopherol,1.6363551035476882
7/10/18,7/11/18,AS-285,Grammica,C_polygonorum,1705Cs,1705,s,1,0.0289,28.9,950,100,0.328719723,a.Tocopherol,0,Seed,Grammica__Seed,Grammica__a.Tocopherol,0
7/2/18,6/3/18,AS-207,Grammica,C_compacta,1566sdlg,1566,sdlg,1,0.0414,41.4,1250,100,0.301932367,a.Tocopherol,0,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0
-,12/6/17,AS-03,Grammica,C_compacta,1566sdlg,1566,sdlg,1,0.0391,39.1,2050,100,0.524296675,a.Tocopherol,0,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0
-,12/6/17,AS-07,Grammica,C_compacta,1566sdlg,1566,sdlg,2,0.0384,38.4,2050,100,0.533854167,a.Tocopherol,0,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0
-,12/6/17,AS-08,Grammica,C_compacta,1566sdlg,1566,sdlg,3,0.0362,36.2,2050,100,0.566298343,a.Tocopherol,0,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0
-,12/6/17,AS-09,Grammica,C_compacta,1566sdlg,1566,sdlg,4,0.0425,42.5,2050,100,0.482352941,a.Tocopherol,0,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0
7/4/18,7/4/18,AS-249,Grammica,C_compacta,1566sdlg,1566,sdlg,1,0.0532,53.2,1250,100,0.234962406,a.Tocopherol,0.89602678565694,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0
-,12/6/17,AS-21,Grammica,C_compacta,1566Ay,1566,y,1,0.0422,42.2,2050,100,0.485781991,a.Tocopherol,6.33981446122334,Young,Grammica__Young,Grammica__a.Tocopherol,1.846849519002973
-,12/6/17,AS-22,Grammica,C_compacta,1566Ay,1566,y,2,0.0419,41.9,2050,100,0.489260143,a.Tocopherol,6.336261333950099,Young,Grammica__Young,Grammica__a.Tocopherol,1.8462889153323025
7/2/18,6/3/18,AS-244,Grammica,C_compacta,1566Ay,1566,y,1,0.0421,42.1,1250,100,0.296912114,a.Tocopherol,20.262743466960877,Young,Grammica__Young,Grammica__a.Tocopherol,3.0087839075675062
7/4/18,7/4/18,AS-250,Grammica,C_compacta,1566Ay,1566,y,1,0.0486,48.6,1250,100,0.257201646,a.Tocopherol,3.8307175912441798,Young,Grammica__Young,Grammica__a.Tocopherol,1.3430521723856785
7/4/18,7/4/18,AS-265,Grammica,C_compacta,1566Ey,1566,y,1,0.0452,45.2,1250,100,0.276548673,a.Tocopherol,4.72178927731527,Young,Grammica__Young,Grammica__a.Tocopherol,1.552187833118587
7/2/18,6/3/18,AS-199,Grammica,C_compacta,1566Ao,1566,o,1,0.0424,42.4,1250,100,0.294811321,a.Tocopherol,1.51401533144834,Old,Grammica__Old,Grammica__a.Tocopherol,0.41476534746551996
7/2/18,6/3/18,AS-200,Grammica,C_compacta,1566Eo,1566,o,1,0.0495,49.5,1250,100,0.252525253,a.Tocopherol,0.9285732340689501,Old,Grammica__Old,Grammica__a.Tocopherol,0
7/4/18,7/4/18,AS-264,Grammica,C_compacta,1566Ao,1566,o,1,0.0408,40.8,1250,100,0.306372549,a.Tocopherol,2.18809129887957,Old,Grammica__Old,Grammica__a.Tocopherol,0.7830296564841541
7/4/18,7/4/18,AS-266,Grammica,C_compacta,1566Eo,1566,o,1,0.0415,41.5,1250,100,0.301204819,a.Tocopherol,1.72407831166686,Old,Grammica__Old,Grammica__a.Tocopherol,0.5446926536125795
6/14/18,6/14/18,AS-198,Grammica,C_compacta,1566Ah,1566,h,1,0.0523,52.3,1250,100,0.239005736,a.Tocopherol,0,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,0
7/4/18,7/4/18,AS-267,Grammica,C_compacta,1566Eh,1566,h,1,0.0517,51.7,1250,100,0.241779497,a.Tocopherol,10.99073258739199,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,2.397052434745782
7/2/18,6/3/18,AS-234,Grammica,C_compacta,1566Df,1566,f,1,0.0466,46.6,1250,100,0.268240343,a.Tocopherol,13.136003201859861,Flower,Grammica__Flower,Grammica__a.Tocopherol,2.5753568040696524
-,12/6/17,AS-11,Grammica,C_australis,1382sdlg,1382,sdlg,1,0.0342,34.2,2050,100,0.599415205,a.Tocopherol,4.2510706163161505,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,1.447170884457332
7/11/18,7/11/18,AS-307,Grammica,C_australis,1382Cy,1382,y,1,0.0773,77.3,1250,100,0.161707633,a.Tocopherol,0,Young,Grammica__Young,Grammica__a.Tocopherol,0
7/11/18,7/11/18,AS-311,Grammica,C_australis,1382Ay,1382,y,1,0.0152,15.2,950,100,0.625,a.Tocopherol,0,Young,Grammica__Young,Grammica__a.Tocopherol,0
6/14/18,6/14/18,AS-190,Grammica,C_australis,1382Ao,1382,o,1,0.0464,46.4,1250,100,0.269396552,a.Tocopherol,0,Old,Grammica__Old,Grammica__a.Tocopherol,0
6/14/18,6/14/18,AS-194,Grammica,C_australis,1382Co,1382,o,1,0.0494,49.4,1250,100,0.253036437,a.Tocopherol,0,Old,Grammica__Old,Grammica__a.Tocopherol,0
7/4/18,7/4/18,AS-261,Grammica,C_australis,1382Bo,1382,o,1,0.0486,48.6,1250,100,0.257201646,a.Tocopherol,1.26815071971822,Old,Grammica__Old,Grammica__a.Tocopherol,0.23755979193731866
7/2/18,6/3/18,AS-240,Grammica,C_australis,1382Bh,1382,h,1,0.0417,41.7,1250,100,0.299760192,a.Tocopherol,16.978905883992958,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,2.8319717491251266
7/2/18,6/3/18,AS-246,Grammica,C_australis,1382Ch,1382,h,1,0.0469,46.9,1250,100,0.26652452,a.Tocopherol,134.9950878234964,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,4.9052383920245735
7/11/18,7/11/18,AS-305,Grammica,C_australis,1382Cs,1382,s,1,0.0094,9.4,950,100,1.010638298,a.Tocopherol,0,Seed,Grammica__Seed,Grammica__a.Tocopherol,0
-,12/6/17,AS-12,Monogynella,C_monogyna,CUMOsdlg,CUMO,sdlg,1,0.038,38,2050,100,0.539473684,a.Tocopherol,0,Seedling,Monogynella__Seedling,Monogynella__a.Tocopherol,0
-,12/6/17,AS-13,Monogynella,C_monogyna,CUMOsdlg,CUMO,sdlg,2,0.0456,45.6,2050,100,0.449561404,a.Tocopherol,0,Seedling,Monogynella__Seedling,Monogynella__a.Tocopherol,0
-,12/6/17,AS-14,Monogynella,C_monogyna,CUMOsdlg,CUMO,sdlg,3,0.0409,40.9,2050,100,0.501222494,a.Tocopherol,0,Seedling,Monogynella__Seedling,Monogynella__a.Tocopherol,0
-,12/6/17,AS-15,Monogynella,C_monogyna,CUMOsdlg,CUMO,sdlg,4,0.0514,51.4,2050,100,0.398832685,a.Tocopherol,0,Seedling,Monogynella__Seedling,Monogynella__a.Tocopherol,0
7/2/18,6/3/18,AS-211,Monogynella,C_monogyna,CUMOsdlg,CUMO,sdlg,1,0.0456,45.6,1250,100,0.274122807,a.Tocopherol,0,Seedling,Monogynella__Seedling,Monogynella__a.Tocopherol,0
-,12/6/17,AS-27,Monogynella,C_monogyna,CUMOAy,CUMO,y,1,0.0334,33.4,2050,100,0.613772455,a.Tocopherol,0,Young,Monogynella__Young,Monogynella__a.Tocopherol,0
-,12/6/17,AS-28,Monogynella,C_monogyna,CUMOAy,CUMO,y,2,0.0364,36.4,2050,100,0.563186813,a.Tocopherol,0,Young,Monogynella__Young,Monogynella__a.Tocopherol,0
-,12/6/17,AS-29,Monogynella,C_monogyna,CUMOBy,CUMO,y,1,0.0485,48.5,2050,100,0.422680412,a.Tocopherol,0,Young,Monogynella__Young,Monogynella__a.Tocopherol,0
-,12/6/17,AS-30,Monogynella,C_monogyna,CUMOBy,CUMO,y,2,0.0474,47.4,2050,100,0.432489451,a.Tocopherol,0,Young,Monogynella__Young,Monogynella__a.Tocopherol,0
6/14/18,6/14/18,AS-192,Monogynella,C_monogyna,CUMODy,CUMO,y,1,0.0405,40.5,1250,100,0.308641975,a.Tocopherol,0,Young,Monogynella__Young,Monogynella__a.Tocopherol,0
6/14/18,6/14/18,AS-193,Monogynella,C_monogyna,CUMODy,CUMO,y,1,0.0444,44.4,1250,100,0.281531532,a.Tocopherol,0,Young,Monogynella__Young,Monogynella__a.Tocopherol,0
7/2/18,6/3/18,AS-209,Monogynella,C_monogyna,CUMOAy,CUMO,y,1,0.051,51,1250,100,0.245098039,a.Tocopherol,0,Young,Monogynella__Young,Monogynella__a.Tocopherol,0
7/2/18,6/3/18,AS-210,Monogynella,C_monogyna,CUMOBy,CUMO,y,1,0.0434,43.4,1250,100,0.288018433,a.Tocopherol,0,Young,Monogynella__Young,Monogynella__a.Tocopherol,0
7/2/18,6/3/18,AS-238,Monogynella,C_monogyna,CUMOCy,CUMO,y,1,0.0445,44.5,1250,100,0.280898876,a.Tocopherol,0,Young,Monogynella__Young,Monogynella__a.Tocopherol,0
6/5/18,6/11/18,AS-43,Monogynella,C_monogyna,CUMODo,CUMO,o,1,0.0421,42.1,2050,100,0.486935867,a.Tocopherol,0,Old,Monogynella__Old,Monogynella__a.Tocopherol,0
6/5/18,6/11/18,AS-44,Monogynella,C_monogyna,CUMODo,CUMO,o,2,0.0461,46.1,2050,100,0.444685466,a.Tocopherol,0,Old,Monogynella__Old,Monogynella__a.Tocopherol,0
6/13/18,6/13/18,AS-128,Monogynella,C_monogyna,CUMODo,CUMO,o,1,0.0507,50.7,1250,100,0.246548323,a.Tocopherol,0,Old,Monogynella__Old,Monogynella__a.Tocopherol,0
6/13/18,6/13/18,AS-129,Monogynella,C_monogyna,CUMODo,CUMO,o,2,0.042,42,1250,100,0.297619048,a.Tocopherol,0,Old,Monogynella__Old,Monogynella__a.Tocopherol,0
7/2/18,6/3/18,AS-205,Monogynella,C_monogyna,CUMOAo,CUMO,o,1,0.0465,46.5,1250,100,0.268817204,a.Tocopherol,0,Old,Monogynella__Old,Monogynella__a.Tocopherol,0
7/2/18,6/3/18,AS-212,Monogynella,C_monogyna,CUMOBo,CUMO,o,1,0.0408,40.8,1250,100,0.306372549,a.Tocopherol,0,Old,Monogynella__Old,Monogynella__a.Tocopherol,0
7/2/18,6/3/18,AS-213,Monogynella,C_monogyna,CUMOCo,CUMO,o,1,0.0471,47.1,1250,100,0.265392781,a.Tocopherol,0,Old,Monogynella__Old,Monogynella__a.Tocopherol,0
7/2/18,6/3/18,AS-224,Monogynella,C_monogyna,CUMOBh,CUMO,h,1,0.0454,45.4,1250,100,0.275330396,a.Tocopherol,0,Haustorium,Monogynella__Haustorium,Monogynella__a.Tocopherol,0
7/2/18,6/3/18,AS-226,Monogynella,C_monogyna,CUMODh,CUMO,h,1,0.0427,42.7,1250,100,0.292740047,a.Tocopherol,0,Haustorium,Monogynella__Haustorium,Monogynella__a.Tocopherol,0
7/2/18,6/3/18,AS-242,Monogynella,C_monogyna,CUMOCh,CUMO,h,1,0.0443,44.3,1250,100,0.282167043,a.Tocopherol,0,Haustorium,Monogynella__Haustorium,Monogynella__a.Tocopherol,0
7/2/18,6/3/18,AS-242-new buffer,Monogynella,C_monogyna,CUMOCh,CUMO,h,1,0.0443,44.3,1250,100,0.282167043,a.Tocopherol,0,Haustorium,Monogynella__Haustorium,Monogynella__a.Tocopherol,0
7/4/18,7/4/18,AS-260,Monogynella,C_monogyna,CUMOAh,CUMO,h,1,0.0462,46.2,1250,100,0.270562771,a.Tocopherol,0,Haustorium,Monogynella__Haustorium,Monogynella__a.Tocopherol,0
6/14/18,6/14/18,AS-191,Monogynella,C_monogyna,CUMOCf,CUMO,f,1,0.0433,43.3,1250,100,0.288683603,a.Tocopherol,0,Flower,Monogynella__Flower,Monogynella__a.Tocopherol,0
7/2/18,6/3/18,AS-225,Monogynella,C_monogyna,CUMODf,CUMO,f,1,0.0527,52.7,1250,100,0.237191651,a.Tocopherol,0,Flower,Monogynella__Flower,Monogynella__a.Tocopherol,0
-,12/6/17,AS-16,Monogynella,C_lupuliformis,CULUsdlg,CULU,sdlg,1,0.0434,43.4,2050,100,0.47235023,a.Tocopherol,0,Seedling,Monogynella__Seedling,Monogynella__a.Tocopherol,0
-,12/6/17,AS-17,Monogynella,C_lupuliformis,CULUsdlg,CULU,sdlg,2,0.0367,36.7,2050,100,0.558583106,a.Tocopherol,0,Seedling,Monogynella__Seedling,Monogynella__a.Tocopherol,0
-,12/6/17,AS-18,Monogynella,C_lupuliformis,CULUsdlg,CULU,sdlg,3,0.0368,36.8,2050,100,0.557065217,a.Tocopherol,0,Seedling,Monogynella__Seedling,Monogynella__a.Tocopherol,0
-,12/6/17,AS-19,Monogynella,C_lupuliformis,CULUsdlg,CULU,sdlg,4,0.039,39,2050,100,0.525641026,a.Tocopherol,0,Seedling,Monogynella__Seedling,Monogynella__a.Tocopherol,0
-,12/6/17,AS-23,Grammica,C_cephalanthii,1567Ay,1567,y,1,0.0418,41.8,2050,100,0.490430622,a.Tocopherol,8.60768026298994,Young,Grammica__Young,Grammica__a.Tocopherol,2.1526548701777144
-,12/6/17,AS-24,Grammica,C_cephalanthii,1567Ay,1567,y,2,0.0394,39.4,2050,100,0.520304569,a.Tocopherol,6.83537119909525,Young,Grammica__Young,Grammica__a.Tocopherol,1.9221107919038627
6/5/18,6/11/18,AS-39,Grammica,C_cephalanthii,1567Gy,1567,y,1,0.0443,44.3,2050,100,0.46275395,a.Tocopherol,41.113272881881,Young,Grammica__Young,Grammica__a.Tocopherol,3.7163310129652074
6/5/18,6/11/18,AS-40,Grammica,C_cephalanthii,1567Gy,1567,y,2,0.0457,45.7,2050,100,0.448577681,a.Tocopherol,4.3435642277925695,Young,Grammica__Young,Grammica__a.Tocopherol,1.468695284736538
