Date.Extracted,Date.Run,Sample..,Subgenus,Species,Sample.Name,Accession.No,Tissue.code,Replicate,Weight..g.,FW.mg.,Dil..ul.,Inj.vol..ul.,Conversion,Pigment,FW.norm,Tissue.code_names,Subgenus.Tissue,Subgenus.Pigment,logFW.norm,drop,Species.Pigment
-,12/6/17,AS-05,Grammica,C_polygonorum,1705sdlg,1705,sdlg,3,0.0501,50.1,2050,100,0.409181637,a.Tocopherol,0,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0,1705sdlg,C_polygonorum__a.Tocopherol
7/11/18,7/11/18,AS-304,Grammica,C_polygonorum,1705sdlg,1705,sdlg,1,0.0338,33.8,950,100,0.281065089,a.Tocopherol,0,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0,1705sdlg,C_polygonorum__a.Tocopherol
7/11/18,7/11/18,AS-310,Grammica,C_polygonorum,1705sdlg,1705,sdlg,1,0.0298,29.8,950,100,0.318791946,a.Tocopherol,0,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0,1705sdlg,C_polygonorum__a.Tocopherol
6/14/18,6/14/18,AS-183,Grammica,C_polygonorum,1705Ay,1705,y,1,0.0408,40.8,1250,100,0.306372549,a.Tocopherol,2.36673100475049,Young,Grammica__Young,Grammica__a.Tocopherol,0.861509722367864,1705y,C_polygonorum__a.Tocopherol
7/10/18,7/11/18,AS-288,Grammica,C_polygonorum,1705Cy,1705,y,1,0.0524,52.4,1250,100,0.238549618,a.Tocopherol,0,Young,Grammica__Young,Grammica__a.Tocopherol,0,1705y,C_polygonorum__a.Tocopherol
7/10/18,7/11/18,AS-295,Grammica,C_polygonorum,1705Dy,1705,y,1,0.0432,43.2,1250,100,0.289351852,a.Tocopherol,0,Young,Grammica__Young,Grammica__a.Tocopherol,0,1705y,C_polygonorum__a.Tocopherol
7/11/18,7/11/18,AS-303,Grammica,C_polygonorum,1705By,1705,y,1,0.0672,67.2,1250,100,0.186011905,a.Tocopherol,0,Young,Grammica__Young,Grammica__a.Tocopherol,0,1705y,C_polygonorum__a.Tocopherol
6/14/18,6/14/18,AS-182,Grammica,C_polygonorum,1705Ao,1705,o,1,0.048,48,1250,100,0.260416667,a.Tocopherol,1.64447656460493,Old,Grammica__Old,Grammica__a.Tocopherol,0.49742219658273884,1705o,C_polygonorum__a.Tocopherol
7/2/18,6/3/18,AS-201,Grammica,C_polygonorum,1705Bo,1705,o,1,0.0499,49.9,1250,100,0.250501002,a.Tocopherol,0.9488727454757999,Old,Grammica__Old,Grammica__a.Tocopherol,0,1705o,C_polygonorum__a.Tocopherol
7/2/18,6/3/18,AS-202,Grammica,C_polygonorum,1705Co,1705,o,1,0.0421,42.1,1250,100,0.296912114,a.Tocopherol,1.16687648450456,Old,Grammica__Old,Grammica__a.Tocopherol,0.15433059321721096,1705o,C_polygonorum__a.Tocopherol
7/10/18,7/11/18,AS-300,Grammica,C_polygonorum,1705Do,1705,o,1,0.0494,49.4,1250,100,0.253036437,a.Tocopherol,0,Old,Grammica__Old,Grammica__a.Tocopherol,0,1705o,C_polygonorum__a.Tocopherol
7/10/18,7/11/18,AS-302,Grammica,C_polygonorum,1705Do,1705,o,1,0.042,42,1250,100,0.297619048,a.Tocopherol,0,Old,Grammica__Old,Grammica__a.Tocopherol,0,1705o,C_polygonorum__a.Tocopherol
7/10/18,7/11/18,AS-282,Grammica,C_polygonorum,1705Ch,1705,h,1,0.0389,38.9,1250,100,0.321336761,a.Tocopherol,0,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,0,1705h,C_polygonorum__a.Tocopherol
7/10/18,7/11/18,AS-287,Grammica,C_polygonorum,1705Ah,1705,h,1,0.029,29,950,100,0.327586207,a.Tocopherol,0,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,0,1705h,C_polygonorum__a.Tocopherol
7/10/18,7/11/18,AS-296,Grammica,C_polygonorum,1705Dh,1705,h,1,0.0482,48.2,1250,100,0.2593361,a.Tocopherol,0,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,0,1705h,C_polygonorum__a.Tocopherol
7/2/18,6/3/18,AS-235,Grammica,C_polygonorum,1705Af,1705,f,1,0.0488,48.8,1250,100,0.256147541,a.Tocopherol,6.898580943064459,Flower,Grammica__Flower,Grammica__a.Tocopherol,1.9313157445225024,1705f,C_polygonorum__a.Tocopherol
7/10/18,7/11/18,AS-286,Grammica,C_polygonorum,1705Cf,1705,f,1,0.045,45,1250,100,0.277777778,a.Tocopherol,0,Flower,Grammica__Flower,Grammica__a.Tocopherol,0,1705f,C_polygonorum__a.Tocopherol
7/4/18,7/4/18,AS-248,Grammica,C_polygonorum,1705As,1705,s,1,0.0428,42.8,1250,100,0.292056075,a.Tocopherol,5.136413555511001,Seed,Grammica__Seed,Grammica__a.Tocopherol,1.6363551035476882,1705s,C_polygonorum__a.Tocopherol
7/10/18,7/11/18,AS-285,Grammica,C_polygonorum,1705Cs,1705,s,1,0.0289,28.9,950,100,0.328719723,a.Tocopherol,0,Seed,Grammica__Seed,Grammica__a.Tocopherol,0,1705s,C_polygonorum__a.Tocopherol
7/2/18,6/3/18,AS-207,Grammica,C_compacta,1566sdlg,1566,sdlg,1,0.0414,41.4,1250,100,0.301932367,a.Tocopherol,0,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0,1566sdlg,C_compacta__a.Tocopherol
-,12/6/17,AS-03,Grammica,C_compacta,1566sdlg,1566,sdlg,1,0.0391,39.1,2050,100,0.524296675,a.Tocopherol,0,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0,1566sdlg,C_compacta__a.Tocopherol
-,12/6/17,AS-07,Grammica,C_compacta,1566sdlg,1566,sdlg,2,0.0384,38.4,2050,100,0.533854167,a.Tocopherol,0,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0,1566sdlg,C_compacta__a.Tocopherol
-,12/6/17,AS-08,Grammica,C_compacta,1566sdlg,1566,sdlg,3,0.0362,36.2,2050,100,0.566298343,a.Tocopherol,0,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0,1566sdlg,C_compacta__a.Tocopherol
-,12/6/17,AS-09,Grammica,C_compacta,1566sdlg,1566,sdlg,4,0.0425,42.5,2050,100,0.482352941,a.Tocopherol,0,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0,1566sdlg,C_compacta__a.Tocopherol
7/4/18,7/4/18,AS-249,Grammica,C_compacta,1566sdlg,1566,sdlg,1,0.0532,53.2,1250,100,0.234962406,a.Tocopherol,0.89602678565694,Seedling,Grammica__Seedling,Grammica__a.Tocopherol,0,1566sdlg,C_compacta__a.Tocopherol
-,12/6/17,AS-21,Grammica,C_compacta,1566Ay,1566,y,1,0.0422,42.2,2050,100,0.485781991,a.Tocopherol,6.33981446122334,Young,Grammica__Young,Grammica__a.Tocopherol,1.846849519002973,1566y,C_compacta__a.Tocopherol
-,12/6/17,AS-22,Grammica,C_compacta,1566Ay,1566,y,2,0.0419,41.9,2050,100,0.489260143,a.Tocopherol,6.336261333950099,Young,Grammica__Young,Grammica__a.Tocopherol,1.8462889153323025,1566y,C_compacta__a.Tocopherol
7/2/18,6/3/18,AS-244,Grammica,C_compacta,1566Ay,1566,y,1,0.0421,42.1,1250,100,0.296912114,a.Tocopherol,20.262743466960877,Young,Grammica__Young,Grammica__a.Tocopherol,3.0087839075675062,1566y,C_compacta__a.Tocopherol
7/4/18,7/4/18,AS-250,Grammica,C_compacta,1566Ay,1566,y,1,0.0486,48.6,1250,100,0.257201646,a.Tocopherol,3.8307175912441798,Young,Grammica__Young,Grammica__a.Tocopherol,1.3430521723856785,1566y,C_compacta__a.Tocopherol
7/4/18,7/4/18,AS-265,Grammica,C_compacta,1566Ey,1566,y,1,0.0452,45.2,1250,100,0.276548673,a.Tocopherol,4.72178927731527,Young,Grammica__Young,Grammica__a.Tocopherol,1.552187833118587,1566y,C_compacta__a.Tocopherol
7/2/18,6/3/18,AS-199,Grammica,C_compacta,1566Ao,1566,o,1,0.0424,42.4,1250,100,0.294811321,a.Tocopherol,1.51401533144834,Old,Grammica__Old,Grammica__a.Tocopherol,0.41476534746551996,1566o,C_compacta__a.Tocopherol
7/2/18,6/3/18,AS-200,Grammica,C_compacta,1566Eo,1566,o,1,0.0495,49.5,1250,100,0.252525253,a.Tocopherol,0.9285732340689501,Old,Grammica__Old,Grammica__a.Tocopherol,0,1566o,C_compacta__a.Tocopherol
7/4/18,7/4/18,AS-264,Grammica,C_compacta,1566Ao,1566,o,1,0.0408,40.8,1250,100,0.306372549,a.Tocopherol,2.18809129887957,Old,Grammica__Old,Grammica__a.Tocopherol,0.7830296564841541,1566o,C_compacta__a.Tocopherol
7/4/18,7/4/18,AS-266,Grammica,C_compacta,1566Eo,1566,o,1,0.0415,41.5,1250,100,0.301204819,a.Tocopherol,1.72407831166686,Old,Grammica__Old,Grammica__a.Tocopherol,0.5446926536125795,1566o,C_compacta__a.Tocopherol
6/14/18,6/14/18,AS-198,Grammica,C_compacta,1566Ah,1566,h,1,0.0523,52.3,1250,100,0.239005736,a.Tocopherol,0,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,0,1566h,C_compacta__a.Tocopherol
7/4/18,7/4/18,AS-267,Grammica,C_compacta,1566Eh,1566,h,1,0.0517,51.7,1250,100,0.241779497,a.Tocopherol,10.99073258739199,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,2.397052434745782,1566h,C_compacta__a.Tocopherol
7/11/18,7/11/18,AS-307,Grammica,C_australis,1382Cy,1382,y,1,0.0773,77.3,1250,100,0.161707633,a.Tocopherol,0,Young,Grammica__Young,Grammica__a.Tocopherol,0,1382y,C_australis__a.Tocopherol
7/11/18,7/11/18,AS-311,Grammica,C_australis,1382Ay,1382,y,1,0.0152,15.2,950,100,0.625,a.Tocopherol,0,Young,Grammica__Young,Grammica__a.Tocopherol,0,1382y,C_australis__a.Tocopherol
6/14/18,6/14/18,AS-190,Grammica,C_australis,1382Ao,1382,o,1,0.0464,46.4,1250,100,0.269396552,a.Tocopherol,0,Old,Grammica__Old,Grammica__a.Tocopherol,0,1382o,C_australis__a.Tocopherol
6/14/18,6/14/18,AS-194,Grammica,C_australis,1382Co,1382,o,1,0.0494,49.4,1250,100,0.253036437,a.Tocopherol,0,Old,Grammica__Old,Grammica__a.Tocopherol,0,1382o,C_australis__a.Tocopherol
7/4/18,7/4/18,AS-261,Grammica,C_australis,1382Bo,1382,o,1,0.0486,48.6,1250,100,0.257201646,a.Tocopherol,1.26815071971822,Old,Grammica__Old,Grammica__a.Tocopherol,0.23755979193731866,1382o,C_australis__a.Tocopherol
7/2/18,6/3/18,AS-240,Grammica,C_australis,1382Bh,1382,h,1,0.0417,41.7,1250,100,0.299760192,a.Tocopherol,16.978905883992958,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,2.8319717491251266,1382h,C_australis__a.Tocopherol
7/2/18,6/3/18,AS-246,Grammica,C_australis,1382Ch,1382,h,1,0.0469,46.9,1250,100,0.26652452,a.Tocopherol,134.9950878234964,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,4.9052383920245735,1382h,C_australis__a.Tocopherol
-,12/6/17,AS-23,Grammica,C_cephalanthii,1567Ay,1567,y,1,0.0418,41.8,2050,100,0.490430622,a.Tocopherol,8.60768026298994,Young,Grammica__Young,Grammica__a.Tocopherol,2.1526548701777144,1567y,C_cephalanthii__a.Tocopherol
-,12/6/17,AS-24,Grammica,C_cephalanthii,1567Ay,1567,y,2,0.0394,39.4,2050,100,0.520304569,a.Tocopherol,6.83537119909525,Young,Grammica__Young,Grammica__a.Tocopherol,1.9221107919038627,1567y,C_cephalanthii__a.Tocopherol
6/5/18,6/11/18,AS-39,Grammica,C_cephalanthii,1567Gy,1567,y,1,0.0443,44.3,2050,100,0.46275395,a.Tocopherol,41.113272881881,Young,Grammica__Young,Grammica__a.Tocopherol,3.7163310129652074,1567y,C_cephalanthii__a.Tocopherol
6/5/18,6/11/18,AS-40,Grammica,C_cephalanthii,1567Gy,1567,y,2,0.0457,45.7,2050,100,0.448577681,a.Tocopherol,4.3435642277925695,Young,Grammica__Young,Grammica__a.Tocopherol,1.468695284736538,1567y,C_cephalanthii__a.Tocopherol
6/5/18,6/11/18,AS-47,Grammica,C_cephalanthii,1567Fy,1567,y,1,0.043,43,2050,100,0.476744186,a.Tocopherol,4.2951266274879405,Young,Grammica__Young,Grammica__a.Tocopherol,1.4574810608188447,1567y,C_cephalanthii__a.Tocopherol
6/5/18,6/11/18,AS-48,Grammica,C_cephalanthii,1567Fy,1567,y,2,0.0423,42.3,2050,100,0.48463357,a.Tocopherol,6.0092091048793,Young,Grammica__Young,Grammica__a.Tocopherol,1.7932931600027517,1567y,C_cephalanthii__a.Tocopherol
7/2/18,6/3/18,AS-222,Grammica,C_cephalanthii,1567Dy,1567,y,1,0.0269,26.9,1250,100,0.464684015,a.Tocopherol,16.2068308595565,Young,Grammica__Young,Grammica__a.Tocopherol,2.7854328175331395,1567y,C_cephalanthii__a.Tocopherol
6/5/18,6/11/18,AS-31,Grammica,C_cephalanthii,1567Go,1567,o,1,0.0425,42.5,2050,100,0.482352941,a.Tocopherol,2.7160136460651603,Old,Grammica__Old,Grammica__a.Tocopherol,0.9991652708269264,1567o,C_cephalanthii__a.Tocopherol
6/5/18,6/11/18,AS-32,Grammica,C_cephalanthii,1567Go,1567,o,2,0.0598,59.8,2050,100,0.342809365,a.Tocopherol,2.8157778465179497,Old,Grammica__Old,Grammica__a.Tocopherol,1.0352385809671605,1567o,C_cephalanthii__a.Tocopherol
6/5/18,6/11/18,AS-37,Grammica,C_cephalanthii,1567Fo,1567,o,1,0.0417,41.7,2050,100,0.491606715,a.Tocopherol,2.77637350329825,Old,Grammica__Old,Grammica__a.Tocopherol,1.0211456169097306,1567o,C_cephalanthii__a.Tocopherol
6/5/18,6/11/18,AS-38,Grammica,C_cephalanthii,1567Fo,1567,o,2,0.0533,53.3,2050,100,0.384615385,a.Tocopherol,2.9868230799099,Old,Grammica__Old,Grammica__a.Tocopherol,1.094210340933378,1567o,C_cephalanthii__a.Tocopherol
6/5/18,6/11/18,AS-45,Grammica,C_cephalanthii,1567Do,1567,o,1,0.0475,47.5,2050,100,0.431578947,a.Tocopherol,2.20992589285032,Old,Grammica__Old,Grammica__a.Tocopherol,0.7929590275709008,1567o,C_cephalanthii__a.Tocopherol
6/5/18,6/11/18,AS-46,Grammica,C_cephalanthii,1567Do,1567,o,2,0.048,48,2050,100,0.427083333,a.Tocopherol,2.3745149981467204,Old,Grammica__Old,Grammica__a.Tocopherol,0.8647932474398549,1567o,C_cephalanthii__a.Tocopherol
6/11/18,6/11/18,AS-126,Grammica,C_cephalanthii,1567Fo,1567,o,1,0.046,46,1250,100,0.27173913,a.Tocopherol,3.0372499951404,Old,Grammica__Old,Grammica__a.Tocopherol,1.1109525320772344,1567o,C_cephalanthii__a.Tocopherol
6/13/18,6/13/18,AS-127,Grammica,C_cephalanthii,1567Fo,1567,o,2,0.0499,49.9,1250,100,0.250501002,a.Tocopherol,2.6834218436444397,Old,Grammica__Old,Grammica__a.Tocopherol,0.987092824693321,1567o,C_cephalanthii__a.Tocopherol
6/13/18,6/13/18,AS-130,Grammica,C_cephalanthii,1567Go,1567,o,1,0.0496,49.6,1250,100,0.252016129,a.Tocopherol,2.1994959674604,Old,Grammica__Old,Grammica__a.Tocopherol,0.7882282738806925,1567o,C_cephalanthii__a.Tocopherol
6/13/18,6/13/18,AS-131,Grammica,C_cephalanthii,1567Go,1567,o,2,0.0414,41.4,1250,100,0.301932367,a.Tocopherol,2.0983242743215498,Old,Grammica__Old,Grammica__a.Tocopherol,0.7411391092344394,1567o,C_cephalanthii__a.Tocopherol
6/13/18,6/13/18,AS-132,Grammica,C_cephalanthii,1567Do,1567,o,1,0.0511,51.1,1250,100,0.244618395,a.Tocopherol,1.5414016614937498,Old,Grammica__Old,Grammica__a.Tocopherol,0.43269223714931476,1567o,C_cephalanthii__a.Tocopherol
6/13/18,6/13/18,AS-133,Grammica,C_cephalanthii,1567Do,1567,o,2,0.0409,40.9,1250,100,0.305623472,a.Tocopherol,1.76048899823104,Old,Grammica__Old,Grammica__a.Tocopherol,0.5655916671661004,1567o,C_cephalanthii__a.Tocopherol
7/2/18,6/3/18,AS-214,Grammica,C_cephalanthii,1567Ao,1567,o,1,0.0422,42.2,1250,100,0.296208531,a.Tocopherol,11.08606043381274,Old,Grammica__Old,Grammica__a.Tocopherol,2.4056885113663187,1567o,C_cephalanthii__a.Tocopherol
7/4/18,7/4/18,AS-263,Grammica,C_cephalanthii,1567Bo,1567,o,1,0.0508,50.8,1250,100,0.246062992,a.Tocopherol,2.18014517604912,Old,Grammica__Old,Grammica__a.Tocopherol,0.7793915149701302,1567o,C_cephalanthii__a.Tocopherol
6/13/18,6/13/18,AS-134,Grammica,C_cephalanthii,1567Gh,1567,h,1,0.0406,40.6,1250,100,0.307881773,a.Tocopherol,4.43140701396133,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,1.4887171665707604,1567h,C_cephalanthii__a.Tocopherol
6/13/18,6/13/18,AS-135,Grammica,C_cephalanthii,1567Gh,1567,h,2,0.0512,51.2,1250,100,0.244140625,a.Tocopherol,4.9991845703125,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,1.609274833199905,1567h,C_cephalanthii__a.Tocopherol
7/2/18,6/3/18,AS-236,Grammica,C_cephalanthii,1567Dh,1567,h,1,0.0475,47.5,1250,100,0.263157895,a.Tocopherol,2.6631131605578497,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,0.9794958371169491,1567h,C_cephalanthii__a.Tocopherol
7/2/18,6/3/18,AS-237,Grammica,C_cephalanthii,1567Fh,1567,h,1,0.0492,49.2,1250,100,0.254065041,a.Tocopherol,4.810271856212429,Haustorium,Grammica__Haustorium,Grammica__a.Tocopherol,1.570753622272462,1567h,C_cephalanthii__a.Tocopherol
6/11/18,6/11/18,AS-122,Grammica,C_cephalanthii,1567Df,1567,f,1,0.0465,46.5,1250,100,0.268817204,a.Tocopherol,11.473330632311159,Flower,Grammica__Flower,Grammica__a.Tocopherol,2.440025275413732,1567f,C_cephalanthii__a.Tocopherol
6/11/18,6/11/18,AS-123,Grammica,C_cephalanthii,1567Df,1567,f,2,0.0415,41.5,1250,100,0.301204819,a.Tocopherol,12.110126494882781,Flower,Grammica__Flower,Grammica__a.Tocopherol,2.494042011257907,1567f,C_cephalanthii__a.Tocopherol
6/13/18,6/13/18,AS-169,Grammica,C_cephalanthii,1567Gs,1567,s,1,0.0496,49.6,1250,100,0.252016129,a.Tocopherol,0.9339541329449699,Seed,Grammica__Seed,Grammica__a.Tocopherol,0,1567s,C_cephalanthii__a.Tocopherol
6/14/18,6/14/18,AS-175,Grammica,C_cephalanthii,1567Fs,1567,s,1,0.0448,44.8,1250,100,0.279017857,a.Tocopherol,2.12845703016023,Seed,Grammica__Seed,Grammica__a.Tocopherol,0.7553973652141912,1567s,C_cephalanthii__a.Tocopherol
7/2/18,6/3/18,AS-208,Grammica,C_cephalanthii,1567Ds,1567,s,1,0.0575,57.5,1250,100,0.217391304,a.Tocopherol,0,Seed,Grammica__Seed,Grammica__a.Tocopherol,0,1567s,C_cephalanthii__a.Tocopherol
7/2/18,6/3/18,AS-215,Grammica,C_cephalanthii,1567Cs,1567,s,1,0.029,29,1250,100,0.431034483,a.Tocopherol,0,Seed,Grammica__Seed,Grammica__a.Tocopherol,0,1567s,C_cephalanthii__a.Tocopherol
7/2/18,6/3/18,AS-216,Grammica,C_cephalanthii,1567Bs,1567,s,1,0.0541,54.1,1250,100,0.231053604,a.Tocopherol,3.80767328301444,Seed,Grammica__Seed,Grammica__a.Tocopherol,1.337018341983337,1567s,C_cephalanthii__a.Tocopherol
6/13/18,6/13/18,AS-136,Grammica,C_costaricensis,CUCOAy,CUCO,y,1,0.0495,49.5,1250,100,0.252525253,a.Tocopherol,1.35831818437182,Young,Grammica__Young,Grammica__a.Tocopherol,0.3062473789732727,CUCOy,C_costaricensis__a.Tocopherol
6/13/18,6/13/18,AS-137,Grammica,C_costaricensis,CUCOAy,CUCO,y,2,0.0408,40.8,1250,100,0.306372549,a.Tocopherol,1.53228860284311,Young,Grammica__Young,Grammica__a.Tocopherol,0.42676250189525505,CUCOy,C_costaricensis__a.Tocopherol
6/13/18,6/13/18,AS-158,Grammica,C_costaricensis,CUCOCy,CUCO,y,1,0.042,42,1250,100,0.297619048,a.Tocopherol,22.651729195660877,Young,Grammica__Young,Grammica__a.Tocopherol,3.1202361976089366,CUCOy,C_costaricensis__a.Tocopherol
6/13/18,6/13/18,AS-159,Grammica,C_costaricensis,CUCOCy,CUCO,y,2,0.0483,48.3,1250,100,0.258799172,a.Tocopherol,28.13874484112492,Young,Grammica__Young,Grammica__a.Tocopherol,3.337147450163,CUCOy,C_costaricensis__a.Tocopherol
6/13/18,6/13/18,AS-164,Grammica,C_costaricensis,CUCOBy,CUCO,y,1,0.0448,44.8,1250,100,0.279017857,a.Tocopherol,2.25897321312912,Young,Grammica__Young,Grammica__a.Tocopherol,0.8149104238388918,CUCOy,C_costaricensis__a.Tocopherol
6/5/18,6/11/18,AS-61,Grammica,C_costaricensis,CUCOCo,CUCO,o,1,0.0459,45.9,2050,100,0.446623094,a.Tocopherol,2.03514085112262,Old,Grammica__Old,Grammica__a.Tocopherol,0.7105650799468751,CUCOo,C_costaricensis__a.Tocopherol
6/5/18,6/11/18,AS-62,Grammica,C_costaricensis,CUCOCo,CUCO,o,2,0.0433,43.3,2050,100,0.473441109,a.Tocopherol,2.1391016186838003,Old,Grammica__Old,Grammica__a.Tocopherol,0.760385983286475,CUCOo,C_costaricensis__a.Tocopherol
6/5/18,6/11/18,AS-77,Grammica,C_costaricensis,CUCOBo,CUCO,o,1,0.044,44,2050,100,0.465909091,a.Tocopherol,2.49798556866923,Old,Grammica__Old,Grammica__a.Tocopherol,0.9154846745649229,CUCOo,C_costaricensis__a.Tocopherol
