Subgenus,Tissue.code,Pigment,Mean,n,sd
C_purpurata,f,a.Tocopherol,3.2369216130397724,5,3.89069321718958
C_purpurata,f,Violaxanthin,0.586667719429938,5,0.1416983539035212
C_purpurata,f,Neoxanthin,0,5,0
C_purpurata,f,Lutein.epoxide,0.534598725768834,5,0.14045668684614987
C_purpurata,f,Antheraxanthin,0.357812544663378,5,0.37326925121335597
C_purpurata,f,Lutein,1.2555847818807462,5,0.32976135677843715
C_purpurata,f,Zeaxanthin,0.396524271500024,5,0.17603747480763338
C_purpurata,f,a.Carotene,0.559896521259198,5,0.36995560491184915
C_purpurata,f,b.Carotene,3.243245374617192,5,1.145480203709626
C_purpurata,f,cis.B.carotene,0.781021995421744,5,0.24903187783837052
C_purpurata,f,Chl.b,0,5,0
C_purpurata,f,Chl.a,0.96791915964359,5,0.6336576128764458
C_purpurata,f,Car.Chl31,7260.363111639212,5,5668.426522130615
C_purpurata,f,Tot.Chl,0.96791915964359,5,0.6336576128764458
C_purpurata,f,Tot.Car,6.399731213350476,5,1.4512953175085546
C_purpurata,f,VAZ,1.34100453559334,5,0.5362619082245583
C_purpurata,f,VAZ.Chl,1.8482659910817705,5,1.0413291921238566
C_purpurata,f,VAZ.Car,0.21022460957619105,5,0.06346993763645929
C_purpurata,f,NVZ,0.983191990929962,5,0.27875187510905475
C_purpurata,f,NVZ.Car,0.16168700004912123,5,0.05910269837695298
C_purpurata,f,Lut.Chl,1.7767447145674444,5,0.9729977170781192
C_purpurata,f,Lut.Car,0.19731407024749242,5,0.03495849203284909
C_purpurata,f,Lut.epo.Car,0.08927017200743081,5,0.03887903867907382
C_purpurata,f,a.Car.Car,0.08362922599392471,5,0.04310875721104044
C_purpurata,f,b.Car.Car,0.5088320941823918,5,0.12473707466696168
C_purpurata,f,Zea.Car,0.06388308095700915,5,0.02560758079825669
C_purpurata,f,Vio.Car,0.0978039190921121,5,0.04013504434917609
C_purpurata,f,Neo.Car,0,5,0
C_purpurata,f,Ant.Car,0.04853760952706978,5,0.05081149788294041
C_purpurata,f,DEPS,41.33367988609075,5,6.706727599425799
Cuscuta,y,a.Tocopherol,0.9030194627189001,5,0.8464854292547019
Cuscuta,y,Violaxanthin,7.576727717081502,5,1.7625786918753719
Cuscuta,y,Neoxanthin,0,5,0
Cuscuta,y,Lutein.epoxide,0.373806567685854,5,0.34883433632568517
Cuscuta,y,Antheraxanthin,4.84295563147955,5,1.0289202011239917
Cuscuta,y,Lutein,5.145372303440846,5,1.351861150095846
Cuscuta,y,Zeaxanthin,2.394064433018464,5,0.5182165525304847
Cuscuta,y,a.Carotene,0.0728789687236,5,0.11525098466893974
Cuscuta,y,b.Carotene,6.681939582775504,5,1.8412486611119399
Cuscuta,y,cis.B.carotene,1.355128469792244,5,1.420115055609571
Cuscuta,y,Chl.b,3.8478975547475223,5,1.1804279644686735
Cuscuta,y,Chl.a,20.099971966096312,5,7.0124888155425475
Cuscuta,y,Car.Chl31,580.599818757571,5,147.2982654800387
Cuscuta,y,Tot.Chl,23.947869520843835,5,8.147500661630373
Cuscuta,y,Chl.a.b,5.1776978195257515,5,0.609609588743809
Cuscuta,y,Tot.Car,26.71393863651947,5,6.303289444935329
Cuscuta,y,VAZ,14.813747781579517,5,3.1696446692782816
Cuscuta,y,VAZ.Chl,0.6439235620654937,5,0.10212086970027263
Cuscuta,y,VAZ.Car,0.5562350326900181,5,0.01977899162602596
Cuscuta,y,NVZ,9.970792150099966,5,2.1462707123932114
Cuscuta,y,NVZ.Car,0.3742966895469305,5,0.01584637416550935
Cuscuta,y,Lut.Chl,0.22053227125248526,5,0.02404911905631284
Cuscuta,y,Lut.Car,0.19165345442009726,5,0.011145649326893886
Cuscuta,y,Lut.epo.Car,0.012837976253123436,5,0.01229071427432796
Cuscuta,y,a.Car.Car,0.0021610749448639156,5,0.00307928060443487
Cuscuta,y,b.Car.Car,0.24995043794502078,5,0.025651906327511333
Cuscuta,y,Zea.Car,0.09052271481994713,5,0.011648121624445406
Cuscuta,y,Vio.Car,0.28377397472698335,5,0.022973014488287452
Cuscuta,y,Neo.Car,0,5,0
Cuscuta,y,Ant.Car,0.18193834314308746,5,0.004968890696985251
Cuscuta,y,DEPS,32.664227974395885,5,2.5706302132152445
Cuscuta,o,a.Tocopherol,0.6067558019578129,7,0.7833336749093409
Cuscuta,o,Violaxanthin,2.2316827236192283,7,0.5027582210390205
Cuscuta,o,Neoxanthin,0,7,0
Cuscuta,o,Lutein.epoxide,0,7,0
Cuscuta,o,Antheraxanthin,1.7146464773724799,7,0.252130133384115
Cuscuta,o,Lutein,1.513992504000267,7,0.5314700319359816
Cuscuta,o,Zeaxanthin,0.7684350936142585,7,0.12542644460928246
Cuscuta,o,a.Carotene,0,7,0
Cuscuta,o,b.Carotene,4.838223010037793,7,2.3054280441049535
Cuscuta,o,cis.B.carotene,1.1384254899197057,7,0.7416238608352059
Cuscuta,o,Chl.b,2.430564223594124,7,0.7246548497049415
Cuscuta,o,Chl.a,6.451944545290067,7,2.8861797419149844
Cuscuta,o,Car.Chl31,891.6288386257141,7,410.8304311594664
Cuscuta,o,Tot.Chl,8.882508768884191,7,3.5356182681538355
Cuscuta,o,Chl.a.b,2.579822901908592,7,0.7018946281500038
Cuscuta,o,Tot.Car,11.066979808644026,7,2.588012773910841
Cuscuta,o,VAZ,4.714764294605967,7,0.7756295088056168
Cuscuta,o,VAZ.Chl,0.5883260021357085,7,0.1803891201642438
Cuscuta,o,VAZ.Car,0.4371443675090834,7,0.07014961753589294
Cuscuta,o,NVZ,3.000117817233487,7,0.5306579881660851
Cuscuta,o,NVZ.Car,0.2771248652735983,7,0.041776639249642276
Cuscuta,o,Lut.Chl,0.17425059603839857,7,0.012851347399649554
Cuscuta,o,Lut.Car,0.1390564105869099,7,0.04075135419314851
Cuscuta,o,Lut.epo.Car,0,7,0
Cuscuta,o,a.Car.Car,0,7,0
Cuscuta,o,b.Car.Car,0.42379922190400665,7,0.10500471779949021
