Subgenus,Species,Accession.No,Tissue.code,Pigment,Mean,n,sd
Cuscuta,C_epithymum,CUEP,h,Lut.epo.Car,0.01844182222424804,4,0.013051274346018158
Cuscuta,C_epithymum,CUEP,h,a.Car.Car,0,4,0
Cuscuta,C_epithymum,CUEP,h,b.Car.Car,0.27123018646210195,4,0.053119430129009944
Cuscuta,C_epithymum,CUEP,h,Neo.Car,0,4,0
Grammica,C_australis,1382,sdlg,Chl.b,17.24129723147365,1,NA
Grammica,C_australis,1382,sdlg,Chl.a,63.555850326500796,1,NA
Grammica,C_australis,1382,sdlg,Tot.Chl,80.79714755797444,1,NA
Grammica,C_australis,1382,sdlg,Chl.a.b,3.6862568676375953,1,NA
Grammica,C_australis,1382,sdlg,Tot.Car,64.67402942066805,1,NA
Grammica,C_australis,1382,sdlg,VAZ.Car,0.3270643803371809,1,NA
Grammica,C_australis,1382,sdlg,Lut.Car,0.35509945251508385,1,NA
Grammica,C_australis,1382,sdlg,Lut.epo.Car,0.011557602974219152,1,NA
Grammica,C_australis,1382,sdlg,a.Car.Car,0.01730883141151493,1,NA
Grammica,C_australis,1382,sdlg,b.Car.Car,0.2660008725132469,1,NA
Grammica,C_australis,1382,sdlg,Neo.Car,0.03452646322297347,1,NA
Grammica,C_australis,1382,y,Chl.b,10.78463242764538,2,13.853174772156999
Grammica,C_australis,1382,y,Chl.a,6.80672263523256,2,4.764082249521961
Grammica,C_australis,1382,y,Tot.Chl,17.591355062877938,2,18.617257021678963
Grammica,C_australis,1382,y,Chl.a.b,1.985408969030774,2,2.108568404647452
Grammica,C_australis,1382,y,Tot.Car,83.65208152974722,2,29.498576488336482
Grammica,C_australis,1382,y,VAZ.Car,0.4978894148039794,2,0.016716740996168596
Grammica,C_australis,1382,y,Lut.Car,0.2715167711718949,2,0.00504968432143229
Grammica,C_australis,1382,y,Lut.epo.Car,0.015745685506423437,2,0.0032313731361486055
Grammica,C_australis,1382,y,a.Car.Car,0.004482733709865662,2,0.006339542808999078
Grammica,C_australis,1382,y,b.Car.Car,0.2225693388263913,2,0.010336292712300606
Grammica,C_australis,1382,y,Neo.Car,0.0035417414878687807,2,0.005008778846563495
Grammica,C_australis,1382,o,Chl.b,2.84495488351938,3,0.9375841238914929
Grammica,C_australis,1382,o,Chl.a,7.973644303627537,3,2.844939195284501
Grammica,C_australis,1382,o,Tot.Chl,10.818599187146917,3,3.7352020546000877
Grammica,C_australis,1382,o,Chl.a.b,2.8036754043250616,3,0.3030575564293076
Grammica,C_australis,1382,o,Tot.Car,7.473619245763827,3,2.1878194038598027
Grammica,C_australis,1382,o,VAZ.Car,0.58151671366321,3,0.1257110340490518
Grammica,C_australis,1382,o,Lut.Car,0.1806278230410727,3,0.04109913564579607
Grammica,C_australis,1382,o,Lut.epo.Car,0,3,0
Grammica,C_australis,1382,o,a.Car.Car,0.0664259105732696,3,0.060898415643683916
Grammica,C_australis,1382,o,b.Car.Car,0.17142955272244753,3,0.22202185783586453
Grammica,C_australis,1382,o,Neo.Car,0,3,0
Grammica,C_australis,1382,h,Chl.b,5.08645753524304,2,3.8112409765359927
Grammica,C_australis,1382,h,Chl.a,15.59541567393136,2,8.901237934136082
Grammica,C_australis,1382,h,Tot.Chl,20.681873209174398,2,12.712478910672075
Grammica,C_australis,1382,h,Chl.a.b,3.351181083937478,2,0.7610248794839839
Grammica,C_australis,1382,h,Tot.Car,60.850419798605635,2,32.554399097709535
Grammica,C_australis,1382,h,VAZ.Car,0.15091606405773583,2,0.04300058536711186
Grammica,C_australis,1382,h,Lut.Car,0.08552429440578031,2,0.03803438216301076
Grammica,C_australis,1382,h,Lut.epo.Car,0.00426929369558237,2,0.006037693046046539
Grammica,C_australis,1382,h,a.Car.Car,0.026807041102285625,2,0.005547970917945145
Grammica,C_australis,1382,h,b.Car.Car,0.7367526004341982,2,0.010514174122046194
Grammica,C_australis,1382,h,Neo.Car,0,2,0
Grammica,C_australis,1382,s,Chl.b,45.05555904824442,1,NA
