Iteration	Posterior	Likelihood	Prior	is_irreverisible	rates[1]	rates[2]
0	-13.90201	-16.32601	2.423997	0	0.0601428	0.0425863
1	-13.70287	-11.59432	-2.108551	0	0.419552	0.359051
2	-15.13936	-11.7197	-3.419661	0	0.317003	0.657107
3	-15.52149	-11.34734	-4.174148	0	0.429508	0.657107
4	-15.88922	-11.17451	-4.714713	0	0.510115	0.657107
5	-16.83314	-12.56233	-4.270814	0	0.196036	0.904994
6	-13.46328	-12.49926	-0.9640257	0	0.196036	0.4119
7	-13.46328	-12.49926	-0.9640257	0	0.196036	0.4119
8	-13.46328	-12.49926	-0.9640257	0	0.196036	0.4119
9	-13.46328	-12.49926	-0.9640257	0	0.196036	0.4119
10	-13.17893	-12.07029	-1.108637	0	0.279651	0.349849
11	-14.10877	-14.43453	0.3257557	0	0.0657602	0.349849
12	-13.73549	-14.56075	0.8252522	0	0.0657602	0.275367
13	-13.73549	-14.56075	0.8252522	0	0.0657602	0.275367
14	-12.6679	-14.2252	1.557297	0	0.117165	0.114802
15	-13.83481	-11.55713	-2.277682	0	0.49468	0.309143
16	-13.83481	-11.55713	-2.277682	0	0.49468	0.309143
17	-12.94193	-12.24239	-0.6995388	0	0.259354	0.309143
18	-12.94193	-12.24239	-0.6995388	0	0.259354	0.309143
19	-12.43625	-12.77147	0.3352217	0	0.259354	0.154844
20	-12.43625	-12.77147	0.3352217	0	0.259354	0.154844
21	-12.59373	-13.48816	0.894429	0	0.259354	0.0714572
22	-12.38934	-13.40233	1.012988	0	0.197559	0.115573
23	-12.43376	-13.58878	1.155023	0	0.197559	0.0943938
24	-12.82942	-14.34395	1.514536	0	0.0987809	0.139563
25	-12.82942	-14.34395	1.514536	0	0.0987809	0.139563
26	-13.29577	-15.46593	2.170161	0	0.0987809	0.0417991
27	-14.00928	-13.41073	-0.5985504	0	0.511639	0.0417991
28	-12.88892	-14.66354	1.774625	0	0.154554	0.0450066
29	-14.81969	-14.09117	-0.7285196	0	0.0749466	0.497872
