Iteration	Posterior	Likelihood	Prior	is_irreverisible	rates[1]	rates[2]
0	-12.40706	-13.52372	1.11666	0	0.190352	0.107321
1	-12.52696	-12.74763	0.2206738	0	0.215937	0.215342
2	-12.90272	-12.08374	-0.8189801	0	0.370965	0.215342
3	-12.90272	-12.08374	-0.8189801	0	0.370965	0.215342
4	-12.90272	-12.08374	-0.8189801	0	0.370965	0.215342
5	-14.38471	-11.73627	-2.648441	0	0.317079	0.54203
6	-14.38471	-11.73627	-2.648441	0	0.317079	0.54203
7	-12.40183	-12.9501	0.5482714	0	0.244892	0.137537
8	-12.38222	-13.26009	0.8778693	0	0.195744	0.137537
9	-12.47963	-12.76098	0.2813496	0	0.284694	0.137537
10	-14.44305	-11.34168	-3.101378	0	0.511213	0.415436
11	-13.1989	-12.8281	-0.3708001	0	0.165721	0.353756
12	-13.09036	-12.85888	-0.231478	0	0.165721	0.332981
13	-13.0342	-12.60357	-0.430626	0	0.195417	0.332981
14	-12.83308	-12.68175	-0.1513331	0	0.195417	0.291334
15	-14.60845	-12.32548	-2.282965	0	0.689385	0.115225
16	-13.07694	-12.5081	-0.5688473	0	0.433784	0.115225
17	-12.81942	-14.48826	1.668844	0	0.100109	0.115225
18	-13.47202	-12.40711	-1.064903	0	0.507753	0.115225
19	-13.45435	-12.28286	-1.171498	0	0.507753	0.13112
20	-14.49027	-14.049	-0.4412742	0	0.507753	0.0222324
21	-14.28493	-14.0859	-0.1990249	0	0.47163	0.0222324
22	-13.98265	-13.71752	-0.2651369	0	0.47163	0.0320907
23	-12.64021	-13.14264	0.5024302	0	0.161287	0.227977
24	-12.97315	-13.96994	0.996788	0	0.27494	0.0406085
25	-12.52355	-13.52028	0.99673	0	0.238181	0.0773757
26	-13.68046	-12.17776	-1.502698	0	0.238181	0.450079
27	-13.31758	-12.23782	-1.079763	0	0.238181	0.387013
28	-14.00038	-13.95745	-0.04293848	0	0.0835745	0.387013
29	-14.00038	-13.95745	-0.04293848	0	0.0835745	0.387013
30	-14.00038	-13.95745	-0.04293848	0	0.0835745	0.387013
31	-13.44772	-11.8857	-1.562017	0	0.310093	0.387013
