Iteration	Replicate_ID	Posterior	Likelihood	Prior	is_irreverisible	rates[1]	rates[2]
0	0	-12.31812	-12.24272	-0.07540657	0	0.297392	0.24003
1	0	-12.47418	-11.76561	-0.7085632	0	0.486219	0.24003
2	0	-12.50175	-11.94796	-0.5537913	0	0.486219	0.193872
3	0	-12.83929	-11.47726	-1.362031	0	0.396107	0.525026
4	0	-13.14924	-11.34354	-1.805694	0	0.433481	0.619967
5	0	-12.4992	-11.55118	-0.948021	0	0.451931	0.345732
6	0	-14.89229	-11.17524	-3.717043	0	0.554543	1.06893
7	0	-15.01036	-12.32999	-2.680363	0	0.245373	1.06893
8	0	-14.95447	-12.21249	-2.741981	0	0.26375	1.06893
9	0	-12.46324	-11.60066	-0.8625807	0	0.443773	0.328409
10	0	-13.96339	-11.0333	-2.930083	0	0.593161	0.795615
11	0	-12.73302	-11.72844	-1.00458	0	0.593161	0.22137
12	0	-13.01146	-12.37426	-0.6371983	0	0.593161	0.111805
13	0	-13.01146	-12.37426	-0.6371983	0	0.593161	0.111805
14	0	-12.58207	-12.61784	0.03577246	0	0.39246	0.111805
15	0	-12.67101	-12.75786	0.08684873	0	0.39246	0.0965728
16	0	-12.84986	-12.68548	-0.1643773	0	0.47379	0.0901665
17	0	-13.14427	-14.07494	0.9306717	0	0.147212	0.0901665
18	0	-13.5913	-14.30447	0.7131687	0	0.0822677	0.219977
19	0	-12.37828	-12.20194	-0.1763434	0	0.390891	0.176634
20	0	-13.11643	-11.71163	-1.404797	0	0.717349	0.216539
21	0	-14.5629	-10.90079	-3.662108	0	0.717349	0.88974
22	0	-17.64557	-11.10165	-6.543918	0	1.57679	0.88974
23	0	-14.64631	-11.58459	-3.061715	0	1.1184	0.309631
24	0	-15.49882	-10.87149	-4.627333	0	1.1184	0.776547
25	0	-14.39334	-10.86371	-3.529631	0	0.791033	0.776547
26	0	-12.76466	-11.45654	-1.308117	0	0.599969	0.305086
27	0	-13.00912	-11.18209	-1.827025	0	0.599969	0.459841
28	0	-12.75831	-12.1094	-0.6489118	0	0.248618	0.459841
29	0	-13.9324	-13.82371	-0.1086825	0	0.0875052	0.459841
30	0	-13.01254	-13.65781	0.6452712	0	0.125492	0.197001
31	0	-12.43089	-12.72127	0.290374	0	0.231334	0.197001
32	0	-14.12205	-12.24913	-1.872914	0	0.231334	0.842161
33	0	-14.09539	-12.1959	-1.899495	0	0.239261	0.842161
34	0	-15.63628	-13.29788	-2.338398	0	0.14022	1.0721
35	0	-15.00552	-13.15601	-1.849511	0	0.14022	0.926295
36	0	-13.34011	-11.47851	-1.861602	0	0.383135	0.686986
37	0	-13.97311	-10.9177	-3.055416	0	0.739168	0.686986
38	0	-13.81825	-10.94418	-2.874073	0	0.739168	0.632904
39	0	-12.77528	-11.321	-1.454288	0	0.494169	0.454478
40	0	-12.34063	-11.87348	-0.4671534	0	0.369254	0.284999
41	0	-12.94013	-11.21241	-1.727726	0	0.557549	0.472646
42	0	-12.44921	-12.08784	-0.3613758	0	0.445014	0.177693
43	0	-13.06371	-12.10834	-0.9553698	0	0.241641	0.558213
44	0	-12.82291	-12.13906	-0.6838509	0	0.241641	0.477238
45	0	-13.06632	-11.2501	-1.816215	0	0.484406	0.57218
46	0	-13.24277	-11.26651	-1.976262	0	0.74041	0.363907
47	0	-13.35988	-11.05174	-2.308139	0	0.638414	0.564879
48	0	-12.94611	-11.52211	-1.423999	0	0.374736	0.564879
49	0	-13.11063	-11.16096	-1.949665	0	0.650481	0.445903
50	0	-13.03947	-11.21557	-1.823903	0	0.650481	0.408397
51	0	-12.38323	-12.62226	0.2390282	0	0.262373	0.181275
52	0	-12.66478	-12.49058	-0.1741952	0	0.453361	0.113523
53	0	-13.29051	-13.45359	0.1630755	0	0.42134	0.0449588
54	0	-12.35024	-11.88435	-0.4658863	0	0.352324	0.301552
55	0	-12.41905	-12.49976	0.08070776	0	0.235738	0.255126
56	0	-12.87822	-11.24989	-1.628329	0	0.530414	0.470138
57	0	-12.42419	-12.75034	0.3261474	0	0.252761	0.164905
58	0	-12.67167	-12.85336	0.181696	0	0.367879	0.0928676
59	0	-13.3855	-13.29971	-0.08578993	0	0.492993	0.0475262
60	0	-15.68112	-13.65469	-2.026434	0	1.0769	0.0423828
61	0	-15.68433	-13.6584	-2.025935	0	1.0769	0.0422339
62	0	-14.69221	-11.12251	-3.569699	0	1.0769	0.502633
63	0	-12.49894	-11.65062	-0.8483227	0	0.495137	0.272793
64	0	-12.49503	-11.6534	-0.8416282	0	0.493141	0.272793
65	0	-14.54775	-11.27365	-3.274103	0	0.493141	0.998232
66	0	-15.62409	-11.44287	-4.181218	0	0.493141	1.26876
67	0	-13.31536	-11.20727	-2.108085	0	0.493141	0.65049
68	0	-12.53109	-12.42917	-0.1019234	0	0.222563	0.322767
69	0	-13.23017	-12.22774	-1.002428	0	0.222563	0.591326
70	0	-14.26533	-10.951	-3.314325	0	0.912043	0.591326
71	0	-14.04273	-10.96661	-3.076119	0	0.862291	0.570037
72	0	-13.30988	-11.72915	-1.580726	0	0.772547	0.213808
73	0	-13.50026	-11.10051	-2.39975	0	0.772547	0.458067
74	0	-13.22967	-11.29136	-1.938308	0	0.453911	0.639086
75	0	-13.69948	-11.01241	-2.687068	0	0.617032	0.699269
76	0	-13.1166	-11.26463	-1.851967	0	0.698043	0.369205
77	0	-12.68163	-12.35666	-0.3249671	0	0.487499	0.12435
78	0	-12.52657	-12.94698	0.42041	0	0.203847	0.185708
79	0	-12.97644	-11.86106	-1.115385	0	0.661868	0.185708
80	0	-13.58226	-14.04175	0.4594934	0	0.348646	0.0292518
81	0	-12.84461	-13.16919	0.3245832	0	0.347158	0.0709752
82	0	-12.4692	-12.80075	0.3315543	0	0.217515	0.198538
83	0	-12.4692	-12.80075	0.3315543	0	0.217515	0.198538
84	0	-12.69399	-11.49512	-1.198866	0	0.574828	0.297645
85	0	-15.05387	-10.81738	-4.23649	0	0.852951	0.925436
86	0	-14.34492	-11.28997	-3.054952	0	1.03112	0.394893
87	0	-12.99595	-11.19041	-1.805539	0	0.55525	0.498151
88	0	-12.49671	-12.38031	-0.1163925	0	0.231767	0.317878
89	0	-12.85577	-11.2737	-1.582073	0	0.583492	0.403266
90	0	-12.6432	-11.52103	-1.122169	0	0.554997	0.294603
91	0	-12.6432	-11.52103	-1.122169	0	0.554997	0.294603
92	0	-12.86762	-12.3338	-0.5338234	0	0.554997	0.11914
93	0	-12.53255	-12.58919	0.05663415	0	0.378904	0.11914
94	0	-12.84749	-13.25493	0.4074381	0	0.144645	0.248778
95	0	-12.31679	-11.98797	-0.3288198	0	0.36422	0.248778
96	0	-13.04542	-11.48236	-1.563058	0	0.700617	0.28047
97	0	-13.1951	-11.37227	-1.822826	0	0.740264	0.318293
98	0	-12.31195	-12.27016	-0.04178992	0	0.310672	0.216725
99	0	-12.34135	-12.3162	-0.0251528	0	0.342513	0.179922
100	0	-12.3531	-12.35336	0.0002576695	0	0.342513	0.172343
101	0	-12.42339	-11.66415	-0.7592437	0	0.424617	0.316747
102	0	-13.41282	-11.32925	-2.083572	0	0.800008	0.336312
103	0	-12.68613	-11.42218	-1.263953	0	0.555572	0.336312
104	0	-13.46346	-11.23503	-2.228425	0	0.476298	0.703222
105	0	-13.26341	-12.01442	-1.248986	0	0.256779	0.630641
106	0	-13.02215	-12.05575	-0.9663972	0	0.250717	0.552426
107	0	-13.11522	-11.13639	-1.978833	0	0.619543	0.48554
108	0	-13.08592	-11.18419	-1.901729	0	0.654675	0.427413
109	0	-15.17494	-11.02085	-4.154094	0	0.654675	1.09914
110	0	-12.52637	-11.52308	-1.003285	0	0.475195	0.33895
111	0	-12.44091	-11.8755	-0.5654024	0	0.322041	0.361513
112	0	-12.44102	-11.8754	-0.5656203	0	0.322041	0.361578
113	0	-12.35506	-11.97744	-0.3776212	0	0.322041	0.305511
114	0	-12.61911	-12.93841	0.3193046	0	0.322041	0.0976659
115	0	-12.60026	-13.08299	0.4827343	0	0.186485	0.184482
116	0	-12.75119	-13.42568	0.6744872	0	0.214422	0.0993581
117	0	-12.60862	-12.94131	0.3326903	0	0.316357	0.0993581
118	0	-12.61035	-12.88223	0.2718866	0	0.33449	0.0993581
119	0	-12.41225	-11.71187	-0.7003833	0	0.388823	0.334987
120	0	-12.4608	-12.32951	-0.1312894	0	0.242364	0.311724
121	0	-13.59149	-11.63617	-1.955317	0	0.341685	0.756385
122	0	-14.00187	-10.94898	-3.052887	0	0.669014	0.756385
123	0	-14.2009	-10.94402	-3.256881	0	0.669014	0.817223
124	0	-14.45085	-11.78325	-2.667607	0	0.332704	0.977793
125	0	-14.47828	-11.88461	-2.593673	0	0.310655	0.977793
126	0	-12.82321	-11.39485	-1.428353	0	0.432761	0.508152
127	0	-13.02184	-11.70649	-1.315351	0	0.68901	0.218203
128	0	-13.32781	-11.71122	-1.61659	0	0.778848	0.218203
129	0	-14.91201	-11.36635	-3.545664	0	1.16532	0.407043
130	0	-12.91287	-12.09971	-0.8131535	0	0.610457	0.146985
131	0	-12.80461	-11.41618	-1.388431	0	0.610457	0.31855
132	0	-12.35957	-12.5373	0.1777266	0	0.277862	0.184068
133	0	-13.32518	-11.87142	-1.453758	0	0.764421	0.184068
134	0	-13.25835	-11.5953	-1.663045	0	0.764421	0.246484
135	0	-13.25835	-11.5953	-1.663045	0	0.764421	0.246484
136	0	-13.28749	-11.33622	-1.95127	0	0.764421	0.332442
137	0	-12.38306	-12.33974	-0.04331743	0	0.257498	0.270355
138	0	-12.34629	-11.85152	-0.4947718	0	0.392135	0.270355
139	0	-12.55991	-11.58246	-0.9774458	0	0.392135	0.414303
140	0	-13.69991	-11.17392	-2.525986	0	0.853958	0.414303
141	0	-12.55361	-13.0664	0.5127845	0	0.222515	0.139491
142	0	-12.68946	-13.32625	0.6367832	0	0.185534	0.139491
143	0	-12.38371	-12.4866	0.1028911	0	0.328441	0.155807
144	0	-12.91755	-11.26175	-1.655798	0	0.499844	0.5089
145	0	-13.16657	-11.21036	-1.956212	0	0.499844	0.598493
146	0	-16.0573	-10.91958	-5.137717	0	0.792361	1.2548
147	0	-15.65502	-11.81764	-3.83738	0	1.34537	0.313988
148	0	-14.44453	-11.99471	-2.449817	0	1.05076	0.194782
149	0	-14.97866	-12.90234	-2.076317	0	1.05076	0.0833929
150	0	-15.72636	-13.79386	-1.932503	0	1.05511	0.0361566
151	0	-12.95648	-12.33374	-0.6227437	0	0.583604	0.117051
152	0	-12.45985	-12.7748	0.3149451	0	0.220073	0.200934
153	0	-13.53873	-14.30541	0.7666774	0	0.085352	0.200934
