Subgenus,Tissue.edit,Metric,mean,n,sd
Grammica,sdlg,ΦNPQ,0.28278198385714287,42,0.10626411768380117
Grammica,sdlg,Φf.D,0.3937866815555556,54,0.11974073113524564
Grammica,sdlg,NPQ,0.7844644321929825,57,0.5249193892051526
Grammica,sdlg,X1.qP,0.5312112280163934,61,0.3294092223042732
Grammica,y,Fo,0.02743854748603352,179,0.018841339920854405
Grammica,y,Fm,0.06930335195530726,179,0.055319686744505915
Grammica,y,Ft,0.028493854748603352,179,0.019029628471847165
Grammica,y,Fo.,0.02171495207821229,179,0.014137183138340932
Grammica,y,Fv.Fm,0.5649126495872093,172,0.1035437681792802
Grammica,y,φPSII,0.3155062634134078,179,0.13135625669000778
Grammica,y,ΦNPQ,0.1959765901542857,175,0.12263793418136225
Grammica,y,Φf.D,0.46004901234682083,173,0.13128680612620716
Grammica,y,NPQ,0.513205894740113,177,0.45855751823105473
Grammica,y,X1.qP,0.31625039046511627,172,0.15227457885767118
Grammica,o,Fo,0.01951,160,0.015883174911931773
Grammica,o,Fm,0.047883125,160,0.05398933183914306
Grammica,o,Ft,0.02207875,160,0.018909278237392337
Grammica,o,Fo.,0.01552129256875,160,0.011635740129636078
Grammica,o,Fv.Fm,0.5049204742413793,145,0.1408886621161282
Grammica,o,φPSII,0.18075866615923566,157,0.11947702536257374
Grammica,o,ΦNPQ,0.20535072056687897,157,0.1181862790689988
Grammica,o,Φf.D,0.5622223597042254,142,0.13925152444425562
Grammica,o,NPQ,0.42562599532911394,158,0.3580784546954576
Grammica,o,X1.qP,0.5304796819219858,141,0.19495817299428272
Grammica,h,Fo,0.06538807947019867,151,0.036969637861633285
Grammica,h,Fm,0.17995921052631578,152,0.10526534014163538
Grammica,h,Ft,0.08082,150,0.046696768495469394
Grammica,h,Fo.,0.050228873046666664,150,0.026953785416842898
Grammica,h,Fv.Fm,0.6244463238410596,151,0.10037115349691622
Grammica,h,φPSII,0.20476908767096774,155,0.10892940293560206
Grammica,h,ΦNPQ,0.2927229587792208,154,0.12231086314651039
Grammica,h,Φf.D,0.4680530270130719,153,0.12424277197876998
Grammica,h,NPQ,0.7026804575548387,155,0.4608746246428931
Grammica,h,X1.qP,0.5739772256578948,152,0.17007855839397015
Grammica,f,Fo,0.05755071428571429,140,0.0313728047388812
Grammica,f,Fm,0.16354460431654677,139,0.10195749268630792
Grammica,f,Ft,0.07708947368421053,133,0.04450468695637044
Grammica,f,Fo.,0.047113842239130434,138,0.024727513475316893
Grammica,f,Fv.Fm,0.6285318663308823,136,0.10615106502564814
Grammica,f,φPSII,0.1889984437972028,143,0.14758317065489848
Grammica,f,ΦNPQ,0.23919013812413792,145,0.1017967659505138
Grammica,f,Φf.D,0.543060841160584,137,0.16729630057695116
Grammica,f,NPQ,0.5123484512827586,145,0.3196330538846463
Grammica,f,X1.qP,0.6343959187368421,133,0.2483891628063983
Grammica,s,Fo,0.14240980392156863,51,0.038306961533914226
Grammica,s,Fm,0.4083425531914894,47,0.10501133840371477
Grammica,s,Ft,0.19847169811320756,53,0.04999102756941063
Grammica,s,Fo.,0.11599524384,50,0.026434430522354644
Grammica,s,Fv.Fm,0.6141934519041096,73,0.07853172915868589
Grammica,s,φPSII,0.16214349697260275,73,0.09307467245195308
Grammica,s,ΦNPQ,0.32093670752173914,69,0.09663856185204296
Grammica,s,Φf.D,0.5012208810149253,67,0.1331059639232247
Grammica,s,NPQ,0.7147558375135135,74,0.4273603086517105
Grammica,s,X1.qP,0.6437888755285714,70,0.1812554418097655
Ipomoea_nil,l,Fo,0.17698181818181818,11,0.01680254850799831
Ipomoea_nil,l,Fm,0.6899909090909091,11,0.07315384411697658
Ipomoea_nil,l,Ft,0.19096363636363636,11,0.018040691379615843
Ipomoea_nil,l,Fo.,0.13170573345454545,11,0.009154076834209079
Ipomoea_nil,l,Fv.Fm,0.7427291074545455,11,0.018192047061477132
Ipomoea_nil,l,φPSII,0.3693141775,10,0.05158128486928758
Ipomoea_nil,l,ΦNPQ,0.3469525989,10,0.05603273296412143
Ipomoea_nil,l,Φf.D,0.27864680081818183,11,0.03199684303986522
Ipomoea_nil,l,NPQ,1.2401005476,10,0.2658170730134167
Ipomoea_nil,l,X1.qP,0.3623672963333333,9,0.07375557315584075
Ipomoea_nil,y,Fo,0.2152,6,0.023660600161449843
Ipomoea_nil,y,Fm,0.7241666666666666,6,0.04406888547111973
Ipomoea_nil,y,Ft,0.21583333333333332,6,0.012512660255384011
Ipomoea_nil,y,Fo.,0.1410583335,6,0.008050969018701056
Ipomoea_nil,y,Fv.Fm,0.7031252226666667,6,0.023410350030831587
Ipomoea_nil,y,ΦPSII,0.18158545566666667,6,0.024238384822423353
Ipomoea_nil,y,ΦPSII,0.5189911423333333,6,0.03234985627552211
Ipomoea_nil,y,Φf.D,0.2994234023333333,6,0.030141144263023396
Ipomoea_nil,y,NPQ,1.6512329338,5,0.1464075894898629
Ipomoea_nil,y,X1.qP,0.607932174,6,0.05059012565408432
Ipomoea_nil,o,Fo,0.1593,5,0.012399999999999993
Ipomoea_nil,o,Fm,0.54402,5,0.0565541068358435
Ipomoea_nil,o,Ft,0.23872500000000002,4,0.024737875818267027
Ipomoea_nil,o,Fo.,0.1319588694,5,0.010214703864684536
Ipomoea_nil,o,Fv.Fm,0.7058473968,5,0.022399102899130784
Ipomoea_nil,o,φPSII,0.2236752552,5,0.028033972058983378
Ipomoea_nil,o,ΦNPQ,0.3299350341666667,6,0.047864469824614134
Ipomoea_nil,o,Φf.D,0.443155556,5,0.051993510761228906
Ipomoea_nil,o,NPQ,0.7370925071666667,6,0.19351413286811558
Ipomoea_nil,o,X1.qP,0.61778637,4,0.04006177438114653
Ipomoea_nil,f,Fo,0.0627888888888889,9,0.020796480738603615
Ipomoea_nil,f,Fm,0.20234444444444444,9,0.06180503844977186
Ipomoea_nil,f,Ft,0.08424444444444444,9,0.027249500505106102
Ipomoea_nil,f,Fo.,0.04648609922222222,9,0.014899058207096446
Ipomoea_nil,f,Fv.Fm,0.679142383375,8,0.029708989100705865
Ipomoea_nil,f,φPSII,0.13088832422222224,9,0.030685853327491807
Ipomoea_nil,f,ΦNPQ,0.45184674933333335,9,0.05402843671381637
Ipomoea_nil,f,Φf.D,0.42955940575,8,0.04549642816721271
Ipomoea_nil,f,NPQ,1.1149580838888888,9,0.2739564616440677
Ipomoea_nil,f,X1.qP,0.7413306958888889,9,0.07192784664629248
Ipomoea_nil,s,Fo,0.089375,12,0.02736354990925636
Ipomoea_nil,s,Fm,0.43903333333333333,12,0.08818177850670775
Ipomoea_nil,s,Ft,0.27455,12,0.04936272977570316
Ipomoea_nil,s,Fo.,0.08754674681818182,11,0.02182386017375573
Ipomoea_nil,s,Fv.Fm,0.7779440113846154,13,0.024587511774954707
Ipomoea_nil,s,φPSII,0.18483373084615384,13,0.02871546250974232
Ipomoea_nil,s,ΦNPQ,0.19478641861538462,13,0.03649322619738936
Ipomoea_nil,s,Φf.D,0.6203798503846154,13,0.05058068778585466
