Subgenus,Species,Accession.,Individual,AOI....Sample.per.Replicate.,Tissue,Measurement.Date,Time,Comments,exclude,Tissue.edit,ID,Metric,Value,Subgenus.Metric,Tissue.edit_names,Subgenus.Tissue
Cuscuta,C_epithymum,CUEP,D,3,old,2018-06-20,3:33:30 PM,,,o,564,Fv.Fm,0.337837838,Cuscuta__Fv.Fm,Old,Cuscuta__Old
Cuscuta,C_epithymum,CUEP,A,2,young,2018-05-25,4:13:09 PM,,,y,588,Fv.Fm,0.314814815,Cuscuta__Fv.Fm,Young,Cuscuta__Young
Cuscuta,C_epithymum,CUEP,D,1,haustorium,2018-06-20,3:54:20 PM,,,h,598,Fv.Fm,0.474048443,Cuscuta__Fv.Fm,Haustorium,Cuscuta__Haustorium
Cuscuta,C_epithymum,CUEP,A,6,young,2018-05-25,4:13:09 PM,,,y,633,Fv.Fm,0.319444444,Cuscuta__Fv.Fm,Young,Cuscuta__Young
Cuscuta,C_epithymum,CUEP,D,1,seed,8/20/18,17:50:06,,,s,657,Fv.Fm,0.626307922,Cuscuta__Fv.Fm,Seed,Cuscuta__Seed
Cuscuta,C_epithymum,CUEP,2,1,seedling,2018-05-01,2:08:56 PM,,,sdlg,660,Fv.Fm,0.431989924,Cuscuta__Fv.Fm,Seedling,Cuscuta__Seedling
Cuscuta,C_epithymum,CUEP,C,3,young,2018-05-29,1:56:11 PM,,,y,692,Fv.Fm,0.566326531,Cuscuta__Fv.Fm,Young,Cuscuta__Young
Cuscuta,C_epithymum,CUEP,2,3,seedling,2018-05-01,2:08:56 PM,,,sdlg,708,Fv.Fm,0.458923513,Cuscuta__Fv.Fm,Seedling,Cuscuta__Seedling
Cuscuta,C_epithymum,CUEP,1,2,seedling,2018-01-05,1:52:00 PM,,,sdlg,721,Fv.Fm,0.535714286,Cuscuta__Fv.Fm,Seedling,Cuscuta__Seedling
Cuscuta,C_epithymum,CUEP,1,3,seedling,2018-01-05,1:52:00 PM,,,sdlg,731,Fv.Fm,0.549327354,Cuscuta__Fv.Fm,Seedling,Cuscuta__Seedling
Cuscuta,C_epithymum,CUEP,A,4,old,2018-05-25,4:27:35 PM,,,o,758,Fv.Fm,0.481632653,Cuscuta__Fv.Fm,Old,Cuscuta__Old
Cuscuta,C_epithymum,CUEP,A,3,young,2018-05-25,4:13:09 PM,,,y,772,Fv.Fm,0.460431655,Cuscuta__Fv.Fm,Young,Cuscuta__Young
Cuscuta,C_epithymum,CUEP,D,2,haustorium,2018-06-20,3:54:20 PM,,,h,783,Fv.Fm,0.483561644,Cuscuta__Fv.Fm,Haustorium,Cuscuta__Haustorium
Cuscuta,C_epithymum,CUEP,C,5,haustorium,2018-05-29,2:14:27 PM,,,h,798,Fv.Fm,0.620889749,Cuscuta__Fv.Fm,Haustorium,Cuscuta__Haustorium
Cuscuta,C_epithymum,CUEP,A,5,young,2018-05-25,4:13:09 PM,,,y,801,Fv.Fm,0.441471572,Cuscuta__Fv.Fm,Young,Cuscuta__Young
Cuscuta,C_epithymum,CUEP,C,2,haustorium,2018-05-29,2:14:27 PM,,,h,805,Fv.Fm,0.678531073,Cuscuta__Fv.Fm,Haustorium,Cuscuta__Haustorium
Cuscuta,C_epithymum,CUEP,A,1,old,2018-05-25,4:27:35 PM,,,o,810,Fv.Fm,0.598639456,Cuscuta__Fv.Fm,Old,Cuscuta__Old
Cuscuta,C_epithymum,CUEP,D,3,haustorium,2018-06-20,3:54:20 PM,,,h,823,Fv.Fm,0.543057996,Cuscuta__Fv.Fm,Haustorium,Cuscuta__Haustorium
Cuscuta,C_epithymum,CUEP,A,4,haustorium,2018-05-25,4:36:01 PM,,,h,828,Fv.Fm,0.664451827,Cuscuta__Fv.Fm,Haustorium,Cuscuta__Haustorium
Cuscuta,C_epithymum,CUEP,2,2,seedling,2018-05-01,2:08:56 PM,,,sdlg,859,Fv.Fm,0.574529667,Cuscuta__Fv.Fm,Seedling,Cuscuta__Seedling
Cuscuta,C_epithymum,CUEP,A,3,old,2018-05-25,4:27:35 PM,,,o,860,Fv.Fm,0.56675063,Cuscuta__Fv.Fm,Old,Cuscuta__Old
Cuscuta,C_epithymum,CUEP,D,3,seed,8/20/18,17:50:06,,,s,861,Fv.Fm,0.723741794,Cuscuta__Fv.Fm,Seed,Cuscuta__Seed
Cuscuta,C_epithymum,CUEP,A,1,young,2018-05-25,4:13:09 PM,,,y,864,Fv.Fm,0.547038328,Cuscuta__Fv.Fm,Young,Cuscuta__Young
Cuscuta,C_epithymum,CUEP,C,2,old,2018-05-29,2:05:22 PM,,,o,893,Fv.Fm,0.640226629,Cuscuta__Fv.Fm,Old,Cuscuta__Old
Cuscuta,C_epithymum,CUEP,A,1,haustorium,2018-05-25,4:36:01 PM,,,h,895,Fv.Fm,0.646666667,Cuscuta__Fv.Fm,Haustorium,Cuscuta__Haustorium
Cuscuta,C_epithymum,CUEP,C,6,old,2018-05-29,2:05:22 PM,,,o,897,Fv.Fm,0.736578382,Cuscuta__Fv.Fm,Old,Cuscuta__Old
Cuscuta,C_epithymum,CUEP,A,4,young,2018-05-25,4:13:09 PM,,,y,914,Fv.Fm,0.515151515,Cuscuta__Fv.Fm,Young,Cuscuta__Young
Cuscuta,C_epithymum,CUEP,A,2,old,2018-05-25,4:27:35 PM,,,o,915,Fv.Fm,0.644444444,Cuscuta__Fv.Fm,Old,Cuscuta__Old
Cuscuta,C_epithymum,CUEP,D,2,young,2018-06-20,2:48:08 PM,,,y,938,Fv.Fm,0.520114943,Cuscuta__Fv.Fm,Young,Cuscuta__Young
Cuscuta,C_epithymum,CUEP,C,1,young,2018-05-29,1:56:11 PM,,,y,943,Fv.Fm,0.537867079,Cuscuta__Fv.Fm,Young,Cuscuta__Young
Cuscuta,C_epithymum,CUEP,C,1,old,2018-05-29,2:05:22 PM,,,o,961,Fv.Fm,0.672240803,Cuscuta__Fv.Fm,Old,Cuscuta__Old
Cuscuta,C_epithymum,CUEP,C,5,old,2018-05-29,2:05:22 PM,,,o,964,Fv.Fm,0.733003708,Cuscuta__Fv.Fm,Old,Cuscuta__Old
Cuscuta,C_epithymum,CUEP,C,2,young,2018-05-29,1:56:11 PM,,,y,966,Fv.Fm,0.644859813,Cuscuta__Fv.Fm,Young,Cuscuta__Young
Cuscuta,C_epithymum,CUEP,C,4,old,2018-05-29,2:05:22 PM,,,o,980,Fv.Fm,0.697324415,Cuscuta__Fv.Fm,Old,Cuscuta__Old
Grammica,C_cephalanthii,1567,A,2,seed,2017-12-21,10:53:16 AM,ok to 0,,s,2,Fv.Fm,0.702341137,Grammica__Fv.Fm,Seed,Grammica__Seed
Grammica,C_indecora,ss16-17,A,7,seed,2018-01-15,10:19:56 AM,other aoi had signal,,s,4,Fv.Fm,0.598,Grammica__Fv.Fm,Seed,Grammica__Seed
Grammica,C_californica,ss17-105,B,2,old,2018-05-29,3:42:33 PM,,,o,6,Fv.Fm,0.537037037,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_cephalanthii,1567,B,4,old,2017-12-13,12:12:56 PM,,,o,7,Fv.Fm,0.243902439,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_cephalanthii,1567,A,6,flower,2017-12-21,10:53:16 AM,,,f,8,Fv.Fm,0.591954023,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_cephalanthii,1567,A,8,flower,2017-12-21,10:53:16 AM,,,f,9,Fv.Fm,0.551297899,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_cephalanthii,1567,A,6,old,2017-12-21,10:20:01 AM,,,o,10,Fv.Fm,0.211864407,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_cephalanthii,1567,D,4,old,2018-03-08,12:10:52 PM,,,o,11,Fv.Fm,0.409638554,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_cephalanthii,1567,E,5,old,2018-03-08,1:10:13 PM,,,o,14,Fv.Fm,0.43537415,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_indecora,ss16-17,C,5,flower,2018-03-23,4:45:38 PM,,,f,26,Fv.Fm,0.310463122,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_sandwichiana,155,A,9,flower,2018-01-15,11:13:48 AM,0 YPSII,,f,76,Fv.Fm,0.380237154,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_compacta,1566,E,1,young,2017-11-15,9:59:32 AM,0 PSII; others have some level of PSII though… just not this one,,y,82,Fv.Fm,0.582200247,Grammica__Fv.Fm,Young,Grammica__Young
Grammica,C_denticulata,ss13-46,-,4,seedling,2018-04-17,1:38:52 PM,,,sdlg,90,Fv.Fm,0.495921697,Grammica__Fv.Fm,Seedling,Grammica__Seedling
Grammica,C_denticulata,ss13-46,A,2,old,2018-05-29,3:19:24 PM,,,o,91,Fv.Fm,0.358974359,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_tasmanica,17-15,A,3,old,2018-04-17,3:00:16 PM,,,o,105,Fv.Fm,0.169491525,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_tasmanica,17-15,B,4,old,2017-12-21,12:02:39 PM,,,o,109,Fv.Fm,0.2,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_tasmanica,17-15,B,4,flower,2018-05-25,12:21:17 PM,,,f,110,Fv.Fm,0.303092784,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_tasmanica,17-15,D,5,flower,2018-05-29,10:52:34 AM,,,f,111,Fv.Fm,0.338983051,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_tasmanica,17-15,D,2,old,2018-05-03,1:42:52 PM,,,o,112,Fv.Fm,0.267716535,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_tasmanica,17-15,D,3,old,2018-05-03,1:42:52 PM,,,o,113,Fv.Fm,0.135135135,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_tasmanica,17-15,D,4,old,2018-05-03,1:42:52 PM,,,o,114,Fv.Fm,0.254237288,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_australis,1382,B,1,haustorium,2017-12-13,3:30:14 PM,,,h,115,Fv.Fm,0.491935484,Grammica__Fv.Fm,Haustorium,Grammica__Haustorium
Grammica,C_costaricensis,CUCO,C,3,young,2018-05-25,2:39:54 PM,,,y,119,Fv.Fm,0.443365696,Grammica__Fv.Fm,Young,Grammica__Young
Grammica,C_sandwichiana,155,C,3,seed,2018-01-15,9:59:00 AM,,,s,123,Fv.Fm,0.611343861,Grammica__Fv.Fm,Seed,Grammica__Seed
Grammica,C_sandwichiana,155,A,8,flower,2018-01-15,11:13:48 AM,,,f,124,Fv.Fm,0.460240964,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_sandwichiana,155,A,3,seed,2018-01-15,11:13:48 AM,,,s,125,Fv.Fm,0.537524054,Grammica__Fv.Fm,Seed,Grammica__Seed
Grammica,C_cephalanthii,1567,B,12,flower,2017-12-21,10:08:02 AM,,,f,126,Fv.Fm,0.494577007,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_sandwichiana,155,A,10,flower,2018-01-15,11:13:48 AM,,,f,127,Fv.Fm,0.427198817,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_sandwichiana,155,C,8,flower,2018-01-15,9:59:00 AM,,,f,128,Fv.Fm,0.440014368,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_sandwichiana,155,A,4,seed,2018-01-15,11:13:48 AM,,,s,129,Fv.Fm,0.660926366,Grammica__Fv.Fm,Seed,Grammica__Seed
Grammica,C_compacta,1566,D,6,flower,2018-03-08,11:00:04 AM,,,f,130,Fv.Fm,0.441747573,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_compacta,1566,D,4,flower,2018-03-08,11:00:04 AM,,,f,131,Fv.Fm,0.480620155,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_compacta,1566,D,3,flower,2018-03-08,11:00:04 AM,,,f,132,Fv.Fm,0.432506887,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_indecora,ss16-17,B,7,flower,2018-01-25,12:25:31 PM,,,f,133,Fv.Fm,0.493358634,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_gracillima,CUGR,B,2,old,2018-07-06,10:42:14 AM,,,o,134,Fv.Fm,0.508223684,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_cephalanthii,1567,B,3,seed,2017-12-21,10:08:02 AM,,,s,135,Fv.Fm,0.616657266,Grammica__Fv.Fm,Seed,Grammica__Seed
Grammica,C_polygonorum,1705,C,7,flower,2017-12-13,1:00:53 PM,,,f,138,Fv.Fm,0.404034582,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_indecora,ss16-17,D,3,flower,2018-02-16,3:35:35 PM,,,f,139,Fv.Fm,0.728858177,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_compacta,1566,-,2,seedling,2017-11-09,5:36:41 PM,,,sdlg,140,Fv.Fm,0.46002805,Grammica__Fv.Fm,Seedling,Grammica__Seedling
Grammica,C_gracillima,CUGR,B,2,haustorium,2018-07-06,10:49:28 AM,,,h,141,Fv.Fm,0.521070234,Grammica__Fv.Fm,Haustorium,Grammica__Haustorium
Grammica,C_compacta,1566,-,1,seedling,2017-11-09,5:44:53 PM,,,sdlg,142,Fv.Fm,0.496563574,Grammica__Fv.Fm,Seedling,Grammica__Seedling
Grammica,C_sandwichiana,155,C,9,flower,2018-01-15,9:59:00 AM,,,f,144,Fv.Fm,0.528045326,Grammica__Fv.Fm,Flower,Grammica__Flower
