Subgenus,Species,Accession.,Tissue.edit,Metric,mean,n,sd
Cuscuta,C_epithymum,CUEP,f,Fm,0.03320666666666667,15,0.01496206950289711
Cuscuta,C_epithymum,CUEP,f,Ft,0.02285,16,0.010166677595622542
Cuscuta,C_epithymum,CUEP,f,Fo.,0.014584789062499999,16,0.00800289394087026
Cuscuta,C_epithymum,CUEP,f,Fv.Fm,0.4798288683571429,14,0.1784477225246672
Cuscuta,C_epithymum,CUEP,f,φPSII,0.061609797875000004,16,0.08851946146252346
Cuscuta,C_epithymum,CUEP,f,ΦNPQ,0.25751478866666666,15,0.06276943409324631
Cuscuta,C_epithymum,CUEP,f,Φf.D,0.679035667,15,0.10475999698855414
Cuscuta,C_epithymum,CUEP,f,NPQ,0.3948061462,15,0.13389306432839893
Cuscuta,C_epithymum,CUEP,f,X1.qP,0.8618896756666666,15,0.1950542278597477
Cuscuta,C_epithymum,CUEP,s,Fo,0.04388333333333334,6,0.010887684173719712
Cuscuta,C_epithymum,CUEP,s,Fm,0.12153333333333333,6,0.04652133560708104
Cuscuta,C_epithymum,CUEP,s,Ft,0.05138333333333333,6,0.012965094163432313
Cuscuta,C_epithymum,CUEP,s,Fo.,0.0343573125,6,0.00870261818131865
Cuscuta,C_epithymum,CUEP,s,Fv.Fm,0.6182493788333334,6,0.06736388978222492
Cuscuta,C_epithymum,CUEP,s,φPSII,0.1907942298,5,0.06163530938063505
Cuscuta,C_epithymum,CUEP,s,ΦNPQ,0.32608985716666666,6,0.039823559422824555
Cuscuta,C_epithymum,CUEP,s,Φf.D,0.44774067083333335,6,0.084753383109032715
Cuscuta,C_epithymum,CUEP,s,NPQ,0.7454068391666666,6,0.12475212815784882
Cuscuta,C_epithymum,CUEP,s,X1.qP,0.5468418401666667,6,0.15114796895385105
Grammica,C_australis,1382,sdlg,Fo,0.07680000000000001,6,0.017738545599907566
Grammica,C_australis,1382,sdlg,Fm,0.22123333333333334,3,0.047199187846120115
Grammica,C_australis,1382,sdlg,Ft,0.05586666666666667,6,0.021992241056033073
Grammica,C_australis,1382,sdlg,Fo.,0.03943192933333333,6,0.012378245828067605
Grammica,C_australis,1382,sdlg,Fv.Fm,0.7295082936666667,6,0.022563233536101828
Grammica,C_australis,1382,sdlg,φPSII,0.17506974079999998,5,0.11195660537525078
Grammica,C_australis,1382,sdlg,ΦNPQ,0.4293254985,2,0.1140491403076
Grammica,C_australis,1382,sdlg,Φf.D,0.2951286156666667,3,0.0746000686627548
Grammica,C_australis,1382,sdlg,NPQ,1.2855693344999999,2,0.12125280761150081
Grammica,C_australis,1382,sdlg,X1.qP,0.49052650600000003,4,0.2231322001865581
Grammica,C_australis,1382,y,Fo,0.05001111111111111,9,0.02206181341393112
Grammica,C_australis,1382,y,Fm,0.11176666666666667,9,0.06138637878226732
Grammica,C_australis,1382,y,Ft,0.044922222222222224,9,0.016260979196974716
Grammica,C_australis,1382,y,Fo.,0.03712026377777778,9,0.013066735129449713
Grammica,C_australis,1382,y,Fv.Fm,0.530119343,9,0.06296585023578934
Grammica,C_australis,1382,y,φPSII,0.28525630366666666,9,0.046793484029907816
Grammica,C_australis,1382,y,ΦNPQ,0.2643509571111111,9,0.12583531107665308
Grammica,C_australis,1382,y,Φf.D,0.4503927391111111,9,0.11689617593713506
Grammica,C_australis,1382,y,NPQ,0.7370627975555556,9,0.6804054872616248
Grammica,C_australis,1382,y,X1.qP,0.29722531566666666,9,0.09889994954370256
Grammica,C_australis,1382,o,Fo,0.026477777777777777,9,0.017191115276340985
Grammica,C_australis,1382,o,Fm,0.05121111111111111,9,0.0389277036454902
Grammica,C_australis,1382,o,Ft,0.024066666666666667,9,0.014646757320308137
Grammica,C_australis,1382,o,Fo.,0.019259464444444443,9,0.011954158614808459
Grammica,C_australis,1382,o,Fv.Fm,0.4546080341111111,9,0.06436891808313334
Grammica,C_australis,1382,o,φPSII,0.16445921144444445,9,0.04580009665250041
Grammica,C_australis,1382,o,ΦNPQ,0.3184605868888889,9,0.11105811981988373
Grammica,C_australis,1382,o,Φf.D,0.5170802016666667,9,0.11099380830729495
Grammica,C_australis,1382,o,NPQ,0.6881447995555556,9,0.3966608900973931
Grammica,C_australis,1382,o,X1.qP,0.5155991042222222,9,0.09243915648443328
Grammica,C_australis,1382,h,Fo,0.04863,10,0.03945498278629287
Grammica,C_australis,1382,h,Fm,0.11198,10,0.11303124248533136
Grammica,C_australis,1382,h,Ft,0.05225,10,0.06047839375439059
Grammica,C_australis,1382,h,Fo.,0.0331085975,10,0.033255630624711034
Grammica,C_australis,1382,h,Fv.Fm,0.5427885394285714,7,0.06919184923726067
Grammica,C_australis,1382,h,φPSII,0.0814092375,10,0.07746145046883159
Grammica,C_australis,1382,h,ΦNPQ,0.3014848155,8,0.22266141672097023
Grammica,C_australis,1382,h,Φf.D,0.393966137875,8,0.20119650234566555
Grammica,C_australis,1382,h,NPQ,1.0806055112222221,9,1.08682542762808
Grammica,C_australis,1382,h,X1.qP,0.698796888125,8,0.2617922257856863
Grammica,C_australis,1382,s,Fo,0.15,2,0.024324473272817223
Grammica,C_australis,1382,s,Fm,0.43899999999999995,2,0.11681404025201762
Grammica,C_australis,1382,s,Ft,0.22304999999999997,2,0.08039804102091044
Grammica,C_australis,1382,s,Fo.,0.1269613275,2,0.024186192177795187
Grammica,C_australis,1382,s,Fv.Fm,0.6534164069999999,2,0.03681402398138287
Grammica,C_australis,1382,s,φPSII,0.2334308105,2,0.055010696453408614
Grammica,C_australis,1382,s,ΦNPQ,0.2650951575,2,0.005309481679273448
Grammica,C_australis,1382,s,Φf.D,0.501474032,2,0.04970121477413521
Grammica,C_australis,1382,s,NPQ,0.5307137545,2,0.04201142075055684
Grammica,C_australis,1382,s,X1.qP,0.5714980295000001,2,0.13606356926538607
Grammica,C_californica,ss17-105,sdlg,Fo,0.050975,4,0.011278408575681232
Grammica,C_californica,ss17-105,sdlg,Fm,0.219475,4,0.026546735518075775
Grammica,C_californica,ss17-105,sdlg,Ft,0.050225,4,0.011387822443294419
Grammica,C_californica,ss17-105,sdlg,Fo.,0.036225587749999996,4,9.72562920371863e-4
Grammica,C_californica,ss17-105,sdlg,Fv.Fm,0.7696648887499999,4,0.02201172679329833
Grammica,C_californica,ss17-105,sdlg,φPSII,0.3434763855,2,0.14574639961317437
Grammica,C_californica,ss17-105,sdlg,ΦNPQ,0.257944082,3,0.05084027608213059
Grammica,C_californica,ss17-105,sdlg,Φf.D,0.23390543000000003,4,0.0718710571248028
Grammica,C_californica,ss17-105,sdlg,NPQ,1.107478405,3,0.5356199422127664
Grammica,C_californica,ss17-105,sdlg,X1.qP,0.2579319775,4,0.14289229517728874
