Subgenus,Species,Accession.,Individual,Tissue.edit,Metric,mean,n,sd
Cuscuta,C_epithymum,CUEP,2,sdlg,ΦNPQ,0.236355457,1,NA
Cuscuta,C_epithymum,CUEP,2,sdlg,Φf.D,0.46451906,3,0.07264237334384932
Cuscuta,C_epithymum,CUEP,2,sdlg,NPQ,0.4880878123333333,3,0.36621528850300766
Cuscuta,C_epithymum,CUEP,2,sdlg,X1.qP,0.161659155,3,0.10252526791588763
Cuscuta,C_epithymum,CUEP,A,y,Fo,0.01855,6,0.00697674709302265
Cuscuta,C_epithymum,CUEP,A,y,Fm,0.03515,6,0.017595311875610503
Cuscuta,C_epithymum,CUEP,A,y,Ft,0.018466666666666666,6,0.006734587341973275
Cuscuta,C_epithymum,CUEP,A,y,Fo.,0.01691562883333333,6,0.005932273002226024
Cuscuta,C_epithymum,CUEP,A,y,Fv.Fm,0.4330587215,6,0.09740683390880436
Cuscuta,C_epithymum,CUEP,A,y,φPSII,0.344067517,6,0.07840250796317007
Cuscuta,C_epithymum,CUEP,A,y,ΦNPQ,0.08179403983333333,6,0.07180624024184622
Cuscuta,C_epithymum,CUEP,A,y,Φf.D,0.5741384431666666,6,0.1275073130133653
Cuscuta,C_epithymum,CUEP,A,y,NPQ,0.17438125833333334,6,0.2056730786243065
Cuscuta,C_epithymum,CUEP,A,y,X1.qP,0.13683809416666667,6,0.054691617608016045
Cuscuta,C_epithymum,CUEP,A,o,Fo,0.012083333333333333,6,0.004900782250484781
Cuscuta,C_epithymum,CUEP,A,o,Fm,0.0267,6,0.016492058695020462
Cuscuta,C_epithymum,CUEP,A,o,Ft,0.012566666666666667,6,0.005529798067440317
Cuscuta,C_epithymum,CUEP,A,o,Fo.,0.0104275505,6,0.004348046694102571
Cuscuta,C_epithymum,CUEP,A,o,Fv.Fm,0.45908352283333337,6,0.19864538364745699
Cuscuta,C_epithymum,CUEP,A,o,φPSII,0.28426791483333336,6,0.17104644983547598
Cuscuta,C_epithymum,CUEP,A,o,ΦNPQ,0.16887605683333334,6,0.021998195234043085
Cuscuta,C_epithymum,CUEP,A,o,Φf.D,0.5468560283333334,6,0.1701344757419869
Cuscuta,C_epithymum,CUEP,A,o,NPQ,0.33067994900000003,6,0.09633192579122749
Cuscuta,C_epithymum,CUEP,A,o,X1.qP,0.38917172716666665,6,0.3167507589542167
Cuscuta,C_epithymum,CUEP,A,h,Fo,0.0299,5,0.011978313737751238
Cuscuta,C_epithymum,CUEP,A,h,Fm,0.07108,5,0.046778061097057025
Cuscuta,C_epithymum,CUEP,A,h,Ft,0.03326,5,0.01870582796884436
Cuscuta,C_epithymum,CUEP,A,h,Fo.,0.024584203,5,0.011388450282174853
Cuscuta,C_epithymum,CUEP,A,h,Fv.Fm,0.5267737576,5,0.12388339932262449
Cuscuta,C_epithymum,CUEP,A,h,φPSII,0.253335803,5,0.13682662055299408
Cuscuta,C_epithymum,CUEP,A,h,ΦNPQ,0.2490909246,5,0.049583104402865716
Cuscuta,C_epithymum,CUEP,A,h,Φf.D,0.4975732722,5,0.094303182689728
Cuscuta,C_epithymum,CUEP,A,h,NPQ,0.504184929,5,0.0709776935129162
Cuscuta,C_epithymum,CUEP,A,h,X1.qP,0.4409243708,5,0.16196993339215213
Cuscuta,C_epithymum,CUEP,A,f,Fo,0.026757142857142858,7,0.00982205971998018
Cuscuta,C_epithymum,CUEP,A,f,Fm,0.03768333333333333,6,0.019112238661827832
Cuscuta,C_epithymum,CUEP,A,f,Ft,0.027314285714285715,7,0.011795257319706732
Cuscuta,C_epithymum,CUEP,A,f,Fo.,0.020337581285714286,7,0.008807939811596971
Cuscuta,C_epithymum,CUEP,A,f,Fv.Fm,0.2722718414,5,0.08168791877932736
Cuscuta,C_epithymum,CUEP,A,f,φPSII,-0.0027170661428571425,7,0.060172332757853025
Cuscuta,C_epithymum,CUEP,A,f,ΦNPQ,0.27171939283333335,6,0.07910140159381088
Cuscuta,C_epithymum,CUEP,A,f,Φf.D,0.7371194515,6,0.07307336686693065
Cuscuta,C_epithymum,CUEP,A,f,NPQ,0.37802806683333334,6,0.14509156646533802
Cuscuta,C_epithymum,CUEP,A,f,X1.qP,0.9797743153333334,6,0.1999162810919147
Cuscuta,C_epithymum,CUEP,C,y,Fo,0.033666666666666664,3,0.010566140891230504
Cuscuta,C_epithymum,CUEP,C,y,Fm,0.08396666666666666,3,0.038593306846308635
Cuscuta,C_epithymum,CUEP,C,y,Ft,0.033549999999999996,2,3.535533905932692e-4
Cuscuta,C_epithymum,CUEP,C,y,Fo.,0.03212541233333333,3,0.010539834787381934
Cuscuta,C_epithymum,CUEP,C,y,Fv.Fm,0.5830178076666667,3,0.05541489258106611
Cuscuta,C_epithymum,CUEP,C,y,φPSII,0.4242964223333333,3,0.1155553263571508
Cuscuta,C_epithymum,CUEP,C,y,ΦNPQ,0.06767160666666666,3,0.06726890665879731
Cuscuta,C_epithymum,CUEP,C,y,Φf.D,0.5080319713333333,3,0.06665765101949249
Cuscuta,C_epithymum,CUEP,C,y,NPQ,0.12948316233333335,3,0.1164396416871398
Cuscuta,C_epithymum,CUEP,C,y,X1.qP,0.24042570966666668,3,0.16360972562573328
Cuscuta,C_epithymum,CUEP,C,o,Fo,0.0245,6,0.014887847393092126
Cuscuta,C_epithymum,CUEP,C,o,Fm,0.06838333333333332,6,0.03976291823629984
Cuscuta,C_epithymum,CUEP,C,o,Ft,0.027133333333333332,6,0.015666354606821163
Cuscuta,C_epithymum,CUEP,C,o,Fo.,0.0168425096,5,0.008048073623461039
Cuscuta,C_epithymum,CUEP,C,o,Fv.Fm,0.6229147185,6,0.1824214204237947
Cuscuta,C_epithymum,CUEP,C,o,φPSII,0.4136684708333333,6,0.16590777211798818
Cuscuta,C_epithymum,CUEP,C,o,ΦNPQ,0.16823969166666666,6,0.05850125463770534
Cuscuta,C_epithymum,CUEP,C,o,Φf.D,0.4180918376666667,6,0.18634926588983985
Cuscuta,C_epithymum,CUEP,C,o,NPQ,0.47234590666666665,6,0.2725423502452601
Cuscuta,C_epithymum,CUEP,C,o,X1.qP,0.2056211732,5,0.05400594434729366
Cuscuta,C_epithymum,CUEP,C,h,Fo,0.05656,5,0.016780732999484856
Cuscuta,C_epithymum,CUEP,C,h,Fm,0.12774,5,0.04170477190921921
Cuscuta,C_epithymum,CUEP,C,h,Ft,0.0592,4,0.012924653444741432
Cuscuta,C_epithymum,CUEP,C,h,Fo.,0.039308128000000005,3,0.0062349476308030845
Cuscuta,C_epithymum,CUEP,C,h,Fv.Fm,0.5413498152,5,0.10511468983962316
Cuscuta,C_epithymum,CUEP,C,h,φPSII,0.275214032,5,0.0828654610048259
Cuscuta,C_epithymum,CUEP,C,h,ΦNPQ,0.2045211472,5,0.07447627797716432
Cuscuta,C_epithymum,CUEP,C,h,Φf.D,0.5202648214,5,0.1292222285578303
Cuscuta,C_epithymum,CUEP,C,h,NPQ,0.4328355916,5,0.21535235017433446
Cuscuta,C_epithymum,CUEP,C,h,X1.qP,0.406979969,5,0.0780243364992959
Cuscuta,C_epithymum,CUEP,D,y,Fo,0.01374,5,0.002842182260165593
Cuscuta,C_epithymum,CUEP,D,y,Fm,0.02216,5,0.009606143867338235
Cuscuta,C_epithymum,CUEP,D,y,Ft,0.01324,5,0.0028421822601655926
Cuscuta,C_epithymum,CUEP,D,y,Fo.,0.0131044676,5,0.0027157441566659593
Cuscuta,C_epithymum,CUEP,D,y,Fv.Fm,0.1040229886,5,0.2326024737322857
Cuscuta,C_epithymum,CUEP,D,y,φPSII,0.0934210526,5,0.20889582414318345
Cuscuta,C_epithymum,CUEP,D,y,ΦNPQ,0.013475498999999998,5,0.030132131794730437
Cuscuta,C_epithymum,CUEP,D,y,Φf.D,0.8931034482,5,0.2390279563851275
Cuscuta,C_epithymum,CUEP,D,y,NPQ,0.0289473684,5,0.06472828351212932
Cuscuta,C_epithymum,CUEP,D,y,X1.qP,0.039541119,1,NA
Cuscuta,C_epithymum,CUEP,D,o,Fo,0.00415,4,6.454972243679029e-4
Cuscuta,C_epithymum,CUEP,D,o,Fm,0.0045249999999999995,4,0.0019311050377094116
Cuscuta,C_epithymum,CUEP,D,o,Ft,0.004275,4,4.787135538781691e-4
Cuscuta,C_epithymum,CUEP,D,o,Fo.,0.003749155,4,7.88640432468435e-4
Cuscuta,C_epithymum,CUEP,D,o,Fv.Fm,0.0844594595,4,0.168918919
Cuscuta,C_epithymum,CUEP,D,o,φPSII,0.05859375,4,0.1171875
Cuscuta,C_epithymum,CUEP,D,o,ΦNPQ,0.0258657095,4,0.051731419
Cuscuta,C_epithymum,CUEP,D,o,Φf.D,0.662162162,1,NA
Cuscuta,C_epithymum,CUEP,D,o,NPQ,0.0390625,4,0.078125
Cuscuta,C_epithymum,CUEP,D,o,X1.qP,0.234472656,1,NA
Cuscuta,C_epithymum,CUEP,D,h,Fo,0.03136666666666667,3,0.0059095967149487725
Cuscuta,C_epithymum,CUEP,D,h,Fm,0.06256666666666666,3,0.009046730532813128
Cuscuta,C_epithymum,CUEP,D,h,Ft,0.03336666666666667,3,0.005564470624716544
Cuscuta,C_epithymum,CUEP,D,h,Fo.,0.027668099999999998,3,0.0048580067869450315
Cuscuta,C_epithymum,CUEP,D,h,Fv.Fm,0.5002226943333333,3,0.03740016778000273
Cuscuta,C_epithymum,CUEP,D,h,φPSII,0.32460171466666665,3,0.06838609736340977
Cuscuta,C_epithymum,CUEP,D,h,ΦNPQ,0.13864616033333332,3,0.02643214221976309
Cuscuta,C_epithymum,CUEP,D,h,Φf.D,0.536752125,3,0.09436532538715589
Cuscuta,C_epithymum,CUEP,D,h,NPQ,0.2685173046666667,3,0.08733938392987309
Cuscuta,C_epithymum,CUEP,D,h,X1.qP,0.2646865663333333,3,0.15019134431475864
Cuscuta,C_epithymum,CUEP,D,f,Fo,0.011644444444444445,9,0.003578446279850765
Cuscuta,C_epithymum,CUEP,D,f,Fm,0.030222222222222223,9,0.011764860579048289
Cuscuta,C_epithymum,CUEP,D,f,Ft,0.01937777777777778,9,0.007645550630559217
Cuscuta,C_epithymum,CUEP,D,f,Fo.,0.010110395111111111,9,0.0032282291865980274
Cuscuta,C_epithymum,CUEP,D,f,Fv.Fm,0.5951383277777778,9,0.08078440550609374
Cuscuta,C_epithymum,CUEP,D,f,φPSII,0.11164180322222222,9,0.07442843543877686
Cuscuta,C_epithymum,CUEP,D,f,ΦNPQ,0.24804505255555556,9,0.052269923861105246
Cuscuta,C_epithymum,CUEP,D,f,Φf.D,0.6403131440000001,9,0.10794058123674839
Cuscuta,C_epithymum,CUEP,D,f,NPQ,0.40599153244444447,9,0.13365537993488755
Cuscuta,C_epithymum,CUEP,D,f,X1.qP,0.7832999158888889,9,0.15566215233718805
Cuscuta,C_epithymum,CUEP,D,s,Fo,0.04388333333333334,6,0.010887684173719712
Cuscuta,C_epithymum,CUEP,D,s,Fm,0.12153333333333333,6,0.04652133560708104
Cuscuta,C_epithymum,CUEP,D,s,Ft,0.05138333333333333,6,0.012965094163432313
Cuscuta,C_epithymum,CUEP,D,s,Fo.,0.0343573125,6,0.00870261818131865
Cuscuta,C_epithymum,CUEP,D,s,Fv.Fm,0.6182493788333334,6,0.06736388978222492
Cuscuta,C_epithymum,CUEP,D,s,φPSII,0.1907942298,5,0.06163530938063505
Cuscuta,C_epithymum,CUEP,D,s,ΦNPQ,0.32608985716666666,6,0.039823559422824555
Cuscuta,C_epithymum,CUEP,D,s,Φf.D,0.44774067083333335,6,0.084753383109032715
Cuscuta,C_epithymum,CUEP,D,s,NPQ,0.7454068391666666,6,0.12475212815784882
Cuscuta,C_epithymum,CUEP,D,s,X1.qP,0.5468418401666667,6,0.15114796895385105
Grammica,C_australis,1382,-,sdlg,Fo,0.07680000000000001,6,0.017738545599907566
Grammica,C_australis,1382,-,sdlg,Fm,0.22123333333333334,3,0.047199187846120115
Grammica,C_australis,1382,-,sdlg,Ft,0.05586666666666667,6,0.021992241056033073
Grammica,C_australis,1382,-,sdlg,Fo.,0.03943192933333333,6,0.012378245828067605
Grammica,C_australis,1382,-,sdlg,Fv.Fm,0.7295082936666667,6,0.022563233536101828
Grammica,C_australis,1382,-,sdlg,φPSII,0.17506974079999998,5,0.11195660537525078
Grammica,C_australis,1382,-,sdlg,ΦNPQ,0.4293254985,2,0.1140491403076
Grammica,C_australis,1382,-,sdlg,Φf.D,0.2951286156666667,3,0.0746000686627548
Grammica,C_australis,1382,-,sdlg,NPQ,1.2855693344999999,2,0.12125280761150081
Grammica,C_australis,1382,-,sdlg,X1.qP,0.49052650600000003,4,0.2231322001865581
Grammica,C_australis,1382,A,y,Fo,0.0277,2,0.00311126983722081
Grammica,C_australis,1382,A,y,Fm,0.06004999999999999,2,0.007990306627407986
Grammica,C_australis,1382,A,y,Ft,0.032100000000000004,2,0.001697056274847716
Grammica,C_australis,1382,A,y,Fo.,0.0252877645,2,0.0026914598341235742
Grammica,C_australis,1382,A,y,Fv.Fm,0.5380755325,2,0.009652760631918349
Grammica,C_australis,1382,A,y,φPSII,0.35227883000000004,2,0.04229970606392628
Grammica,C_australis,1382,A,y,ΦNPQ,0.11028915950000001,2,9.507566861003409e-4
Grammica,C_australis,1382,A,y,Φf.D,0.5374320105,2,0.043250462750026676
Grammica,C_australis,1382,A,y,NPQ,0.2059531945,2,0.01834339430069485
Grammica,C_australis,1382,A,y,X1.qP,0.2835116475,2,0.07747733858253977
Grammica,C_australis,1382,A,o,Fo,0.010966666666666666,3,0.003652852766446155
Grammica,C_australis,1382,A,o,Fm,0.019933333333333334,3,0.007405628490096795
Grammica,C_australis,1382,A,o,Ft,0.012233333333333332,3,0.003722006627255428
Grammica,C_australis,1382,A,o,Fo.,0.009294159666666666,3,0.0031836633363539453
Grammica,C_australis,1382,A,o,Fv.Fm,0.4439189906666667,3,0.024461656552086288
Grammica,C_australis,1382,A,o,φPSII,0.16995488133333334,3,0.06534124890481363
Grammica,C_australis,1382,A,o,ΦNPQ,0.20590792466666666,3,0.028656274739598305
Grammica,C_australis,1382,A,o,Φf.D,0.624137194,3,0.0461813687449142
Grammica,C_australis,1382,A,o,NPQ,0.33000551266666667,3,0.03829913005198496
Grammica,C_australis,1382,A,o,X1.qP,0.5533865533333333,3,0.14622491946072955
Grammica,C_australis,1382,A,h,Fo,0.03286666666666667,3,0.0061133733186624
Grammica,C_australis,1382,A,h,Fm,0.0675,3,0.018519989200860783
Grammica,C_australis,1382,A,h,Ft,0.023366666666666668,3,0.0065431898439013165
Grammica,C_australis,1382,A,h,Fo.,0.019019352666666666,3,0.002624888405728201
Grammica,C_australis,1382,A,h,Fv.Fm,0.505665999,3,0.04349317907821266
Grammica,C_australis,1382,A,h,φPSII,0.159821093,3,0.017162263265293777
Grammica,C_australis,1382,A,h,ΦNPQ,0.46500421599999997,3,0.17719744285924124
Grammica,C_australis,1382,A,h,Φf.D,0.37517469133333337,3,0.189210944384607
Grammica,C_australis,1382,A,h,NPQ,1.5976492196666667,3,1.0845649086442144
Grammica,C_australis,1382,A,h,X1.qP,0.439367691,3,0.16540780173658587
Grammica,C_australis,1382,B,y,Fo,0.0641,4,0.024368558978049293
Grammica,C_australis,1382,B,y,Fm,0.15515,4,0.06889559734361357
Grammica,C_australis,1382,B,y,Ft,0.052074999999999996,4,0.021688918061228104
Grammica,C_australis,1382,B,y,Fo.,0.04310056625,4,0.016520100708837186
Grammica,C_australis,1382,B,y,Fv.Fm,0.5689310790000001,4,0.06727669945188143
Grammica,C_australis,1382,B,y,φPSII,0.26543446725,4,0.03297158405681636
Grammica,C_australis,1382,B,y,ΦNPQ,0.3708162525,4,0.09002108735271117
Grammica,C_australis,1382,B,y,Φf.D,0.36374928025,4,0.12158177276748892
Grammica,C_australis,1382,B,y,NPQ,1.214284463,4,0.8059158507919141
Grammica,C_australis,1382,B,y,X1.qP,0.30028117,4,0.15158147169566688
Grammica,C_australis,1382,B,o,Fo,0.034333333333333334,3,0.021118791000749385
Grammica,C_australis,1382,B,o,Fm,0.07683333333333334,3,0.055154721768252375
Grammica,C_australis,1382,B,o,Ft,0.028933333333333332,3,0.019517257320979642
Grammica,C_australis,1382,B,o,Fo.,0.022774098666666666,3,0.014798450703081735
Grammica,C_australis,1382,B,o,Fv.Fm,0.5183104006666667,3,0.07292720363089729
Grammica,C_australis,1382,B,o,φPSII,0.172960352,3,0.057061464110691205
Grammica,C_australis,1382,B,o,ΦNPQ,0.44555175233333333,3,0.06559903086275119
Grammica,C_australis,1382,B,o,Φf.D,0.3814878956666667,3,0.029163394212629392
Grammica,C_australis,1382,B,o,NPQ,1.1763888063333334,3,0.22120162598886373
Grammica,C_australis,1382,B,o,X1.qP,0.49324560266666667,3,0.06824131416543464
Grammica,C_australis,1382,B,h,Fo,0.0876,4,0.03241923297468135
Grammica,C_australis,1382,B,h,Fm,0.217675,4,0.10911380526771121
Grammica,C_australis,1382,B,h,Ft,0.10844999999999999,4,0.06141153528993284
Grammica,C_australis,1382,B,h,Fo.,0.0646538495,4,0.03165183490104215
Grammica,C_australis,1382,B,h,Fv.Fm,0.57063044475,4,0.07682626061716478
Grammica,C_australis,1382,B,h,φPSII,0.083657274,4,0.07086498064528193
Grammica,C_australis,1382,B,h,ΦNPQ,0.338955292,3,0.09495998409970215
Grammica,C_australis,1382,B,h,Φf.D,0.47693040425,4,0.1890998848206973
Grammica,C_australis,1382,B,h,NPQ,1.2331254855,4,1.1352658275602823
Grammica,C_australis,1382,B,h,X1.qP,0.818068008,4,0.15863003594444774
Grammica,C_australis,1382,C,y,Fo,0.0461,3,0.01155811403300729
Grammica,C_australis,1382,C,y,Fm,0.0884,3,0.025758105520398814
Grammica,C_australis,1382,C,y,Ft,0.04393333333333333,3,0.009078729720249049
Grammica,C_australis,1382,C,y,Fo.,0.037034859999999996,3,0.007643211590896329
Grammica,C_australis,1382,C,y,Fv.Fm,0.4730662353333333,3,0.03262492238125602
Grammica,C_australis,1382,C,y,φPSII,0.26700373466666666,3,0.021345635259882065
Grammica,C_australis,1382,C,y,ΦNPQ,0.225105095,3,0.049667328967111
Grammica,C_australis,1382,C,y,Φf.D,0.50789117,3,0.06325546857118029
Grammica,C_australis,1382,C,y,NPQ,0.45484031233333333,3,0.14267090574016666
Grammica,C_australis,1382,C,y,X1.qP,0.30229328866666666,3,0.037586560476357174
Grammica,C_australis,1382,C,o,Fo,0.034133333333333335,3,0.01346934791789615
Grammica,C_australis,1382,C,o,Fm,0.05686666666666666,3,0.02155001933487145
Grammica,C_australis,1382,C,o,Ft,0.031033333333333333,3,0.01204007198206611
Grammica,C_australis,1382,C,o,Fo.,0.025710135,3,0.010609953903373992
Grammica,C_australis,1382,C,o,Fv.Fm,0.401594711,3,0.013516338903340763
Grammica,C_australis,1382,C,o,φPSII,0.150462401,3,0.020433604608120833
Grammica,C_australis,1382,C,o,ΦNPQ,0.3039220836666667,3,0.025763495584024205
Grammica,C_australis,1382,C,o,Φf.D,0.5456155153333333,3,0.017440578522602966
Grammica,C_australis,1382,C,o,NPQ,0.5580400796666667,3,0.060022233971822735
Grammica,C_australis,1382,C,o,X1.qP,0.5001651566666667,3,0.06994798751209186
Grammica,C_australis,1382,C,h,Fo,0.012433333333333333,3,0.0039878983604567115
Grammica,C_australis,1382,C,h,Fm,0.015533333333333333,3,0.0052003205029433845
Grammica,C_australis,1382,C,h,Ft,0.0062,3,0.0032140317359976396
Grammica,C_australis,1382,C,h,Fo.,0.005137506333333333,3,0.0023514570030775243
Grammica,C_australis,1382,C,h,φPSII,0,3,0
