Iteration	Replicate_ID	Posterior	Likelihood	Prior	is_irreverisible	rates[1]	rates[2]
0	0	-13.39361	-11.1341	-2.259513	0	0.69556	0.448549
1	0	-13.43078	-11.1133	-2.31748	0	0.781996	0.448549
2	0	-14.55934	-11.81869	-2.740642	0	0.420734	1.44081
3	0	-13.41621	-11.25079	-2.165415	0	0.588062	0.415732
4	0	-13.50428	-11.16912	-2.335163	0	0.841181	0.415732
5	0	-13.55521	-11.49891	-2.056302	0	0.425357	0.415732
6	0	-13.69385	-11.37361	-2.320246	0	0.425357	0.809313
7	0	-13.54448	-11.09881	-2.445663	0	0.946135	0.475552
8	0	-13.49742	-11.0841	-2.413327	0	0.897916	0.475552
9	0	-13.90311	-11.27454	-2.628563	0	1.21887	0.475552
10	0	-17.44493	-14.558	-2.886937	0	1.99719	0.0825044
11	0	-17.01903	-14.23644	-2.782585	0	1.84158	0.0825044
12	0	-16.60357	-13.92636	-2.677215	0	1.68446	0.0825044
13	0	-15.52763	-13.27439	-2.253237	0	1.07427	0.060475
14	0	-14.96324	-12.97832	-1.984927	0	0.674183	0.060475
15	0	-13.35354	-11.0539	-2.29964	0	0.674183	0.529761
16	0	-13.642	-11.54485	-2.097151	0	0.37224	0.529761
17	0	-13.41614	-11.22429	-2.191845	0	0.513443	0.529761
18	0	-13.71516	-11.11329	-2.601866	0	1.12485	0.529761
19	0	-14.06649	-11.30932	-2.757164	0	1.35642	0.529761
20	0	-16.21568	-10.82629	-5.389395	0	2.55142	3.25983
21	0	-15.83932	-10.76447	-5.074847	0	2.08238	3.25983
22	0	-16.32805	-10.85856	-5.469489	0	2.66565	3.26503
23	0	-15.65524	-11.03052	-4.62472	0	1.40597	3.26503
24	0	-16.4511	-11.21226	-5.238839	0	1.40597	4.18078
25	0	-15.44444	-12.09149	-3.352951	0	2.13047	0.644128
26	0	-18.02013	-13.45563	-4.564509	0	3.53234	1.04888
27	0	-13.83522	-11.38155	-2.453669	0	1.06716	0.366463
28	0	-13.83522	-11.38155	-2.453669	0	1.06716	0.366463
29	0	-13.98345	-11.88631	-2.097132	0	0.721867	0.180106
30	0	-13.94322	-11.02356	-2.919661	0	1.36171	0.766782
31	0	-13.84873	-10.86137	-2.987359	0	1.28624	0.943201
32	0	-14.29919	-11.61397	-2.685218	0	1.38158	0.397322
33	0	-14.07719	-10.83323	-3.243957	0	1.05468	1.55738
34	0	-14.07719	-10.83323	-3.243957	0	1.05468	1.55738
35	0	-14.07719	-10.83323	-3.243957	0	1.05468	1.55738
