Iteration	Posterior	Likelihood	Prior	is_irreverisible	rates[1]	rates[2]
0	-14.13437	-10.80336	-3.331017	0	1.40444	1.33745
1	-14.20291	-10.79508	-3.407835	0	1.21814	1.63829
2	-14.50153	-10.83269	-3.668834	0	1.60733	1.63829
3	-13.51232	-10.93334	-2.578976	0	0.687805	0.932673
4	-13.46787	-10.927	-2.54087	0	0.687805	0.875851
5	-13.91126	-10.91356	-2.997703	0	1.34216	0.902703
6	-13.91126	-10.91356	-2.997703	0	1.34216	0.902703
7	-13.91126	-10.91356	-2.997703	0	1.34216	0.902703
8	-13.89312	-10.76527	-3.127857	0	1.17989	1.25905
9	-13.92206	-10.8456	-3.076458	0	1.32869	1.03361
10	-14.80618	-10.88383	-3.922342	0	1.32869	2.29496
11	-13.74724	-11.05224	-2.694998	0	0.646917	1.14657
12	-15.24894	-11.47188	-3.777062	0	2.20045	1.20656
13	-15.86037	-12.56678	-3.293586	0	2.20045	0.485619
14	-14.98023	-11.95324	-3.026992	0	1.80292	0.485619
15	-13.65367	-10.84456	-2.809116	0	0.837673	1.12598
16	-13.68327	-10.78124	-2.902031	0	0.976225	1.12598
17	-13.97134	-11.43102	-2.540317	0	0.456568	1.10626
18	-13.62112	-11.61533	-2.005792	0	0.423708	0.342063
19	-14.97429	-13.17603	-1.798257	0	0.138348	0.317956
20	-16.78934	-14.33326	-2.456083	0	0.0948995	1.34233
21	-15.9717	-13.47786	-2.493838	0	0.151198	1.34233
22	-15.08613	-13.33994	-1.746186	0	0.311956	0.066702
23	-14.39106	-12.58536	-1.805706	0	0.230129	0.237282
24	-15.06161	-13.34644	-1.715169	0	0.24096	0.0914473
25	-15.43053	-13.74922	-1.681308	0	0.208339	0.0735761
26	-13.81682	-11.6305	-2.186324	0	0.796158	0.238814
27	-15.98082	-13.08509	-2.895736	0	1.8764	0.216419
28	-15.30837	-12.28728	-3.021085	0	1.8764	0.403333
29	-13.45565	-11.3422	-2.113457	0	0.522983	0.403333
30	-14.97033	-12.35423	-2.616094	0	1.45376	0.222066
31	-14.28322	-11.4874	-2.795826	0	1.45376	0.490074
32	-13.4325	-11.27581	-2.156689	0	0.500707	0.490074
33	-14.21661	-12.05998	-2.156632	0	0.834496	0.1562
34	-13.36899	-10.91044	-2.458547	0	0.751847	0.689051
35	-15.0204	-11.53395	-3.486443	0	0.751847	2.22181
36	-14.23772	-10.93582	-3.301908	0	0.979273	1.71921
37	-14.36621	-10.78813	-3.578082	0	1.39109	1.71921
38	-14.36621	-10.78813	-3.578082	0	1.39109	1.71921
39	-14.28431	-10.80149	-3.482818	0	1.24904	1.71921
40	-14.35628	-11.05637	-3.299908	0	0.894086	1.80141
41	-15.69376	-11.1599	-4.533863	0	1.27584	3.25968
42	-16.07129	-11.26422	-4.807074	0	1.27584	3.66708
43	-16.52833	-11.97333	-4.555001	0	0.899958	3.66708
44	-14.65466	-10.8104	-3.844262	0	1.60481	1.9024
45	-14.20574	-10.90858	-3.297158	0	1.52906	1.16234
46	-15.38683	-10.90121	-4.485625	0	2.11944	2.34415
47	-14.48302	-10.80078	-3.682242	0	1.51829	1.74733
48	-13.36496	-11.05765	-2.307311	0	0.60347	0.611913
49	-13.96492	-10.76975	-3.195169	0	1.24266	1.29665
50	-13.3807	-11.16354	-2.21716	0	0.619761	0.461192
