Iteration	Posterior	Likelihood	Prior	is_irreverisible	rates[1]	rates[2]
0	-16.40424	-11.9449	-4.459344	0	2.88956	1.53484
1	-16.39605	-11.20933	-5.186727	0	2.88956	2.61948
2	-15.0971	-10.91582	-4.181279	0	1.39028	2.61948
3	-15.0971	-10.91582	-4.181279	0	1.39028	2.61948
4	-13.98038	-11.02573	-2.954644	0	1.39028	0.790375
5	-13.98257	-11.03611	-2.946457	0	1.39028	0.778167
6	-14.01472	-11.1351	-2.879614	0	1.39028	0.678494
7	-14.86143	-10.86559	-3.995841	0	1.39028	2.34296
8	-15.87866	-11.1139	-4.764758	0	2.53686	2.34296
9	-17.9715	-11.86854	-6.102952	0	4.02108	2.8542
10	-16.06464	-10.94157	-5.12307	0	2.55992	2.8542
11	-16.63644	-11.25282	-5.383627	0	1.40772	4.39493
12	-13.82648	-10.82529	-3.001192	0	1.25367	0.996398
13	-14.67282	-11.01673	-3.656086	0	1.07623	2.15039
14	-13.85957	-10.7748	-3.084779	0	1.07623	1.29848
15	-13.9781	-11.16346	-2.814645	0	0.639033	1.33286
16	-14.59064	-11.28094	-3.309703	0	0.784669	1.92544
17	-13.3724	-10.91058	-2.461815	0	0.784669	0.661103
18	-14.41122	-10.83233	-3.578892	0	1.23965	1.87186
19	-14.88065	-10.95819	-3.922464	0	1.23965	2.38417
20	-14.91971	-10.84422	-4.075486	0	1.46783	2.38417
21	-13.82674	-10.77426	-3.05248	0	1.06086	1.26568
22	-13.79546	-10.92172	-2.873737	0	0.79433	1.26568
23	-15.10684	-11.10921	-3.997627	0	2.09542	1.64049
24	-15.80334	-11.28349	-4.519842	0	2.53547	1.97914
25	-15.88784	-11.09597	-4.791869	0	2.53547	2.38477
26	-15.03553	-10.81009	-4.225442	0	1.69084	2.38477
27	-14.92238	-10.84251	-4.07987	0	1.47377	2.38477
28	-15.14196	-10.81929	-4.322674	0	1.83583	2.38477
29	-14.58365	-10.96028	-3.623377	0	1.75841	1.41943
30	-14.60128	-10.96897	-3.632314	0	1.77174	1.41943
31	-15.10752	-12.1652	-2.94232	0	1.77174	0.390544
32	-14.2028	-10.86192	-3.340884	0	1.50148	1.25512
33	-14.70447	-11.46229	-3.242176	0	1.82309	0.786327
34	-13.97394	-10.77228	-3.201662	0	1.15698	1.39202
35	-13.39343	-11.17095	-2.222484	0	0.540959	0.547932
36	-13.3964	-11.20178	-2.194614	0	0.540959	0.506375
37	-13.72464	-10.80487	-2.919771	0	1.1652	0.963456
38	-14.56629	-11.45845	-3.107843	0	1.71623	0.692874
39	-16.12666	-11.13621	-4.990445	0	1.40773	3.80862
40	-16.19414	-10.7263	-5.46784	0	2.1196	3.80862
41	-17.6448	-13.21206	-4.432738	0	0.576101	3.80862
42	-16.21477	-11.32449	-4.890285	0	1.25838	3.80862
43	-13.97139	-11.69995	-2.271446	0	0.332475	0.829427
44	-13.43704	-11.12112	-2.315913	0	0.538084	0.690125
45	-13.74282	-11.16543	-2.577385	0	1.12331	0.494791
46	-15.44023	-12.25958	-3.180648	0	2.02287	0.494791
47	-13.53613	-11.07307	-2.463066	0	0.952846	0.494791
48	-13.53717	-11.07343	-2.463738	0	0.953849	0.494791
49	-14.63208	-11.15282	-3.479263	0	1.82773	1.13522
50	-13.93625	-10.80632	-3.129924	0	1.30681	1.13522
51	-13.93625	-10.80632	-3.129924	0	1.30681	1.13522
52	-13.93625	-10.80632	-3.129924	0	1.30681	1.13522
53	-13.69968	-11.04247	-2.657212	0	0.639333	1.09781
54	-13.79857	-10.77808	-3.020491	0	1.18104	1.09781
55	-15.36928	-11.62993	-3.739348	0	2.25297	1.09781
56	-16.43385	-12.32712	-4.106732	0	2.80079	1.09781
57	-17.41301	-10.55621	-6.856802	0	2.56583	5.43355
58	-16.12024	-10.92452	-5.19572	0	2.58293	2.93952
59	-15.53971	-10.79089	-4.748812	0	1.91652	2.93952
60	-15.08691	-10.86483	-4.222074	0	1.91652	2.15407
61	-14.69743	-10.87997	-3.817452	0	1.28619	2.18105
62	-13.82771	-10.78776	-3.039947	0	1.21745	1.09041
63	-13.62329	-10.83204	-2.791258	0	0.846615	1.09041
64	-14.63191	-12.23409	-2.397819	0	1.17388	0.176466
65	-14.77279	-12.32593	-2.446856	0	1.247	0.176466
66	-15.40896	-10.7994	-4.609558	0	1.87389	2.7745
67	-14.14449	-10.86974	-3.274747	0	1.47493	1.18305
68	-14.31296	-10.80271	-3.510248	0	1.47493	1.53422
69	-14.28524	-10.79518	-3.490054	0	1.44482	1.53422
70	-14.05738	-10.93173	-3.125656	0	1.44482	0.990843
71	-14.32422	-10.79226	-3.531958	0	1.44482	1.5967
72	-14.32422	-10.79226	-3.531958	0	1.44482	1.5967
73	-14.53157	-11.83814	-2.693431	0	1.44482	0.346327
